outcome,low_bound,high_bound,nx,ny,diff,p_lower,p_upper,equivalent
stroop_effect,-10.0,10.0,45,40,2.855328453991632,0.3014905346952471,0.38620174150279507,False
prp_bottleneck,-10.0,10.0,43,40,8.285103056046069,0.2946214033792818,0.4797886843209658,False
wcst_total_errors,-0.5,0.5,8,15,-5.175000000000001,0.8994034667636428,0.062068076693440485,False
