participant_id,switch_accuracy,repeat_accuracy,switch_rt,repeat_rt,accuracy_switch_cost,rt_switch_cost,n_switch_trials,n_repeat_trials,ucla_total,age,gender,education,z_ucla,gender_coded,z_age,ucla_x_gender
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.0,0.9253731343283582,1432.3400000095367,1988.2731343347634,0.9253731343283582,-555.9331343252268,5,67,32.0,23,female,대학교 재학,-0.7836381010041262,-1,1.2705903990439722,0.7836381010041262
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.2,0.8085106382978723,965.9799999833107,2313.29042553331,0.6085106382978722,-1347.3104255499993,5,94,65.0,23,male,대학교 재학,1.876253510404165,1,1.2705903990439722,1.876253510404165
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.4,0.922077922077922,1086.5999999999535,1322.7389610389569,0.522077922077922,-236.13896103900333,5,77,50.0,19,female,대학교 재학,0.6672118688549419,-1,-0.6967753801208889,-0.6672118688549419
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.4,0.8780487804878049,1187.5600000143052,1355.4719512230013,0.47804878048780486,-167.9119512086961,5,82,54.0,19,male,대학교 재학,0.989622973268068,1,-0.6967753801208889,0.989622973268068
62fAfeQc27bZelkPX7G54T3gvci2,0.0,0.9538461538461539,1203.0400000002235,2082.9061538461883,0.9538461538461539,-879.8661538459648,5,65,49.0,26,female,대학교 재학,0.5866090927516603,-1,2.746114733417618,-0.5866090927516603
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.4,0.8732394366197183,1607.4399999618531,1757.5169014191963,0.47323943661971823,-150.07690145734318,5,71,57.0,20,female,대학교 재학,1.2314313015779128,-1,-0.20493393532967363,-1.2314313015779128
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.2,0.9090909090909091,1001.239999999851,1452.353030302957,0.709090909090909,-451.11303030310603,5,66,56.0,20,female,대학원 재학,1.150828525474631,-1,-0.20493393532967363,-1.150828525474631
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.6,0.7204301075268817,1159.179999923706,2106.3537633444676,0.12043010752688177,-947.1737634207616,5,93,42.0,20,female,대학교 재학,0.022389660028689386,-1,-0.20493393532967363,-0.022389660028689386
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.0,0.8571428571428571,1363.9999999523163,1548.4441558509677,0.8571428571428571,-184.4441558986514,5,77,38.0,21,male,대학원 재학,-0.30002144438443684,1,0.2869075094615417,-0.30002144438443684
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.2,0.8202247191011236,1435.660000038147,1895.307865185684,0.6202247191011236,-459.647865147537,5,89,25.0,21,female,대학원 재학,-1.347857533727097,-1,0.2869075094615417,1.347857533727097
AsXBOflrszVNKoFqbN61bMJqS0k2,0.4,0.83,958.0200000047683,1315.973999990225,0.42999999999999994,-357.95399998545656,5,100,42.0,19,female,대학교 재학,0.022389660028689386,-1,-0.6967753801208889,-0.022389660028689386
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.0,0.8037383177570093,1210.9200000166893,2368.7869158927524,0.8037383177570093,-1157.866915876063,5,107,62.0,22,female,대학교 재학,1.6344451820943204,-1,0.7787489542527569,-1.6344451820943204
CDEoAyvS8feXLKMKsaZah9agEhF3,0.2,0.9682539682539683,1034.4200000000187,2240.6809523809216,0.7682539682539682,-1206.2609523809028,5,63,33.0,22,female,대학교 재학,-0.7030353249008446,-1,0.7787489542527569,0.7030353249008446
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.6,0.7906976744186046,1044.0999999523162,1596.7465116062829,0.19069767441860463,-552.6465116539666,5,86,30.0,29,male,대학교 재학,-0.9448436532106893,1,4.221639067791264,-0.9448436532106893
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.2,0.84,1135.8199999998324,1536.4386666666903,0.6399999999999999,-400.61866666685796,5,75,45.0,22,female,대학교 재학,0.2641979883385341,-1,0.7787489542527569,-0.2641979883385341
DPvStUYSmohmXwFwaKRqHv89R3k1,0.4,1.0,2624.9200000047686,1476.0362068990182,0.6,1148.8837931057503,5,58,52.0,21,male,대학교 재학,0.828417421061505,1,0.2869075094615417,0.828417421061505
DzB19GqCB7fyrlEPexogWkjFzEx2,0.6,0.8513513513513513,1669.7599999427796,1759.3364864877753,0.25135135135135134,-89.57648654499576,5,74,25.0,22,female,대학교 재학,-1.347857533727097,-1,0.7787489542527569,1.347857533727097
EUhcW9kURScie1DwGPHqmNqotJB2,0.0,0.616,1867.8333333333337,2145.307999998093,0.616,-277.47466666475907,3,125,36.0,19,female,대학교 재학,-0.46122699659099997,-1,-0.6967753801208889,0.46122699659099997
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.2,0.8734177215189873,1632.839999985695,2017.6278481091126,0.6734177215189874,-384.7878481234177,5,79,49.0,19,male,대학교 재학,0.5866090927516603,1,-0.6967753801208889,0.5866090927516603
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0.2,0.8205128205128205,1561.9,2087.4397435738492,0.6205128205128205,-525.5397435738491,5,78,26.0,21,female,대학교 재학,-1.2672547576238156,-1,0.2869075094615417,1.2672547576238156
GE4hogtdLdTFbNasENgtm6SO3hC3,0.4,0.9354838709677419,2521.839999997616,1746.6370967737128,0.5354838709677419,775.2029032239031,5,62,56.0,19,female,대학교 재학,1.150828525474631,-1,-0.6967753801208889,-1.150828525474631
HyQM2xKwwuVfqidmRYF6TiRk90C2,0.6,0.8974358974358975,1006.0399999946355,1194.3141025629564,0.2974358974358975,-188.2741025683208,5,78,21.0,19,male,대학교 재학,-1.6702686381402234,1,-0.6967753801208889,-1.6702686381402234
K26uNuY0VNPjJNF26wEx3bFg0kr2,0.4,0.9384615384615385,949.4800000000745,1196.0030769230798,0.5384615384615384,-246.5230769230053,5,65,43.0,19,female,대학교 재학,0.10299243613197094,-1,-0.6967753801208889,-0.10299243613197094
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.2,0.7727272727272727,1005.6000000000465,2554.9886363636283,0.5727272727272728,-1549.3886363635818,5,88,39.0,22,female,대학교 재학,-0.21941866828115528,-1,0.7787489542527569,0.21941866828115528
LSLmd8jENtONZFVkIpRDX665Bu73,0.0,0.8701298701298701,1369.4399999141692,1715.3038961020384,0.8701298701298701,-345.86389618786916,5,77,20.0,19,female,대학교 재학,-1.750871414243505,-1,-0.6967753801208889,1.750871414243505
