participant_id,switch_accuracy,repeat_accuracy,switch_rt,repeat_rt,accuracy_switch_cost,rt_switch_cost,n_switch_trials,n_repeat_trials,ucla_total,age,gender,education,z_ucla,gender_coded,z_age,ucla_x_gender
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.0,0.9545454545454546,1108.6000000119209,1414.1090909098134,0.9545454545454546,-305.5090908978925,5,66,34.0,18,male,대학교 재학,-0.622432548797563,1,-1.1886168249121043,-0.622432548797563
LliUMEIsrCVZ88YFQfevan2Og4z1,0.4,0.8369565217391305,907.1800000000279,1170.469565217373,0.43695652173913047,-263.28956521734506,5,92,28.0,19,male,대학교 재학,-1.1060492054172524,1,-0.6967753801208889,-1.1060492054172524
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.2,0.7916666666666666,1444.2399999856948,2683.4416666676602,0.5916666666666666,-1239.2016666819654,5,96,54.0,24,female,대학교 재학,0.989622973268068,-1,1.7624318438351876,-0.989622973268068
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.6,0.8840579710144928,996.5,1139.4695652172618,0.2840579710144928,-142.9695652172618,5,69,49.0,19,male,대학교 재학,0.5866090927516603,1,-0.6967753801208889,0.5866090927516603
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,0.0,0.953125,2292.1999999523164,2506.8749999776483,0.953125,-214.67500002533188,5,64,64.0,24,male,대학교 재학,1.7956507343008836,1,1.7624318438351876,1.7956507343008836
QreA2rLiUhV3YHeMfuHMPdGbpJ53,0.2,0.8111111111111111,1084.8400000572205,1462.2333333439296,0.6111111111111112,-377.3933332867091,5,90,44.0,21,female,대학교 재학,0.1835952122352525,-1,0.2869075094615417,-0.1835952122352525
Rc706mP0TSeIoIpMYH1SpRXjOxA2,0.8,1.0,2789.5400001525877,1835.5428571530751,0.19999999999999996,953.9971429995126,5,56,46.0,23,female,대학교 재학,0.3448007644418156,-1,1.2705903990439722,-0.3448007644418156
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,0.4,0.9518072289156626,4594.0,1756.3975903614346,0.5518072289156626,2837.6024096385654,5,83,49.0,19,female,대학교 재학,0.5866090927516603,-1,-0.6967753801208889,-0.5866090927516603
WbOfW9KmUkPQK8o5hlHJnJFdpp92,0.4,0.8494623655913979,1843.4200000017881,1600.5935483868084,0.44946236559139785,242.82645161497976,5,93,22.0,19,male,대학교 재학,-1.5896658620369417,1,-0.6967753801208889,-1.5896658620369417
WcTsIpSoEhYeIBSNjAbbdaNSBya2,0.2,0.8202247191011236,1556.5400000005961,1783.0213483146738,0.6202247191011236,-226.48134831407765,5,89,30.0,19,female,대학원 재학,-0.9448436532106893,-1,-0.6967753801208889,0.9448436532106893
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,0.2,0.8245614035087719,813.9599999904633,1131.573684211363,0.6245614035087719,-317.6136842208996,5,114,54.0,18,female,대학교 재학,0.989622973268068,-1,-1.1886168249121043,-0.989622973268068
azdL1gX79EVd9iepyCAVQrqIaQF3,0.0,0.9078947368421053,1071.7200000001117,1449.4960526315692,0.9078947368421053,-377.77605263145756,5,76,32.0,19,female,대학교 재학,-0.7836381010041262,-1,-0.6967753801208889,0.7836381010041262
cEIs6U87xfbSL5eFTXDK77MmvNf1,0.4,0.8673469387755102,1300.0199999809265,1566.5561224295168,0.46734693877551015,-266.5361224485903,5,98,62.0,19,male,대학교 재학,1.6344451820943204,1,-0.6967753801208889,1.6344451820943204
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,0.2,0.8859649122807017,1184.219999998808,1414.8649122803881,0.6859649122807017,-230.64491228158022,5,114,40.0,19,male,대학교 재학,-0.13881589217787374,1,-0.6967753801208889,-0.13881589217787374
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,0.2,0.8970588235294118,3274.459999990463,2698.2823529383713,0.6970588235294117,576.1776470520917,5,68,59.0,21,female,대학교 재학,1.3926368537844758,-1,0.2869075094615417,-1.3926368537844758
fEq0OghbLpfD1jigl1Mbz96aMbg2,0.0,0.8072289156626506,1122.4,1412.863855420825,0.8072289156626506,-290.463855420825,5,83,31.0,19,female,대학교 재학,-0.8642408771074077,-1,-0.6967753801208889,0.8642408771074077
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,0.4,0.9253731343283582,1827.9999999999534,1993.164179104481,0.5253731343283582,-165.16417910452765,5,67,60.0,22,female,대학교 재학,1.4732396298877575,-1,0.7787489542527569,-1.4732396298877575
h5RYP03wJuVN0xo7qAR8CKFxLaj1,0.2,0.6694214876033058,1041.1799999952316,1709.1041322271685,0.46942148760330576,-667.9241322319369,5,121,29.0,21,female,대학교 재학,-1.025446429313971,-1,0.2869075094615417,1.025446429313971
i1tBstVkNiVP0qro7TgGD08IGGa2,0.2,0.9066666666666666,2311.399999952316,1996.2106666851043,0.7066666666666666,315.18933326721185,5,75,26.0,20,female,대학교 재학,-1.2672547576238156,-1,-0.20493393532967363,1.2672547576238156
iKVZi0Oo96UrMBhPQMHWFcf55uA3,0.2,0.9365079365079365,2097.0000000000464,1675.8412698412699,0.7365079365079366,421.1587301587765,5,63,33.0,19,male,대학교 재학,-0.7030353249008446,1,-0.6967753801208889,-0.7030353249008446
iWsc4pghIEWOQUZKuQJMfe516UI3,0.0,0.92,777.9399999976158,1363.4639999977749,0.92,-585.524000000159,5,75,27.0,23,male,대학교 재학,-1.186651981520534,1,1.2705903990439722,-1.186651981520534
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,0.2,0.6859504132231405,1732.2999999523163,4184.704958676307,0.48595041322314053,-2452.4049587239906,5,121,54.0,19,male,대학교 재학,0.989622973268068,1,-0.6967753801208889,0.989622973268068
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,0.2,0.8378378378378378,1251.2000000000467,1953.0810810810653,0.6378378378378378,-701.8810810810187,5,74,23.0,18,female,대학교 재학,-1.5090630859336602,-1,-1.1886168249121043,1.5090630859336602
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,0.6,0.9661016949152542,4175.960000002384,2149.757627115411,0.36610169491525424,2026.2023728869726,5,59,41.0,19,female,대학교 재학,-0.058213116074592175,-1,-0.6967753801208889,0.058213116074592175
jzdk8E3tVXTXIozlfK5oeEb7wWp2,0.2,0.9452054794520548,993.6399999856949,1332.8794520636127,0.7452054794520548,-339.2394520779178,5,73,37.0,24,male,대학교 재학,-0.3806242204877184,1,1.7624318438351876,-0.3806242204877184
kR2rCtaPyPaj7YMizKUDn5xL2qx1,0.2,0.8734177215189873,1310.9,1372.6848101265775,0.6734177215189874,-61.78481012657744,5,79,53.0,19,male,대학교 재학,0.9090201971647865,1,-0.6967753801208889,0.9090201971647865
lHDkoPQu5reNCO45npeYSS9eLQl1,0.2,0.7019230769230769,1074.2000000953674,1718.40576926103,0.5019230769230769,-644.2057691656626,5,104,36.0,20,female,대학교 재학,-0.46122699659099997,-1,-0.20493393532967363,0.46122699659099997
lpzDdvuMkKWkPxu6xeclmdctEp42,0.0,0.8987341772151899,1411.5199999809265,1501.0151898800573,0.8987341772151899,-89.49518989913076,5,79,52.0,19,female,대학교 재학,0.828417421061505,-1,-0.6967753801208889,-0.828417421061505
mUZzgdWKnPb2txOkJg9FHgqX5792,0.2,0.7941176470588235,1742.3999999761581,1918.2431372532658,0.5941176470588234,-175.84313727710764,5,102,33.0,19,female,대학교 재학,-0.7030353249008446,-1,-0.6967753801208889,0.7030353249008446
mg2WZiRBn4NQDKiMK43Y8dBqyG53,0.4,0.7603305785123967,826.8,1234.4049586776976,0.3603305785123967,-407.6049586776976,5,121,54.0,21,female,대학교 재학,0.989622973268068,-1,0.2869075094615417,-0.989622973268068
mwsliuPsLFhRFjtjQwYkqcCRDvi2,0.0,0.9253731343283582,1019.1599999427796,1419.7432835849363,0.9253731343283582,-400.58328364215674,5,67,49.0,21,male,대학교 재학,0.5866090927516603,1,0.2869075094615417,0.5866090927516603
nT1qJOiMyDdJ9ui4el195A8Hsgs1,0.2,0.9324324324324325,1347.6200000047684,2373.2986486344726,0.7324324324324325,-1025.6786486297042,5,74,62.0,18,female,대학교 재학,1.6344451820943204,-1,-1.1886168249121043,-1.6344451820943204
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,0.0,0.875,997.9999999999069,1448.2499999999795,0.875,-450.25000000007265,5,80,29.0,19,female,대학교 재학,-1.025446429313971,-1,-0.6967753801208889,1.025446429313971
pcbRW89vVJcviD87V3uxyG4I9st2,0.6,0.9696969696969697,2880.9800000000746,1361.2106060606118,0.36969696969696975,1519.7693939394628,5,66,33.0,18,male,대학교 재학,-0.7030353249008446,1,-1.1886168249121043,-0.7030353249008446
q0Atnpm0jZS5swcVmq0EMalQUKw1,0.2,0.9090909090909091,1185.6000000000233,1576.3181818181872,0.709090909090909,-390.7181818181639,5,66,24.0,21,female,대학교 재학,-1.4284603098303787,-1,0.2869075094615417,1.4284603098303787
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,0.4,0.918918918918919,1576.7799999999347,1841.2540540540422,0.518918918918919,-264.47405405410746,5,74,40.0,19,male,대학교 재학,-0.13881589217787374,1,-0.6967753801208889,-0.13881589217787374
rUuJv5gl7dWVo7UPQWMx4bohxhK2,0.0,0.8809523809523809,1660.3600000000558,2035.760714285702,0.8809523809523809,-375.40071428564625,5,84,43.0,20,female,대학교 재학,0.10299243613197094,-1,-0.20493393532967363,-0.10299243613197094
ric6cNjG25XmZJCiKZDOxzeezao1,0.2,0.7789473684210526,1013.8399999999441,1059.2905263157709,0.5789473684210527,-45.45052631582678,5,95,44.0,19,male,대학교 재학,0.1835952122352525,1,-0.6967753801208889,0.1835952122352525
roaf78tUWxWSEjAUcUu8O7mrQbl1,0.2,0.8904109589041096,1902.500000023842,1953.9150684892315,0.6904109589041096,-51.415068465389595,5,73,58.0,19,female,대학교 재학,1.3120340776811943,-1,-0.6967753801208889,-1.3120340776811943
ssPK6ISW0HerTGke9hznqJ2LpKu1,0.0,0.8974358974358975,1180.760000038147,1373.6782051599944,0.8974358974358975,-192.91820512184745,5,78,41.0,20,male,대학교 재학,-0.058213116074592175,1,-0.20493393532967363,-0.058213116074592175
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,0.4,0.953125,1794.9800001144408,1870.5468750149012,0.553125,-75.56687490046033,5,64,65.0,20,female,대학교 재학,1.876253510404165,-1,-0.20493393532967363,-1.876253510404165
u64Uf920g5VD9Byq26LT2rs5o4t1,0.6,0.8529411764705882,1093.200000011921,1489.2490196105311,0.2529411764705882,-396.04901959861013,5,102,34.0,21,male,대학교 재학,-0.622432548797563,1,0.2869075094615417,-0.622432548797563
v8nNKiWvPdcjiHXZci39OuFTY6M2,0.2,0.8732394366197183,1572.2599999904633,2567.456338029512,0.6732394366197183,-995.1963380390489,5,71,31.0,20,female,대학교 재학,-0.8642408771074077,-1,-0.20493393532967363,0.8642408771074077
xBGZhFOeypWnqzSQClkrwV9z2vF3,0.0,0.8767123287671232,996.7000000000465,1304.61369863016,0.8767123287671232,-307.91369863011334,5,73,43.0,22,male,대학교 재학,0.10299243613197094,1,0.7787489542527569,0.10299243613197094
xyAILKfYP2M8GqAai11x6NT7IcP2,0.4,0.868421052631579,1082.2199999999254,1520.0078947367638,0.46842105263157896,-437.7878947368383,5,76,35.0,24,male,대학교 재학,-0.5418297726942816,1,1.7624318438351876,-0.5418297726942816
y1EHXv8tUTa4BRS4fRio7bULYfA2,0.2,0.7916666666666666,1332.0600001335144,1916.8062499960263,0.5916666666666666,-584.7462498625118,5,96,35.0,19,female,대학교 재학,-0.5418297726942816,-1,-0.6967753801208889,0.5418297726942816
yatBVTBMCSMp0wJluOCLzTFKMyP2,0.0,0.7790697674418605,1014.799999999255,1777.5581395351003,0.7790697674418605,-762.7581395358453,5,86,35.0,21,female,대학교 재학,-0.5418297726942816,-1,0.2869075094615417,0.5418297726942816
