model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC,BestThreshold,TP,FP,TN,FN,n
logreg,0.7802197802197802,0.5833333333333334,0.6666666666666666,0.5185185185185185,0.7170138888888888,0.6184181080778448,0.7207297640820515,14,7,57,13,91
rf,0.7582417582417582,0.6857142857142857,0.5581395348837209,0.8888888888888888,0.8206018518518517,0.6767989554475176,0.256,24,19,45,3,91
gbrt,0.7032967032967034,0.6493506493506493,0.5,0.9259259259259259,0.8119212962962963,0.6793235079924804,0.011635088979346559,25,25,39,2,91
