outcome,n,r2_model1,r2_model2,delta_r2,delta_f,p_value,ucla_coef,ucla_se,ucla_t,ucla_p
stroop_interference,76,0.028037472821563547,0.03422168185093333,0.0061842090293697805,0.45463729391518926,0.5023304770011929,0.9821789129420497,0.6120842048770244,1.6046467219969875,0.11301088291726669
perseverative_error_rate,76,0.03323637695080761,0.03623050222658197,0.002994125275774362,0.22057441646691112,0.6400418297868288,0.03129302197261346,0.027997743557164705,1.117697999794897,0.26746376881688616
prp_bottleneck,76,0.0294561023813269,0.02956863883769123,0.00011253645636433163,0.008233543063053553,0.9279555904336817,-0.1949396835102304,0.9027343575041907,-0.2159435739758309,0.8296509231633094
meta_control_factor,76,0.022749929185571283,0.025669224330866824,0.002919295145295542,0.21273058440922013,0.6460454410316447,0.007283493025127586,0.00663556393178095,1.0976449175997518,0.2760682273310118
