Measure,t,p,Cohen_d,p_fdr_adjusted,significant_fdr
Stroop Interference (ms),-0.4951950627203544,0.6215606748568536,0.09761902318537612,0.666690512549132,False
WCST Perseverative Error Rate (%),0.4320342916107553,0.666690512549132,-0.08668471598047393,0.666690512549132,False
PRP Bottleneck Effect (ms),-1.0232753496902194,0.30867276679197125,0.20134669667272953,0.666690512549132,False
