metric,three_way_beta,three_way_p,interaction_beta,male_r,male_p,female_r,female_p,male_n,female_n
accuracy_switch_cost,-0.017365029069654276,0.18827096764205709,0.035007777016954386,0.21110378964260812,0.2905149607921336,-0.10797535060060101,0.48018417243609934,27,45
rt_switch_cost,,,-147.30729460834038,-0.258359788483443,0.19319835111148054,0.1353119870719994,0.3754864664484487,27,45
