R2,RMSE,MAE,target,feature_set,model,n
-0.10998354836137625,8.188976999554022,6.208321702482241,dass_dep,ef_basic,ridge,166
-0.13180924078050804,8.269095317885153,6.292500981946495,dass_dep,ef_basic,lasso,166
-0.17308425486526824,8.418524559491946,6.382704559362994,dass_dep,ef_basic,rf,166
-0.3113407032662905,8.900802225366586,6.614292110653999,dass_dep,ef_basic,gbrt,166
-0.10998354836137625,8.188976999554022,6.208321702482241,dass_dep,ef_extended,ridge,166
-0.13180924078050804,8.269095317885153,6.292500981946495,dass_dep,ef_extended,lasso,166
-0.17308425486526824,8.418524559491946,6.382704559362994,dass_dep,ef_extended,rf,166
-0.3113407032662905,8.900802225366586,6.614292110653999,dass_dep,ef_extended,gbrt,166
-0.15785007961757858,6.162761875726314,4.781766241035164,dass_anx,ef_basic,ridge,166
-0.16009679440379365,6.168738149440878,4.796130930899918,dass_anx,ef_basic,lasso,166
-0.09923205156302006,6.004735939439381,4.807422456659806,dass_anx,ef_basic,rf,166
-0.24365775407849877,6.3870404016921265,4.959129037148278,dass_anx,ef_basic,gbrt,166
-0.15785007961757858,6.162761875726314,4.781766241035164,dass_anx,ef_extended,ridge,166
-0.16009679440379365,6.168738149440878,4.796130930899918,dass_anx,ef_extended,lasso,166
-0.09923205156302006,6.004735939439381,4.807422456659806,dass_anx,ef_extended,rf,166
-0.24365775407849877,6.3870404016921265,4.959129037148278,dass_anx,ef_extended,gbrt,166
-0.10311169380534912,7.9245456756564705,6.546999361231514,dass_stress,ef_basic,ridge,166
-0.11672303183397603,7.973286421550926,6.601182991914877,dass_stress,ef_basic,lasso,166
-0.08854591700760506,7.872052925638287,6.492862694935586,dass_stress,ef_basic,rf,166
-0.20504236240852602,8.282582796122396,6.605730888299607,dass_stress,ef_basic,gbrt,166
-0.10311169380534912,7.9245456756564705,6.546999361231514,dass_stress,ef_extended,ridge,166
-0.11672303183397603,7.973286421550926,6.601182991914877,dass_stress,ef_extended,lasso,166
-0.08854591700760506,7.872052925638287,6.492862694935586,dass_stress,ef_extended,rf,166
-0.20504236240852602,8.282582796122396,6.605730888299607,dass_stress,ef_extended,gbrt,166
