outcome,term,estimate,p_value,nobs,q_value
stroop_effect,z_ucla,15.401432592810249,0.434450363118981,81,0.6516755446784716
stroop_effect,z_ucla:C(gender)[T.male],9.326423741283648,0.6837033282809422,81,0.6837033282809422
prp_bottleneck,z_ucla,-24.638527275884037,0.3976208378116156,77,0.6516755446784716
prp_bottleneck,z_ucla:C(gender)[T.male],34.09263215908263,0.42415678022466063,77,0.6516755446784716
wcst_total_errors,z_ucla,1.5102909425801048,0.5670423627666709,74,0.680450835320005
wcst_total_errors,z_ucla:C(gender)[T.male],4.69778540504289,0.05925606608521298,74,0.3555363965112779
