fold,model,R2,RMSE,MAE
1,lasso,0.2901633914165237,9.906196055143235,7.87535264799964
2,ridge,0.7044173272517082,5.9532881394738455,4.904564402194367
3,ridge,0.47286305417283614,8.15159120826031,7.005705467517851
4,lasso,-0.02735614134907438,8.315602473876261,6.595629559910399
5,ridge,0.694526153448668,7.543667788589593,6.428689354894135
