fold,model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC
1,rf,0.5,0.0,0.0,0.0,0.36923076923076925,0.25717850776674306
2,rf,0.7222222222222222,0.0,0.0,0.0,0.676923076923077,0.4652564102564103
3,rf,0.8823529411764706,0.75,0.75,0.75,0.8653846153846154,0.8409090909090909
4,rf,0.7058823529411765,0.2857142857142857,0.3333333333333333,0.25,0.7884615384615384,0.475
5,rf,0.7647058823529411,0.0,0.0,0.0,0.6538461538461537,0.4151785714285714
