outcome,n_specs,median_est,pos_share,q_min
prp_bottleneck,18,-4.70235017040095,0.0,0.6706225515978977
stroop_effect,18,4.309134205264269,1.0,0.6706225515978977
wcst_total_errors,18,0.6653086424215979,1.0,0.6706225515978977
