variable,n,pearson_r,pearson_p,spearman_rho,spearman_p
Stroop IIV (SD),72,-0.06793087235631735,0.5707277117372129,-0.029151757190787,0.8079408473745038
Stroop CV,72,-0.09820552506915274,0.41181488536229577,-0.07839763399045534,0.5127303640699191
PRP IIV (SD),71,0.06383889108490036,0.5968692365001407,-0.002029980272451412,0.9865951189509653
PRP CV,71,-0.13929905643859028,0.24662761350922824,-0.09341264592569803,0.43843765123864153
