fold,model,Accuracy,F1,Precision,Recall,ROC_AUC,PR_AUC
1,logreg,0.7222222222222222,0.4444444444444444,0.5,0.4,0.9076923076923077,0.7961904761904761
2,rf,0.7777777777777778,0.5,0.6666666666666666,0.4,0.7846153846153846,0.6909090909090909
3,logreg,0.8823529411764706,0.8,0.6666666666666666,1.0,0.9615384615384616,0.9166666666666666
4,logreg,0.5882352941176471,0.36363636363636365,0.2857142857142857,0.5,0.7115384615384616,0.6602564102564102
5,logreg,0.8235294117647058,0.6666666666666666,0.6,0.75,0.8076923076923077,0.625
