feature,importance_mean,importance_std
stroop_effect,0.2874149632823491,0.020857842061984298
stroop_accuracy,0.04403670691307191,0.007092855252103345
mrt_incong,0.02677677621795396,0.0029423136564163056
mrt_cong,0.05520203401199385,0.006139197741973326
mrt_total,0.05073788430231659,0.005196301203323939
stroop_ratio_incong_cong,0.06112900363748682,0.007206621672986334
prp_bottleneck,0.27402958611474354,0.016989740239241425
prp_rt_slope,0.2647116934169264,0.015856775556925606
prp_mrt_t1,0.11673425427210783,0.014005749635335343
prp_mrt_t2,0.14880399741691044,0.014066991325449123
prp_acc_t1,0.08688769494683388,0.01069192062349061
prp_acc_t2,0.025986945883135163,0.0030906665661157976
wcst_total_errors,0.0,0.0
wcst_persev_errors,0.0,0.0
wcst_nonpersev_errors,0.0,0.0
wcst_conceptual_pct,0.0,0.0
wcst_persev_resp_pct,0.0,0.0
wcst_failure_to_maintain_set,0.0,0.0
