outcome,estimator,feature,selected,rank,n
Stroop interference (ms),Ridge,z_ucla,False,2,158
Stroop interference (ms),Ridge,z_dass_dep,True,1,158
Stroop interference (ms),Ridge,z_dass_anx,False,4,158
Stroop interference (ms),Ridge,z_dass_stress,False,5,158
Stroop interference (ms),Ridge,age,False,3,158
Stroop interference (ms),Ridge,gender_male,False,6,158
Stroop interference (ms),LinearSVR,z_ucla,False,4,158
Stroop interference (ms),LinearSVR,z_dass_dep,False,2,158
Stroop interference (ms),LinearSVR,z_dass_anx,True,1,158
Stroop interference (ms),LinearSVR,z_dass_stress,False,3,158
Stroop interference (ms),LinearSVR,age,False,5,158
Stroop interference (ms),LinearSVR,gender_male,False,6,158
PRP bottleneck (ms),Ridge,z_ucla,False,3,154
PRP bottleneck (ms),Ridge,z_dass_dep,False,2,154
PRP bottleneck (ms),Ridge,z_dass_anx,False,4,154
PRP bottleneck (ms),Ridge,z_dass_stress,False,5,154
PRP bottleneck (ms),Ridge,age,False,6,154
PRP bottleneck (ms),Ridge,gender_male,True,1,154
PRP bottleneck (ms),LinearSVR,z_ucla,True,1,154
PRP bottleneck (ms),LinearSVR,z_dass_dep,False,6,154
PRP bottleneck (ms),LinearSVR,z_dass_anx,False,5,154
PRP bottleneck (ms),LinearSVR,z_dass_stress,False,4,154
PRP bottleneck (ms),LinearSVR,age,False,3,154
PRP bottleneck (ms),LinearSVR,gender_male,False,2,154
WCST total errors,Ridge,z_ucla,False,4,47
WCST total errors,Ridge,z_dass_dep,False,6,47
WCST total errors,Ridge,z_dass_anx,True,1,47
WCST total errors,Ridge,z_dass_stress,False,2,47
WCST total errors,Ridge,age,False,5,47
WCST total errors,Ridge,gender_male,False,3,47
WCST total errors,LinearSVR,z_ucla,False,2,47
WCST total errors,LinearSVR,z_dass_dep,False,4,47
WCST total errors,LinearSVR,z_dass_anx,True,1,47
WCST total errors,LinearSVR,z_dass_stress,False,5,47
WCST total errors,LinearSVR,age,False,6,47
WCST total errors,LinearSVR,gender_male,False,3,47
