measure,low_mean,high_mean,t,p,cohens_d
Stroop Interference,0.021775503262973357,0.0245872243322473,0.042374725012305846,0.9664407994467807,0.013941920531832871
PRP Bottleneck (s),0.6517905466813398,0.643577897057058,-0.14796011319054483,0.8832233803481921,-0.04855947886013286
WCST Perseveration,0.1044768690764259,0.09904929114171238,-0.541506082475416,0.5915894338853408,-0.17871851715326248
WCST Switch Cost (ms),-378.8059252473808,-354.3974254863174,0.11786031860923439,0.9068521356234198,0.039172812497715474
