participant_id,wcst_n_trials,wcst_accuracy,wcst_persev_rate,wcst_nonpersev_rate,wcst_total_error_rate,wcst_switch_cost_ms
GE4hogtdLdTFbNasENgtm6SO3hC3,67,0.8955223880597015,0.04477611940298507,0.05970149253731343,0.10447761194029848,775.2029032239031
Qv0jhW3sqicqQvd7LfReAsI7nD73,77,0.8311688311688312,0.09090909090909091,0.07792207792207792,0.16883116883116878,-289.04388889248185
ORvIk1xRWIQmKuLVe6GXNouvAXx2,101,0.7623762376237624,0.16831683168316833,0.06930693069306931,0.2376237623762376,-1239.2016666819654
80UJMJbCOMgs6YVpsMgXfYTzw6o2,71,0.8591549295774648,0.07042253521126761,0.07042253521126761,0.14084507042253525,-451.11303030310603
rUuJv5gl7dWVo7UPQWMx4bohxhK2,89,0.8314606741573034,0.10112359550561797,0.06741573033707865,0.1685393258426966,-375.40071428564625
xyAILKfYP2M8GqAai11x6NT7IcP2,81,0.8395061728395061,0.09876543209876543,0.06172839506172839,0.16049382716049387,-437.7878947368383
pcbRW89vVJcviD87V3uxyG4I9st2,71,0.9436619718309859,0.028169014084507043,0.028169014084507043,0.05633802816901412,1519.7693939394628
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,98,0.7142857142857143,0.061224489795918366,0.22448979591836735,0.2857142857142857,-947.1737634207616
yatBVTBMCSMp0wJluOCLzTFKMyP2,91,0.7362637362637363,0.10989010989010989,0.15384615384615385,0.2637362637362637,-762.7581395358453
u64Uf920g5VD9Byq26LT2rs5o4t1,107,0.8411214953271028,0.1308411214953271,0.028037383177570093,0.15887850467289721,-396.04901959861013
nT1qJOiMyDdJ9ui4el195A8Hsgs1,79,0.8860759493670886,0.08860759493670886,0.02531645569620253,0.11392405063291144,-1025.6786486297042
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,119,0.8571428571428571,0.08403361344537816,0.058823529411764705,0.1428571428571429,-230.64491228158022
ric6cNjG25XmZJCiKZDOxzeezao1,100,0.75,0.18,0.07,0.25,-45.45052631582678
kxerHPSL3bQjD74HhiebYf3blPr1,128,0.375,0.21875,0.40625,0.625,389.48412698411033
2h5FgHUEvBS1twD5DqbTIRrMm1f2,99,0.7777777777777778,0.13131313131313133,0.09090909090909091,0.2222222222222222,-1347.3104255499993
lpzDdvuMkKWkPxu6xeclmdctEp42,84,0.8452380952380952,0.10714285714285714,0.047619047619047616,0.15476190476190477,-89.49518989913076
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,79,0.7974683544303798,0.11392405063291139,0.08860759493670886,0.20253164556962022,-701.8810810810187
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,82,0.8048780487804879,0.10975609756097561,0.08536585365853659,0.19512195121951215,-184.4441558986514
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,76,0.8421052631578947,0.07894736842105263,0.07894736842105263,0.1578947368421053,-150.07690145734318
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,69,0.8840579710144928,0.10144927536231885,0.014492753623188406,0.1159420289855072,-214.67500002533188
LliUMEIsrCVZ88YFQfevan2Og4z1,97,0.8144329896907216,0.13402061855670103,0.05154639175257732,0.18556701030927836,-263.28956521734506
EUhcW9kURScie1DwGPHqmNqotJB2,128,0.6015625,0.3203125,0.078125,0.3984375,-277.47466666475907
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,119,0.7983193277310925,0.1092436974789916,0.09243697478991597,0.2016806722689075,-317.6136842208996
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,126,0.6666666666666666,0.15873015873015872,0.1746031746031746,0.33333333333333337,-2452.4049587239906
wdppvL4tIkVlGjou6aYzzjlaZXB2,128,0.4140625,0.234375,0.3515625,0.5859375,-550.0277777779847
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,64,0.9375,0.03125,0.03125,0.0625,2026.2023728869726
K26uNuY0VNPjJNF26wEx3bFg0kr2,70,0.9,0.1,0.0,0.09999999999999998,-246.5230769230053
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,85,0.8235294117647058,0.16470588235294117,0.011764705882352941,0.17647058823529416,-450.25000000007265
DPvStUYSmohmXwFwaKRqHv89R3k1,63,0.9523809523809523,0.047619047619047616,0.0,0.04761904761904767,1148.8837931057503
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,93,0.7419354838709677,0.07526881720430108,0.1827956989247312,0.25806451612903225,-1549.3886363635818
62fAfeQc27bZelkPX7G54T3gvci2,70,0.8857142857142857,0.08571428571428572,0.02857142857142857,0.11428571428571432,-879.8661538459648
q0Atnpm0jZS5swcVmq0EMalQUKw1,71,0.8591549295774648,0.07042253521126761,0.07042253521126761,0.14084507042253525,-390.7181818181639
kR2rCtaPyPaj7YMizKUDn5xL2qx1,84,0.8333333333333334,0.11904761904761904,0.047619047619047616,0.16666666666666663,-61.78481012657744
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,73,0.8493150684931506,0.1095890410958904,0.0410958904109589,0.15068493150684936,576.1776470520917
mwsliuPsLFhRFjtjQwYkqcCRDvi2,72,0.8611111111111112,0.09722222222222222,0.041666666666666664,0.13888888888888884,-400.58328364215674
