mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat,term,model
-0.613,0.009,-0.631,-0.597,0.0,0.0,2137.473,2289.03,1.001,soa,prp_logt2rt
0.022,0.037,-0.048,0.09,0.003,0.001,207.872,359.697,1.035,ucla,prp_logt2rt
0.011,0.037,-0.06,0.082,0.002,0.001,256.8,481.657,1.023,dass_dep,prp_logt2rt
-0.036,0.036,-0.103,0.03,0.002,0.001,229.985,581.911,1.015,dass_anx,prp_logt2rt
0.05,0.035,-0.017,0.115,0.003,0.002,161.12,271.365,1.034,dass_stress,prp_logt2rt
0.009,0.009,-0.006,0.025,0.0,0.0,2113.756,2160.142,1.001,ucla:soa,prp_logt2rt
