feature,importance_mean,importance_std
age,0.005594405594405632,0.0020555158680697913
created_hour,0.01668531468531473,0.008082911835412923
ucla_duration,0.05088111888111893,0.015544345628275771
dass_duration,0.005482517482517529,0.0028879002276019005
duration_prp,0.012237762237762281,0.004607431163644504
duration_stroop,0.01434965034965038,0.0037638751733555754
duration_wcst,0.010895104895104925,0.004351628628443439
gender,0.000671328671328677,0.0006248477735297701
education,0.00012587412587412362,0.000268662555416758
courseName,0.004097902097902144,0.0017636247178289316
professorName,0.004531468531468557,0.001514369531036536
classSection,0.003860139860139902,0.0018514439992584853
created_dow,0.003972027972028007,0.0013446954228499932
created_hour_bin,0.010461538461538498,0.005203022778777842
