,ucla_total,dass_depression,dass_anxiety,dass_stress,stroop_interference,perseverative_error_rate,prp_bottleneck
ucla_total,,2.0086907925993258e-12,2.0189878462717918e-07,1.486554497079964e-07,0.9113841649289269,0.6176906614865644,0.6791041546440271
dass_depression,2.0086907925993258e-12,,1.748383400171834e-07,1.6591249911067409e-07,0.6941340414006251,0.4058106774958974,0.6871662446632598
dass_anxiety,2.0189878462717918e-07,1.748383400171834e-07,,2.295955558492485e-11,0.6941340414006251,0.6176906614865644,0.4058106774958974
dass_stress,1.486554497079964e-07,1.6591249911067409e-07,2.295955558492485e-11,,0.6941340414006251,0.4058106774958974,0.41387717621751313
stroop_interference,0.9113841649289269,0.6941340414006251,0.6941340414006251,0.6941340414006251,,0.9113841649289269,0.6176906614865644
perseverative_error_rate,0.6176906614865644,0.4058106774958974,0.6176906614865644,0.4058106774958974,0.9113841649289269,,0.6176906614865644
prp_bottleneck,0.6791041546440271,0.6871662446632598,0.4058106774958974,0.41387717621751313,0.6176906614865644,0.6176906614865644,
