outcome,estimator,feature,selection_rate
PRP bottleneck (ms),LinearSVR,age,1.0
PRP bottleneck (ms),LinearSVR,gender_male,0.0
PRP bottleneck (ms),LinearSVR,z_dass_anx,0.0
PRP bottleneck (ms),LinearSVR,z_dass_dep,0.0
PRP bottleneck (ms),LinearSVR,z_dass_stress,0.0
PRP bottleneck (ms),LinearSVR,z_ucla,0.0
PRP bottleneck (ms),Ridge,age,1.0
PRP bottleneck (ms),Ridge,gender_male,1.0
PRP bottleneck (ms),Ridge,z_dass_anx,0.0
PRP bottleneck (ms),Ridge,z_dass_dep,0.0
PRP bottleneck (ms),Ridge,z_dass_stress,0.0
PRP bottleneck (ms),Ridge,z_ucla,0.0
Stroop interference (ms),LinearSVR,z_dass_anx,1.0
Stroop interference (ms),LinearSVR,age,0.0
Stroop interference (ms),LinearSVR,gender_male,0.0
Stroop interference (ms),LinearSVR,z_dass_dep,0.0
Stroop interference (ms),LinearSVR,z_dass_stress,0.0
Stroop interference (ms),LinearSVR,z_ucla,0.0
Stroop interference (ms),Ridge,age,1.0
Stroop interference (ms),Ridge,gender_male,0.0
Stroop interference (ms),Ridge,z_dass_anx,0.0
Stroop interference (ms),Ridge,z_dass_dep,0.0
Stroop interference (ms),Ridge,z_dass_stress,0.0
Stroop interference (ms),Ridge,z_ucla,0.0
WCST total errors,LinearSVR,z_dass_dep,1.0
WCST total errors,LinearSVR,age,0.0
WCST total errors,LinearSVR,gender_male,0.0
WCST total errors,LinearSVR,z_dass_anx,0.0
WCST total errors,LinearSVR,z_dass_stress,0.0
WCST total errors,LinearSVR,z_ucla,0.0
WCST total errors,Ridge,z_dass_dep,1.0
WCST total errors,Ridge,age,0.0
WCST total errors,Ridge,gender_male,0.0
WCST total errors,Ridge,z_dass_anx,0.0
WCST total errors,Ridge,z_dass_stress,0.0
WCST total errors,Ridge,z_ucla,0.0
