source_file,p_column,parameter,coefficient,std_err,p_value,task1,task2,partial_r,p,n,age_group,ucla_beta,ucla_p,interaction_beta,interaction_p,node1,node2,r,ucla_group,task,r_rt_accuracy,participant_id,linear_slope,linear_intercept,linear_r,linear_r2,linear_p,n_soas,predictor,beta,se,gender,soa,mean,outcome,r_squared,dass_subscale,ci_lower,ci_upper,outcome_label,comparison,var_group1,var_group2,var_ratio,levene_stat
cross_task_suite\age_gam_results.csv,p_value,Intercept,10.674539417170454,0.6268669902050001,5.057139028585e-65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_task_suite\age_gam_results.csv,p_value,z_ucla:age_mc,0.7779640678781189,0.3380984563545715,0.021391711359324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_task_suite\age_gam_results.csv,p_value,z_ucla:C(gender_male)[T.1]:age_mc,-0.8587307519733165,0.3596376197987089,0.0169510961258035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_task_suite\cross_task_correlations.csv,p,,,,,pe_rate,wcst_accuracy,-0.6107106333157328,2.0215507715969168e-17,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_task_suite\cross_task_correlations.csv,p,,,,,stroop_interference,prp_bottleneck,0.1909641623406819,0.0165866908609116,157.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_task_suite\threeway_interaction_results.csv,interaction_p,,,,,,,,,69.0,Younger,-1.994308466222682,0.0441660183833622,2.880108913852582,0.0232610274014149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cross_task_suite\threeway_interaction_results.csv,ucla_p,,,,,,,,,69.0,Younger,-1.994308466222682,0.0441660183833622,2.880108913852582,0.0232610274014149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
latent_suite\network_edges.csv,p,,,,,,,,0.0,,,,,,,ucla_total,dass_depression,0.6774702047662374,,,,,,,,,,,,,,,,,,,,,,,,,,,
latent_suite\network_edges.csv,p,,,,,,,,1.848408093252374e-10,,,,,,,ucla_total,dass_anxiety,0.4808106549765197,,,,,,,,,,,,,,,,,,,,,,,,,,,
latent_suite\network_edges.csv,p,,,,,,,,3.0482283364108298e-12,,,,,,,ucla_total,dass_stress,0.519752484169831,,,,,,,,,,,,,,,,,,,,,,,,,,,
