param,prior_sd,post_mean,post_sd,BF01,BF10
bayes_stroop_summary,0.05,0.13352532126852049,0.19029435601107464,0.20541458760918013,4.8682034301409525
bayes_stroop_summary,0.1,0.13352532126852049,0.19029435601107464,0.41082917521836027,2.4341017150704762
bayes_stroop_summary,0.2,0.13352532126852049,0.19029435601107464,0.8216583504367205,1.2170508575352381
bayes_stroop_summary,0.5,0.13352532126852049,0.19029435601107464,2.0541458760918014,0.48682034301409527
bayes_stroop_summary,1.0,0.13352532126852049,0.19029435601107464,4.108291752183603,0.24341017150704763
bayes_stroop_summary,2.0,0.13352532126852049,0.19029435601107464,8.216583504367206,0.12170508575352382
bayes_prp_summary,0.05,-0.03175299810309739,0.1912944001180803,0.25780108672195684,3.87895959910564
bayes_prp_summary,0.1,-0.03175299810309739,0.1912944001180803,0.5156021734439137,1.93947979955282
bayes_prp_summary,0.2,-0.03175299810309739,0.1912944001180803,1.0312043468878274,0.96973989977641
bayes_prp_summary,0.5,-0.03175299810309739,0.1912944001180803,2.5780108672195685,0.38789595991056397
bayes_prp_summary,1.0,-0.03175299810309739,0.1912944001180803,5.156021734439137,0.19394797995528198
bayes_prp_summary,2.0,-0.03175299810309739,0.1912944001180803,10.312043468878274,0.09697398997764099
glmm_stroop_logrt__beta_ucla,0.05,0.0337561516111399,0.03287525511216661,0.8977610321864067,1.1138821625668032
glmm_stroop_logrt__beta_ucla,0.1,0.0337561516111399,0.03287525511216661,1.7955220643728134,0.5569410812834016
glmm_stroop_logrt__beta_ucla,0.2,0.0337561516111399,0.03287525511216661,3.5910441287456267,0.2784705406417008
glmm_stroop_logrt__beta_ucla,0.5,0.0337561516111399,0.03287525511216661,8.977610321864066,0.11138821625668031
glmm_stroop_logrt__beta_ucla,1.0,0.0337561516111399,0.03287525511216661,17.955220643728133,0.05569410812834016
glmm_stroop_logrt__beta_ucla,2.0,0.0337561516111399,0.03287525511216661,35.910441287456266,0.02784705406417008
glmm_stroop_logrt__beta_ucla:cond,0.05,0.0017680580189705607,0.007541468599638513,6.4502822413926975,0.1550319757456206
glmm_stroop_logrt__beta_ucla:cond,0.1,0.0017680580189705607,0.007541468599638513,12.900564482785395,0.0775159878728103
glmm_stroop_logrt__beta_ucla:cond,0.2,0.0017680580189705607,0.007541468599638513,25.80112896557079,0.03875799393640515
glmm_stroop_logrt__beta_ucla:cond,0.5,0.0017680580189705607,0.007541468599638513,64.50282241392696,0.015503197574562063
glmm_stroop_logrt__beta_ucla:cond,1.0,0.0017680580189705607,0.007541468599638513,129.00564482785393,0.007751598787281031
glmm_stroop_logrt__beta_ucla:cond,2.0,0.0017680580189705607,0.007541468599638513,258.01128965570786,0.0038757993936405157
glmm_prp_logt2rt__beta_ucla,0.05,0.022355267805170574,0.037072695062587945,1.1244912949539467,0.8892910105106281
glmm_prp_logt2rt__beta_ucla,0.1,0.022355267805170574,0.037072695062587945,2.2489825899078935,0.44464550525531404
glmm_prp_logt2rt__beta_ucla,0.2,0.022355267805170574,0.037072695062587945,4.497965179815787,0.22232275262765702
glmm_prp_logt2rt__beta_ucla,0.5,0.022355267805170574,0.037072695062587945,11.244912949539469,0.08892910105106279
glmm_prp_logt2rt__beta_ucla,1.0,0.022355267805170574,0.037072695062587945,22.489825899078937,0.044464550525531395
glmm_prp_logt2rt__beta_ucla,2.0,0.022355267805170574,0.037072695062587945,44.979651798157875,0.022232275262765697
glmm_prp_logt2rt__beta_ucla:soa,0.05,0.00910252263046853,0.008514122602102239,3.3161352427557724,0.30155585547499586
glmm_prp_logt2rt__beta_ucla:soa,0.1,0.00910252263046853,0.008514122602102239,6.632270485511545,0.15077792773749793
glmm_prp_logt2rt__beta_ucla:soa,0.2,0.00910252263046853,0.008514122602102239,13.26454097102309,0.07538896386874896
glmm_prp_logt2rt__beta_ucla:soa,0.5,0.00910252263046853,0.008514122602102239,33.16135242755772,0.030155585547499586
glmm_prp_logt2rt__beta_ucla:soa,1.0,0.00910252263046853,0.008514122602102239,66.32270485511545,0.015077792773749793
glmm_prp_logt2rt__beta_ucla:soa,2.0,0.00910252263046853,0.008514122602102239,132.6454097102309,0.0075388963868748965
