outcome,bic_m0,bic_m1,bic_m2,bf_ucla,bf_interaction,interpretation_ucla,interpretation_interaction,n
WCST PE Rate,1065.6981053701604,1070.691632137622,1075.200174897725,12.143127643747647,9.528348235693123,Strong evidence for H0,Moderate evidence for H0,170
Stroop Interference,2094.67783825498,2099.140104690165,2103.8304330268847,9.310410824949972,10.43498568142267,Moderate evidence for H0,Strong evidence for H0,170
PRP Bottleneck,2158.1056813006567,2161.7976494535033,2164.1139059779075,6.334330189301581,3.1839681417558308,Moderate evidence for H0,Moderate evidence for H0,166
