gender,outcome,beta_ucla,se_ucla,p_ucla,r_squared,n
female,npe_rate,-0.006160382850968909,0.012462262321599431,0.6210780869074628,0.022165103274942366,116
female,pe_proportion,0.014869384081981005,0.023189831627091123,0.5213909555908092,0.01071665059296123,116
male,npe_rate,0.007839159105851506,0.012351537263181481,0.5256431908398346,0.05535678664348875,77
male,pe_proportion,-0.0010092251853695434,0.03933745884240108,0.9795320569848301,0.060488369484058,77
