gender,parameter,beta_ucla,se_ucla,p_ucla,r_squared,n
female,v,-0.010667564994722146,0.006722266062432269,0.1125352619067377,0.088506118981453,65
female,a,-0.0005953820480610866,0.005881629985642932,0.9193699548985591,0.03673999756814483,65
female,t,-0.017885427381986136,0.021043376115141534,0.39536319359981376,0.027232231815858987,65
male,v,-0.002211172160627279,0.008328834447324284,0.7906366453751519,0.08005132286040295,52
male,a,0.009077758673962485,0.007192065543887655,0.20688015280889505,0.10903704357731192,52
male,t,0.010424757020650047,0.02369534964208799,0.6599736896691252,0.1494040696524388,52
