,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE
UCLA,1.0,0.6634299852903952,0.4776021114514519,0.5290256358073168,-0.11646261005985972
DASS-Dep,0.6634299852903952,1.0,0.6057683297698347,0.6317426881420057,-0.14318222672127778
DASS-Anx,0.4776021114514519,0.6057683297698347,1.0,0.7232238023606364,-0.10908539509677309
DASS-Str,0.5290256358073168,0.6317426881420057,0.7232238023606364,1.0,-0.07679353722869933
WCST PE,-0.11646261005985972,-0.14318222672127778,-0.10908539509677309,-0.07679353722869933,1.0
