,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE
UCLA,0.0,9.737754562854199e-27,8.615132860755181e-13,8.090100190389848e-16,0.10041220921157781
DASS-Dep,9.737754562854199e-27,0.0,2.03745762319594e-21,1.1241142864426648e-23,0.043024950526301245
DASS-Anx,8.615132860755181e-13,2.03745762319594e-21,0.0,1.1492118316147127e-33,0.12387183240100373
DASS-Str,8.090100190389848e-16,1.1241142864426648e-23,1.1492118316147127e-33,0.0,0.27892875536376743
WCST PE,0.10041220921157781,0.043024950526301245,0.12387183240100373,0.27892875536376743,0.0
