,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE
UCLA,"[1.00, 1.00]","[0.578, 0.735]","[0.363, 0.578]","[0.421, 0.622]","[-0.251, 0.023]"
DASS-Dep,"[0.578, 0.735]","[1.00, 1.00]","[0.510, 0.687]","[0.540, 0.708]","[-0.276, -0.005]"
DASS-Anx,"[0.363, 0.578]","[0.510, 0.687]","[1.00, 1.00]","[0.650, 0.783]","[-0.244, 0.030]"
DASS-Str,"[0.421, 0.622]","[0.540, 0.708]","[0.650, 0.783]","[1.00, 1.00]","[-0.213, 0.062]"
WCST PE,"[-0.251, 0.023]","[-0.276, -0.005]","[-0.244, 0.030]","[-0.213, 0.062]","[1.00, 1.00]"
