participant_id,prp_shape_linear_slope,prp_shape_linear_intercept,prp_shape_linear_r2,prp_shape_exp_amplitude,prp_shape_exp_decay_rate,prp_shape_exp_asymptote,prp_shape_exp_r2,prp_shape_recovery_half_life,prp_shape_bottleneck_traditional,prp_shape_exp_better_fit,prp_shape_n_soa
GE4hogtdLdTFbNasENgtm6SO3hC3,-0.4487514585764294,1081.0256709451576,0.7750478550406303,685.7245698882772,0.003009863510551395,587.4647432328518,0.9731333461269599,230.29189799804692,518.0,1.0,5.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,-0.5855775962660443,1246.1656942823804,0.8948511706269723,1043.2822478881792,0.0010256139443381145,272.56655617994574,0.9189416701871924,675.8363460115312,730.0,1.0,5.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,-0.46079346557759626,1020.9649941656943,0.8932929130335817,676.7837315685807,0.00223745370562837,477.4362398620698,0.9997230032192946,309.7928590952816,564.0,1.0,5.0
rUuJv5gl7dWVo7UPQWMx4bohxhK2,-0.7364294049008168,2020.1575262543759,0.9234059395578135,2048.314907085266,0.0004663784782682809,4.018005551417888e-12,0.9048943906350208,1486.2332051291983,852.0,0.0,5.0
xyAILKfYP2M8GqAai11x6NT7IcP2,-0.8582263710618436,1525.784130688448,0.8720415003094378,1284.6384704611673,0.0019187205902921787,453.4701820232995,0.9649213958100753,361.25488206409165,935.0,1.0,5.0
pcbRW89vVJcviD87V3uxyG4I9st2,-0.29851808634772464,889.9183197199534,0.6645412859449639,902.4209005490422,0.0004265703460770661,3.13348650443648e-08,0.6611844468244499,1624.9305347510447,392.0,0.0,5.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,-0.7301866977829639,1638.2858809801635,0.8739812420031577,1120.5784424941987,0.001615499923745552,664.4840891693423,0.9375118600031428,429.06048485157277,873.0,1.0,5.0
yatBVTBMCSMp0wJluOCLzTFKMyP2,-0.8817386231038506,1782.5997666277713,0.8350576150010587,1547.691554924304,0.001072488546665524,347.59160049377914,0.8676506549449119,646.2979793257564,825.0,1.0,5.0
u64Uf920g5VD9Byq26LT2rs5o4t1,-0.4942357059509918,972.5484247374563,0.8453993994551431,737.9960534018187,0.001869528983972915,351.2944654498124,0.9211980317220121,370.76032867216963,622.0,1.0,5.0
nT1qJOiMyDdJ9ui4el195A8Hsgs1,-0.781318553092182,1554.2065344224038,0.9753394166436005,1528.6443459481493,0.000845916488276382,100.40674214205447,0.9917946926056257,819.4037947791801,926.0,1.0,5.0
