participant_id,prp_cb_base,prp_cb_bottleneck,prp_cb_r_squared,prp_cb_rmse,prp_cb_slope,prp_cb_n_trials,prp_cb_n_soa_levels
06qcrpGKL6Vc3LVplFQC90VAcRm1,480.517992424186,443.7592803027368,0.997480202021859,7.820101288699138,-0.9563923444955571,112,5
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,438.2094202893552,529.6837891159585,0.983472413320634,25.948839955932446,-1.1662860493480118,107,5
0d841i8KPjdjwCYfDuUUXj0SEjH2,679.6970343728577,551.2820068930318,0.5816040049726222,153.60145258093686,-0.2863508767032176,113,5
0oa5NYVnIBS9NmrmRAZrahXDctP2,494.6417984188543,455.1339910547308,0.9766541352382104,25.555579683273223,-1.0802745152345938,104,5
146QT9LupyU2BAiTsB3PMIpVXM22,602.4190470069302,452.9740193993132,0.7623178856470785,109.50766328321414,-1.9832993008768414,100,5
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,618.9737985735527,539.374785040985,0.9547513976724766,42.26705178134775,-0.8439529925518732,104,5
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,861.547826095581,968.0237648139781,0.9541035778715607,70.69096031763885,-0.23320106095116389,114,5
1fbLQPCcysVlSKup96K4yI5NX6G3,627.0125002562972,523.5659053685773,0.8406182545220616,93.12197515985709,-1.6973299771086285,114,5
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,850.9000022005048,913.6390654322616,0.7280739986663225,155.6034940352995,0.8325228096544354,102,5
23hG7h2ByUZDbmOMTDtp0HT0xRb2,903.572727290249,662.4004869770048,0.9019100526350339,72.38601649613294,-1.5957644110275684,105,5
28nQWMwCaSNFBEXlicY3eHqpwKU2,625.7590909118821,755.5559194267026,0.9599744808892249,59.63474463406334,-1.1016788710300274,112,5
2FHuv7L9nWPdbIiWHRIuXtcoyw83,626.1999989394878,645.6932781218854,0.9747259312286607,43.33044049993624,-1.2208207282910752,84,5
2h5FgHUEvBS1twD5DqbTIRrMm1f2,692.954891378335,477.12092641446884,0.7219827030682229,112.47659602215131,-1.2675010315269206,116,5
2zDXvJKvjeejeOSNbtDbtSI5cdz1,689.7826088753184,797.7293022502296,0.9977752711269374,13.580164949685454,-1.0506316742935773,118,5
3FSnTCSiUodLp5u3bE0xaUjLk0b2,485.13529357246705,708.3019318385259,0.9849516643756271,32.80160620587697,-1.0844170040487995,78,5
3WijiOiVCoMbn80F05SPYsxl0TC2,631.6020833365208,546.5051630353165,0.9560135440083598,43.169732600889134,-0.9640526316033612,118,5
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,544.5571429388978,613.5465874247743,0.975165100055744,35.55380335740968,-0.5688748115012026,67,5
3xCaqfcHxRQxuOlEzXz3PNcHODH2,402.3086956525653,745.535191709818,0.7042502015454037,153.6090036719118,-2.1071729323312747,58,5
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,493.50952534405684,904.5219777172277,0.92229063586991,83.05453334771462,-0.6677536925316572,110,5
5OOi73igsahMZ5IVKQwwyhnj4Cn2,546.9099955150319,666.2979414980448,0.7929623689106663,113.6735550276441,-0.09445530492883451,67,5
5Z68AKm9rIeeB2lVu3nJO7U31wk1,395.3636364953339,707.7223429417587,0.9975218420213285,12.722929076376081,-0.8681001708833322,106,5
