participant_id,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_post_error_accuracy,prp_post_error_accuracy_drop,prp_t2_rt_t1_error,prp_t2_rt_t1_correct,prp_t2_interference_t1_error,prp_t1_error_run_mean,prp_t1_error_run_max,prp_t2_error_run_mean,prp_t2_error_run_max,prp_cascade_run_mean,prp_cascade_run_max,stroop_post_error_slowing,stroop_post_error_rt,stroop_post_correct_rt,stroop_cse_rt,stroop_cse_acc,stroop_post_conflict_slowing,stroop_post_conflict_accuracy,stroop_post_error_accuracy,stroop_post_error_interference_rt,stroop_post_error_interference_acc,stroop_error_run_length_mean,stroop_error_run_length_max,stroop_error_recovery_rt,stroop_post_error_recovery_slope,wcst_pes,wcst_post_error_accuracy_drop,wcst_post_switch_error_rate,wcst_post_switch_error_delta,wcst_post_switch_pe_rate,wcst_post_switch_rt_cost_correct,wcst_trials_to_first_correct_after_shift,wcst_pe_run_length_mean,wcst_pe_run_length_max,wcst_pr_run_length_mean,wcst_pr_run_length_max,wcst_pe_cluster_rate,wcst_rt_jump_at_switch,wcst_failure_to_maintain_set,wcst_trials_to_rule_reacquisition,wcst_post_switch_recovery_slope,wcst_switch_cost_error_k1,wcst_switch_cost_rt_k1,wcst_switch_cost_error_k2,wcst_switch_cost_rt_k2,wcst_switch_cost_error_k3,wcst_switch_cost_rt_k3,wcst_switch_cost_error_k4,wcst_switch_cost_rt_k4,wcst_switch_cost_error_k5,wcst_switch_cost_rt_k5
06qcrpGKL6Vc3LVplFQC90VAcRm1,,,31.263559331201918,1.0,0.008474576271186418,,643.0151260502699,,0.0,0.0,1.0,1.0,0.0,0.0,53.239622653233596,742.8000000119209,689.5603773586873,-100.64021978147412,0.0,60.839898989106246,0.0,1.0,,,1.0,1.0,-79.8000000044704,-62.250000002980265,957.0024886905505,-0.35859728506787336,0.36,0.36,0.31999999999999995,296.75000000496703,2.4,1.5,2.0,1.4705882352941178,3.0,0.2222222222222222,406.7600000053644,0.0,5.0,19.47200000017881,0.8,248.1800000061591,0.2,1092.660000007351,0.0,128.18000000317886,0.0,36.800000004967046,0.0,-8.700000000993395
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,,,386.52263157900654,0.8,-0.16491228070175434,,661.6158333333423,,0.0,0.0,1.25,2.0,0.0,0.0,7.328095238139099,689.5500000000466,682.2219047619075,-200.2134848485647,-0.08333333333333337,-17.775983436826095,0.045454545454545414,1.0,-286.4966315786721,0.050000000000000044,1.0,1.0,36.02500000002316,-122.93000000002806,741.8416783216562,-0.14965034965034962,0.4,0.4,0.27999999999999997,181.6833333333004,2.0,1.0,1.0,1.5555555555555556,3.0,0.125,687.8866666666232,0.0,5.6,-284.80199999999724,0.4,1282.1733333332463,0.2,233.2933333333116,0.2,1.2333333332557685,0.4,-235.34666666667908,0.0,-36.026666666707
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.3333333333333333,8.000000000000007,376.6575437763281,0.8,-0.16491228070175434,1703.8999999364216,908.8564103036864,795.0435896327352,1.0,1.0,1.25,2.0,1.0,1.0,36.43814087525391,949.5333331425985,913.0951922673446,97.08103890728648,-0.2447552447552448,-67.10372786772882,0.0552380952380952,1.0,,,1.0,1.0,-17.799999872843497,-22.740000057220428,1149.5974575200323,-0.30720338983050843,0.19999999999999998,0.19999999999999998,0.12000000000000002,918.3336665884653,2.0,1.0,1.0,1.1875,3.0,0.3333333333333333,1277.333333206177,0.0,4.0,-426.0380000114442,0.2,1663.473333040873,0.0,588.2133331934612,0.0,145.8533335367838,0.0,208.93333307902017,0.0,174.17333342234292
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.0,0.0,177.36785713982374,1.0,0.0625,1113.300000011921,684.3159663863793,428.98403362554166,1.0,1.0,1.0,1.0,0.0,0.0,145.06116505021464,685.8000000007451,540.7388349505304,-50.80371794553514,-0.1428571428571429,-58.59736842137244,0.050000000000000044,1.0,,,1.0,1.0,-84.38749999925504,-33.692500001192094,737.9312903192736,-0.08709677419354833,0.31999999999999995,0.31999999999999995,0.24,105.58000000094378,2.2,1.2,2.0,1.3846153846153846,3.0,0.3333333333333333,320.66666666666674,0.0,5.0,-77.61999999910599,0.6,837.8333333313467,0.2,161.13333333432678,0.0,165.3133333355189,0.0,-88.80666666328905,0.0,274.2933333337307
146QT9LupyU2BAiTsB3PMIpVXM22,0.5,9.749999999999993,747.6925595271002,1.0,0.0535714285714286,1634.0,763.7426086958336,870.2573913041664,1.0,1.0,1.0,1.0,1.0,1.0,350.8943396133353,1130.8999999910593,780.005660377724,-149.0277777760274,0.09090909090909094,-95.12427536136317,-0.040000000000000036,1.0,,,1.0,1.0,-246.04999999701994,-16.319999998807873,298.4701492522486,0.008291873963515717,0.31999999999999995,0.31999999999999995,0.24,314.62166666885213,1.6,1.0,1.0,1.4375,4.0,0.14285714285714285,370.04666666686535,0.0,5.4,69.96800000101328,0.4,489.18000000119207,0.2,630.059999999404,0.4,522.5000000029802,0.0,324.0800000041723,0.2,557.7200000047682
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.0,0.0,327.4335087739586,1.0,0.04385964912280704,1288.5,838.5294117639546,449.9705882360454,1.0,1.0,1.0,1.0,0.0,0.0,471.05471699614577,1635.2000000178814,1164.1452830217356,448.41490383962014,-0.0714285714285714,-131.7391025650386,0.03703703703703709,1.0,,,1.0,1.0,-256.9500000178817,-165.53000000417236,3135.326930320756,-0.24858757062146897,0.31999999999999995,0.31999999999999995,0.24,1216.2200000097357,2.6,1.5,3.0,1.25,3.0,0.5,1795.2600000043712,0.0,4.6,-125.43799999892732,0.4,2627.073333340883,0.2,2785.533333337307,0.0,719.6933333516122,0.0,299.67333333492286,0.0,200.93333333730698
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,,,,,,,1408.866666669647,,0.0,0.0,0.0,0.0,0.0,0.0,3.031132079520262,950.5,947.4688679204797,-94.51527780526226,0.0,-121.52000000178805,0.0,1.0,,,1.0,1.0,-17.899999976158274,-76.54999997615816,1789.2016666452091,-0.1852459016393443,0.27999999999999997,0.27999999999999997,0.24000000000000005,261.84166664679844,2.4,1.2,2.0,1.368421052631579,3.0,0.3333333333333333,698.6266666491827,0.0,4.4,-164.16799999952337,0.4,1832.9133333126708,0.0,471.2933333079021,0.0,-91.00666669209781,0.0,-67.20666666825608,0.0,-696.906666692098
1fbLQPCcysVlSKup96K4yI5NX6G3,0.0,0.0,158.07393162576545,1.0,0.02564102564102566,1366.2999999523163,839.3384615376465,526.9615384146698,1.0,1.0,1.0,1.0,0.0,0.0,158.5367924436083,1072.5,913.9632075563917,72.86809525461422,0.125,-105.16096489392874,0.050000000000000044,1.0,,,1.0,1.0,-76.94999998807913,-37.09999998807909,770.2590908957993,-0.47326203208556145,0.6799999999999999,0.6799999999999999,0.6,143.97499998410552,2.8,1.8888888888888888,4.0,2.0555555555555554,7.0,0.23529411764705882,130.8599999507268,0.0,7.6,73.06600000619885,1.0,263.67999997138975,0.8,226.15999991893767,0.6,333.0999999761582,0.4,233.35999999046317,0.0,337.33999996185304
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,,,,,,,1364.5339449534722,,0.0,0.0,0.0,0.0,0.0,0.0,44.50095241183328,950.1000000238419,905.5990476120086,325.43059165094814,-0.08333333333333337,-53.17282609188044,0.040000000000000036,1.0,,,1.0,1.0,-111.5250000059606,-83.505000013113,566.9662337671627,0.003896103896103953,0.23999999999999994,0.23999999999999994,0.2,324.13166666428253,1.2,1.1666666666666667,2.0,1.9333333333333333,4.0,0.2857142857142857,187.8666666825613,1.0,5.0,331.59999998807905,0.4,41.646666701634786,0.2,546.846666653951,0.2,955.6066666682561,0.2,1176.1266666491824,0.0,6.806666668256116
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.4,3.2,40.71141026050623,0.8666666666666667,-0.008333333333333304,973.7600000143051,731.303478260144,242.45652175416114,1.0,1.0,1.1538461538461537,2.0,1.0,1.0,130.0981131842674,1054.899999976158,924.8018867918905,-523.2305194886475,0.08333333333333337,28.55300000786781,-0.038461538461538436,1.0,,,1.0,1.0,-61.19999998807915,-32.72999998927109,-78.11995037678753,-0.30669975186104215,0.7333333333333334,0.7333333333333334,0.6666666666666666,-623.6333333502214,4.0,2.8181818181818183,10.0,8.181818181818182,73.0,0.16129032258064516,114.25555556350287,0.0,12.0,54.69333333571754,0.6666666666666666,-298.21111110183926,1.0,1126.7888888981608,0.3333333333333333,-63.81111112568093,0.6666666666666666,-329.5444444153043,0.3333333333333333,342.9222222235467
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.0,0.0,85.84166670287095,1.0,0.02752293577981646,1032.2750000953674,1217.7268518474366,-185.45185175206916,1.3333333333333333,2.0,1.0,1.0,0.0,0.0,,,1128.9273584923653,-24.392857176916777,0.0,-12.12333335876474,0.0,,,,0.0,0.0,,,1205.5130537759653,-0.30933544303797467,0.24999999999999997,0.24999999999999997,0.25,624.9020832677684,1.75,1.0,1.0,1.9,4.0,0.16666666666666666,788.8333332141242,1.0,4.75,-144.67499997615815,0.25,1157.3166664838793,0.25,1133.2166665792467,0.0,-43.68333327770233,0.0,-46.908333420753394,0.25,-146.43333339691154
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.0,0.0,712.6103245357497,1.0,0.053097345132743334,1451.5,1004.4805084648779,447.01949153512214,1.0,1.0,1.0,1.0,0.0,0.0,,,1080.2523364575109,-6.881282089103024,0.0,-106.65671941178584,0.0,,,,0.0,0.0,,,385.47222222155983,-0.19444444444444453,0.32,0.32,0.32,10.204999955495259,2.2,1.1111111111111112,2.0,2.3846153846153846,8.0,0.2,-47.546666733423855,1.0,4.6,37.12400001049039,0.2,25.58666659990954,0.2,111.66666661898299,0.0,-44.25333331425973,0.2,-59.353333409627155,0.0,-82.47333339055376
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.2,3.2,179.39972527472742,0.8571428571428571,-0.0851648351648352,885.6000000000465,905.6168224299022,-20.016822429855665,1.0,1.0,1.1666666666666667,2.0,1.0,1.0,121.68811881193369,1371.5000000000582,1249.8118811881245,92.08333333335145,0.024242424242424288,2.39676113360656,-0.012962962962962954,1.0,,,1.0,1.0,-195.00000000002947,-29.750000000011617,488.2604735883501,-0.2513661202185793,0.31999999999999995,0.31999999999999995,0.32,396.56666666673266,2.2,1.6,3.0,1.9230769230769231,4.0,0.375,491.33333333334883,0.0,5.0,-8.999999999967383,0.2,338.7333333333644,0.4,758.9333333333644,0.2,389.9333333333178,0.0,305.7333333335041,0.0,334.7333333332713
2h5FgHUEvBS1twD5DqbTIRrMm1f2,,,452.8515942115715,0.6666666666666666,-0.3159420289855073,,878.643697478691,,0.0,0.0,1.5,2.0,0.0,0.0,891.7132075496439,1648.0,756.2867924503561,127.85343479561266,-0.0714285714285714,-31.358333334326744,0.045454545454545414,1.0,,,1.0,1.0,62.14999997615825,-110.81000000238411,1687.0239999990238,-0.2966507177033493,0.5199999999999999,0.5199999999999999,0.36,1083.0958333152034,2.6,1.0833333333333333,2.0,1.565217391304348,3.0,0.15384615384615385,976.293333307902,0.0,7.2,78.32600000381463,0.4,2533.813333320617,0.6,653.1533332943916,0.4,1333.8733333349228,0.4,733.5133333206177,0.0,1214.3333333253859
2zDXvJKvjeejeOSNbtDbtSI5cdz1,,,429.13644067767905,1.0,0.008474576271186418,,1108.0516666665828,,0.0,0.0,1.0,1.0,0.0,0.0,,,759.42897196269,17.117793317273595,0.0,-14.93079710158895,0.0,,,,0.0,0.0,,,1061.7963570131155,-0.23497267759562845,0.32,0.32,0.2,-82.65999999980761,2.2,1.0,1.0,1.4615384615384615,3.0,0.2,250.59333333373064,0.0,4.8,-60.708000000119306,0.6,256.0600000006456,0.2,875.8600000002731,0.0,-451.09999999950344,0.0,-330.1000000002485,0.0,67.81999999967681
3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.0,0.0,504.3457264958564,1.0,0.017094017094017144,1599.0000000001164,897.7842105263068,701.2157894738097,1.0,1.0,1.0,1.0,0.0,0.0,,,845.5149532710267,382.9073593073948,0.0,-14.367558528453856,0.0,,,,0.0,0.0,,,1128.4895604395601,-0.19340659340659339,0.27999999999999997,0.27999999999999997,0.24,491.09333333329613,1.8,1.1428571428571428,2.0,1.8666666666666667,7.0,0.25,450.91999999995653,1.0,5.8,71.18999999999996,0.6,839.0066666666728,0.0,439.18666666646794,0.2,-4.493333333327087,0.0,852.2666666667288,0.2,42.386666666747416
3WijiOiVCoMbn80F05SPYsxl0TC2,,,-268.5093220108646,1.0,0.008474576271186418,,862.915833334128,,0.0,0.0,1.0,1.0,0.0,0.0,,,835.6887850460605,74.00666674507977,0.0,-133.03703704208283,0.0,,,,0.0,0.0,,,1231.61091271031,-0.38888888888888884,0.43999999999999995,0.43999999999999995,0.31999999999999995,152.8199999829134,2.8,1.125,2.0,1.4615384615384615,3.0,0.2222222222222222,571.4800000111262,0.0,6.2,-83.82800001382824,0.8,519.4733333508173,0.6,815.5333333412806,0.0,198.43333331743878,0.0,120.8133332888286,0.2,96.45333329836527
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.3333333333333333,7.866666666666666,307.81614037396616,1.0,0.04385964912280704,608.2666668891907,749.3455357210977,-141.07886883190702,1.0,1.0,1.0,1.0,1.0,1.0,242.21950758406615,889.8090909611095,647.5895833770434,15.410908751054194,-0.14761904761904765,6.94166671435039,-0.04385964912280704,0.8181818181818182,313.321271897408,0.17748917748917747,1.2222222222222223,2.0,-119.7368055383366,-72.75555557674835,-113.0432006261683,-0.0762175838077166,0.5,0.5,0.5,-134.80416675408685,1.5,1.75,4.0,3.0,13.0,0.19047619047619047,-82.77500025431311,3.0,9.0,46.64500005245213,0.5,-104.11666711171469,0.5,103.00833312670392,0.5,-114.01666696866354,0.5,-9.041666587193816,0.25,8.633333126703889
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.0,,,,,3003.0,704.1500000001515,2298.8499999998485,1.0,1.0,0.0,0.0,0.0,0.0,60.92083333876849,764.433333337307,703.5124999985385,-69.73968253835801,-0.0625,10.841666665662046,0.040000000000000036,1.0,,,1.0,1.0,43.06666666269287,-12.623333334426102,480.46920634910225,-0.13650793650793647,0.12,0.12,0.08,44.382000000029805,1.6,1.5,2.0,1.2,2.0,0.6666666666666666,236.65999999940396,0.0,3.6,-106.879999999702,0.2,556.326666667064,0.0,-175.23333333233987,0.0,-8.033333332339907,0.0,76.66666666467984,0.2,-17.79333333174386
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.0,0.0,148.57837837838008,0.7142857142857143,-0.2410714285714286,2115.25,996.4649572649545,1118.7850427350454,1.0,1.0,1.5,2.0,0.0,0.0,,,820.7523364485982,342.2934343434457,0.0,-88.55196687369096,0.0,,,,0.0,0.0,,,1518.2124999999878,0.11111111111111116,0.27999999999999997,0.27999999999999997,0.24,651.8483333332968,1.6,1.0,1.0,1.4666666666666666,4.0,0.14285714285714285,793.3666666666666,0.0,5.2,-57.84200000001597,0.4,676.7400000000683,0.2,1786.5399999999747,0.2,435.4399999999285,0.0,-251.74000000005282,0.0,160.24000000006828
50R0P1MIMvRvK1qpqfGROchII6R2,0.0,0.0,-62.48764358032713,1.0,0.025862068965517238,1678.0,846.0482758612468,831.9517241387532,1.0,1.0,1.0,1.0,0.0,0.0,591.8147617362795,1393.1499998569489,801.3352381206694,130.5593531094231,0.11111111111111116,2.186904827753665,-0.045454545454545414,1.0,,,1.0,1.0,-285.74999988079077,-93.53999996185304,54.758847545568415,-0.24171341152473225,0.6375,0.6375,0.6375,-121.95555546548633,2.0,1.7272727272727273,4.0,2.5,7.0,0.10526315789473684,-8.92499991257992,0.0,15.0,2.4766666730245297,0.75,83.59166677792868,0.75,-62.50833324591321,0.75,-53.95833317438763,0.3333333333333333,-110.65555551317004,0.0,-77.18888881471428
5OOi73igsahMZ5IVKQwwyhnj4Cn2,,,,,,,836.0558333333078,,0.0,0.0,0.0,0.0,0.0,0.0,355.69433962288406,1182.3000000002794,826.6056603773953,-57.98131313127965,-0.08333333333333337,-66.82608695642057,0.04166666666666663,1.0,,,1.0,1.0,-34.55000000004662,-64.49999999995353,709.0034562212325,-0.062211981566820285,0.15999999999999998,0.15999999999999998,0.08,300.44233333331226,1.6,1.0,1.0,1.6666666666666667,5.0,0.3333333333333333,594.0600000000559,0.0,4.8,-317.2280000000539,0.0,106.2533333334139,0.2,-135.86666666660457,0.0,256.2133333332837,0.0,150.67333333315327,0.2,280.7933333333582
