task,metric,outcome,beta,se,pval,ci_lower,ci_upper,n
wcst,rt_sd,wcst_rt_sd,371.403353495427,246.6916110563981,0.13443894393029593,-116.31921374844484,859.1259207392989,148
wcst,rt_iqr,wcst_rt_iqr,117.76491310296612,57.041674957162,0.040811980706724704,4.990457454219879,230.53936875171235,148
wcst,rt_rmssd,wcst_rt_rmssd,487.5352249446383,350.4605480802153,0.16639368896131296,-205.34410522561183,1180.4145551148883,148
prp,rt_sd,prp_rt_sd,6.841137455539943,11.26394902321438,0.5445764854230618,-15.422903326396657,29.105178237476544,152
prp,rt_iqr,prp_rt_iqr,8.58382174306248,19.00809866532833,0.6522455050806402,-28.9871121274441,46.15475561356906,152
prp,rt_rmssd,prp_rt_rmssd,10.927074954915803,15.840237951751392,0.4914111687945518,-20.382344417148484,42.23649432698009,152
stroop,rt_sd,stroop_rt_sd,10.14228380765298,10.335345703986038,0.3280362910756215,-10.281625317160717,30.566192932466677,156
stroop,rt_iqr,stroop_rt_iqr,16.48007278429157,13.893567998424896,0.23745764184134255,-10.975319453803724,43.935465022386865,156
stroop,rt_rmssd,stroop_rt_rmssd,11.632908881346122,13.516606856249844,0.3908293948179373,-15.077561964482637,38.34337972717488,156
