,UCLA,DASS-Dep,DASS-Anx,DASS-Str,WCST PE,Stroop Int,PRP Delay
UCLA,0.0,1.8839770214424656e-28,3.722975788446066e-14,1.6501319645409417e-17,0.08864398515574055,0.8195146138131669,0.016475294190466182
DASS-Dep,1.8839770214424656e-28,0.0,4.1126651440029905e-27,1.3979732992512624e-28,0.012777536928011679,0.5417305809705918,0.22458073073027826
DASS-Anx,3.722975788446066e-14,4.1126651440029905e-27,0.0,6.793751877868345e-38,0.03101764618792299,0.8300733565291666,0.09880664701816942
DASS-Str,1.6501319645409417e-17,1.3979732992512624e-28,6.793751877868345e-38,0.0,0.02752177805525619,0.8678733460856248,0.12848692104461598
WCST PE,0.08864398515574055,0.012777536928011679,0.03101764618792299,0.02752177805525619,0.0,0.4659717269099202,0.6010460932347688
Stroop Int,0.8195146138131669,0.5417305809705918,0.8300733565291666,0.8678733460856248,0.4659717269099202,0.0,0.06926432701412552
PRP Delay,0.016475294190466182,0.22458073073027826,0.09880664701816942,0.12848692104461598,0.6010460932347688,0.06926432701412552,0.0
