model,term,beta,se,t,p
EF outcome,Intercept,0.13775970412228972,0.058059494759709306,2.3727334296041582,0.01765700203871009
EF outcome,C(gender_male)[T.1],-0.31295384571381196,0.09772142849691617,-3.202509935921454,0.0013623560041999682
EF outcome,z_ucla,0.005884788512696533,0.05903163005880265,0.09968873478226116,0.9205914443301522
EF outcome,z_ucla:C(gender_male)[T.1],0.0377108586905531,0.10512701011078067,0.35871712370411923,0.7198067169734317
EF outcome,z_dass_str,-0.12573955890836938,0.068316292703094,-1.840550093296774,0.06568751698962862
EF outcome,z_dass_str:C(gender_male)[T.1],0.14870420202033796,0.11826084505820053,1.2574254982463142,0.20859960093991692
EF outcome,z_age,0.019418869381214354,0.19357326436307645,0.10031793101753594,0.9200919224078875
