participant_id,n_trials,n_t1t2,n_t2t1,n_t2_only,n_t1_only,reversal_rate,reversal_soa_50,reversal_soa_150,reversal_soa_300,reversal_soa_600,reversal_soa_1200
DzB19GqCB7fyrlEPexogWkjFzEx2,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
xBGZhFOeypWnqzSQClkrwV9z2vF3,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
y1EHXv8tUTa4BRS4fRio7bULYfA2,120,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
roaf78tUWxWSEjAUcUu8O7mrQbl1,120,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
i1tBstVkNiVP0qro7TgGD08IGGa2,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
2zDXvJKvjeejeOSNbtDbtSI5cdz1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
iWsc4pghIEWOQUZKuQJMfe516UI3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
lHDkoPQu5reNCO45npeYSS9eLQl1,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
WcTsIpSoEhYeIBSNjAbbdaNSBya2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,120,0,0,108,0,0,0.0,0.0,0.0,0.0,0.0
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
CtJe4bZZnYUBNrcPk00d3YQFSGp2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
CDEoAyvS8feXLKMKsaZah9agEhF3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
AyAnuCaltBbpEYbudoyNzTvXlcC2,120,0,0,11,0,0,0.0,0.0,0.0,0.0,0.0
azdL1gX79EVd9iepyCAVQrqIaQF3,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
jzdk8E3tVXTXIozlfK5oeEb7wWp2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
pRQimOpZtsekBI2I1kbnD3pycmo1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
yfjd8LbAMrYeG54927d3GiKAyXI2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
HSggdq91WiQp16bOj7V3dABkcgk2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
PLreonkqaMeFc0UqxKUelH44UQu1,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
foaW7wtvY3XLNdguFUK7OvOefP93,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
EmfmKFDgWJdW47a6CNTNjnbYaPh2,120,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0
6ABZuv4jbjgE0B8TeyUk6nwVb122,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
WeHQDy9BWldTlaQDVVlsJNCqwxA2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
5OOi73igsahMZ5IVKQwwyhnj4Cn2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
O61Eik2zvrSQLMNpFbTNEgjWwMr2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Ub7nV8F55kPruh35ZpUcKoBUyn63,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Co587hoelyeANqFX7AYvuVQW0lZ2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
cec6NLR2ZLVVw6h0TEKSNIH11v02,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
M4Km1Q2P2oPliChDQkwl6k20FUI3,120,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,120,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
