depression,anxiety,stress,outcome,n,n_female,n_male,interaction_beta,interaction_pval,female_corr,male_corr
Low,Low,Low,pe_rate,14,7,7,2.5958367795322297,0.17052922598492187,0.5130214628717977,0.8387533304551402
Low,Low,Low,wcst_accuracy,14,7,7,-3.849839014664509,0.5115198622513664,-0.7204240895452019,-0.747892188183095
High,High,High,pe_rate,14,8,6,0.6366756962010363,0.7005658535957959,-0.3230793843221882,-0.2623868542208004
High,High,High,wcst_accuracy,14,8,6,-3.13089876135008,0.24686929742086738,0.7421395372425228,0.8883435029816357
