module,parameter,param_col,dass_var,model_name,model_description,n,a_coef,b_coef,indirect_effect,a_p,b_p,method,aic,bic,cfi,rmsea
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_dep,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,2.5529058307035126,-0.0003006838625966777,-0.0007676175860215123,0.008647568132354566,0.9361025491863126,semopy,17.99999986766847,47.54883342631037,1.0471736188844958,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_dep,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.6576981769823719,-0.10523289313484295,-0.06921148197336696,0.0,0.9380360791501472,semopy,17.99999969932439,47.54883325796629,1.0471734885129051,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_dep,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.6932825504646364,2.62382786507784,1.8190540742813468,0.0,0.04655457339645075,semopy,17.999999927479394,47.54883348612129,1.0471736600510715,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_anx,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,2.5524401304294493,-0.003171368783711516,-0.008094728951936506,0.008654006847415463,0.472933530441892,semopy,17.99999915331281,47.5488327119547,1.0949871217319136,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_anx,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.4909265315896176,-0.8229906425912745,-0.404027941698045,4.440892098500626e-16,0.472645200878401,semopy,17.99999985203509,47.548833410676984,1.0949882113149534,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_anx,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.5118916428625586,2.9570309116358207,1.5136794113526297,4.440892098500626e-16,0.008416697139587148,semopy,17.99999969913913,47.54883325778103,1.094987950588092,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_str,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,2.55250254440338,-0.0020502389508875608,-0.005233240138775416,0.008659791075185552,0.6348975329072135,semopy,17.999999139323776,47.54883269796567,1.0753359822251007,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_str,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.5555308061325233,-0.5590635243569412,-0.3105770103653011,0.0,0.6340903585846576,semopy,17.999999888431184,47.54883344707308,1.075336908708545,0.0
wcst_hmm_path,Lapse occupancy (%),lapse_occupancy,z_dass_str,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.5592522240576409,2.8642611896151178,1.6018444405742387,0.0,0.014439610568250938,semopy,17.99999890674181,47.548832465383704,1.0753356916721264,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_dep,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,0.013089870472372948,-0.10006986791223402,-0.0013099016091586131,0.08983432559444116,0.8322991374128106,semopy,17.99999764403792,47.548831202679814,1.0485233213726302,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_dep,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.6576821640040708,-0.002387316069065649,-0.0015700951984647877,0.0,0.824162549907999,semopy,17.999999911237765,47.54883346987966,1.0485251274739145,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_dep,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.6931402610690361,0.014626775962942424,0.010138407309552214,0.0,0.16203627008136756,semopy,17.999999479339046,47.54883303798094,1.0485247757539031,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_anx,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,0.01306707408543162,-0.7211091761425544,-0.009422787028339319,0.09046320335142122,0.19377651981072797,semopy,17.999999949336182,47.548833507978074,1.09877964611564,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_anx,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.49093652477575817,-0.01177041649305141,-0.005778527368261926,4.440892098500626e-16,0.19444365337801517,semopy,17.999999857812767,47.54883341645466,1.0987794976978136,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_anx,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.511911635453184,0.018846433398783603,0.009647708543630822,4.440892098500626e-16,0.03380548651351978,semopy,17.999999769688273,47.54883332833017,1.0987793624240594,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_str,loneliness_to_mechanism_to_dass,Loneliness → mechanism → DASS,197,0.013066463786812792,-0.30950041527466443,-0.0040440759681899235,0.09049507626298392,0.569201894321564,semopy,17.999999958057767,47.54883351669966,1.0787887236816658,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_str,loneliness_to_dass_to_mechanism,Loneliness → DASS → mechanism,197,0.5552643074749848,-0.005295371681489078,-0.0029403308895446785,0.0,0.5699102094859807,semopy,17.99999921042438,47.54883276906628,1.0787877566559316,0.0
wcst_hmm_path,P(Focus→Lapse),trans_to_lapse,z_dass_str,dass_to_loneliness_to_mechanism,DASS → loneliness → mechanism,197,0.5591702033412203,0.015993982194841713,0.008943358276125496,0.0,0.08514087716015872,semopy,17.99999984143227,47.548833400074166,1.0787885741602692,0.0
