anxiety_group,gender,n,r,p,beta,beta_p
Low Anxiety,Female,50,-0.11487997952262712,0.4269548239513159,-0.06508376741654257,0.42695482395131623
Low Anxiety,Male,36,-0.018545598511340557,0.9145068440470676,-0.007521716943126186,0.9145068440470653
High Anxiety,Female,43,-0.19828572434129887,0.2024394382181093,-0.11579418261978569,0.2024394382181105
High Anxiety,Male,19,0.2662520667435419,0.2705417828093924,0.0714098945224711,0.27054178280939256
