task,parameter,r_all,p_all,r_male,p_male,r_female,p_female,fisher_z,fisher_p
wcst,v,,,-0.03818922188203906,0.853058168885162,,,,
wcst,a,,,0.11870093141897907,0.5635752710173076,,,,
wcst,t,,,0.18327182058494693,0.37016155550175867,,,,
