nll,bic,aic,n_trials,alpha,beta,participant_id
110.88269492886529,230.57882835225908,225.76538985773058,82,0.98535259044286,0.7412251699219247,06qcrpGKL6Vc3LVplFQC90VAcRm1
106.75938197551848,222.20637479474433,217.51876395103696,77,0.01,0.1,0ZtXlQtAJkW6jS21vfMOtNL4OnL2
94.27830896810799,196.9956333465682,192.55661793621599,68,0.01,0.1,0d841i8KPjdjwCYfDuUUXj0SEjH2
101.20098597530317,210.9828908329031,206.40197195060634,73,0.01,0.1,0oa5NYVnIBS9NmrmRAZrahXDctP2
106.75409689975176,222.1958046432109,217.50819379950352,77,0.01,0.1,146QT9LupyU2BAiTsB3PMIpVXM22
94.59472862414349,197.6576702574815,193.18945724828697,69,0.1794774325304608,1.641204327952922,1Vb7DcXYw9R86bw5qj9eBk9fPqA2
99.82994939214211,208.21323102231634,203.65989878428422,72,0.01,0.1,1dpmVw8fpcc2IHs0s9WqdU8Yvi53
125.57170268215373,260.16512437734116,255.14340536430745,91,0.99,0.2993380982112735,1fbLQPCcysVlSKup96K4yI5NX6G3
122.01883862915963,252.99235088727568,248.03767725831926,88,0.01,0.1,1tT7dcLvf0bMGBdBWWYd8YkdJwr1
177.46854181292144,364.64114415368215,358.9370836258429,128,0.01,0.10000000000000009,1upUBO9zBnhHcpJ1WoAnaBXWKRV2
116.72716485474737,242.3396322224754,237.45432970949474,85,0.99,0.4368658146096613,23AEyocWhqY955WHbxhHRSgQ1ms2
97.92491791271291,204.37519557950847,199.84983582542583,71,0.8359667884300425,0.40641827001232483,2FHuv7L9nWPdbIiWHRIuXtcoyw83
136.83210440094328,282.8544485021557,277.66420880188656,99,0.01,3.109352795208347,2h5FgHUEvBS1twD5DqbTIRrMm1f2
98.45244554586587,205.43025084581438,200.90489109173174,71,0.01,0.1,2zDXvJKvjeejeOSNbtDbtSI5cdz1
115.63665343105191,240.13494045979044,235.27330686210382,84,0.99,0.4224766582735975,3FSnTCSiUodLp5u3bE0xaUjLk0b2
110.9186264718188,230.60130621298535,225.8372529436376,80,0.01,0.1,3WijiOiVCoMbn80F05SPYsxl0TC2
177.34287331439552,364.3898071566303,358.68574662879104,128,0.01,1.6345101253592145,3rlzYufVjVVLv3ZFLcpfZUtXEEi1
95.67075837788383,199.80972976496219,195.34151675576766,69,0.01,0.1,3xCaqfcHxRQxuOlEzXz3PNcHODH2
113.34206145113811,235.4975613968047,230.68412290227621,82,0.66927129716432,0.3942616159671685,4ySuGdFDDmaAr6JUXbD4UIY6BQ13
