nll,bic,aic,n_trials,alpha_pos,alpha_neg,beta,participant_id,alpha_asymmetry
110.86514179511941,234.95044133203157,227.73028359023883,82,0.99,0.9014662347439212,0.7848337748753836,06qcrpGKL6Vc3LVplFQC90VAcRm1,0.08853376525607881
106.21411151752929,225.45963930061964,218.42822303505858,77,0.05946721483357248,0.99,1.1897900150042418,0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-0.9305327851664276
94.27830896810799,201.2151410517443,194.55661793621599,68,0.01,0.01,0.1,0d841i8KPjdjwCYfDuUUXj0SEjH2,0.0
100.76504497921964,214.40146828188446,207.53008995843928,73,0.01,0.6063245142995034,7.209784839342009,0oa5NYVnIBS9NmrmRAZrahXDctP2,-0.5963245142995034
106.7116584408389,226.45473314723887,219.4233168816778,77,0.2490234794920747,0.01,0.26525980078622236,146QT9LupyU2BAiTsB3PMIpVXM22,0.2390234794920747
93.99512024395476,200.69256000170128,193.99024048790952,69,0.015432950152629047,0.48932078932069084,10.0,1Vb7DcXYw9R86bw5qj9eBk9fPqA2,-0.4738878391680618
99.82994939214211,212.4898971413324,205.65989878428422,72,0.01,0.01,0.10000000000000009,1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.0
125.57170268215421,264.675983883859,257.1434053643084,91,0.99,0.99,0.2993384813458839,1fbLQPCcysVlSKup96K4yI5NX6G3,0.0
122.01883862915963,257.46968770175386,250.03767725831926,88,0.010000000000000009,0.01,0.1,1tT7dcLvf0bMGBdBWWYd8YkdJwr1,8.673617379884035e-18
177.45926614921405,369.4746230901869,360.9185322984281,128,0.01,0.99,0.1,1upUBO9zBnhHcpJ1WoAnaBXWKRV2,-0.98
116.68695565414966,246.70186507777026,239.3739113082993,85,0.8569615848098553,0.99,0.4557539781617953,23AEyocWhqY955WHbxhHRSgQ1ms2,-0.1330384151901447
97.83356143027545,208.45516249167486,201.6671228605509,71,0.9713982565832258,0.36366186229691333,0.5821681404995838,2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.6077363942863124
136.8025909673367,287.39054148507716,279.6051819346734,99,0.01,0.07826469612497712,3.497645427843593,2h5FgHUEvBS1twD5DqbTIRrMm1f2,-0.06826469612497713
98.14779354835925,209.08362672784244,202.2955870967185,71,0.99,0.05581176697086442,0.5800313105078259,2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.9341882330291356
115.59016772097155,244.47278583847304,237.1803354419431,84,0.99,0.7570142100426429,0.5015317350600554,3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.23298578995735708
110.2241825162353,233.59444493649224,226.4483650324706,80,0.99,0.12251165436244424,0.753636061069985,3WijiOiVCoMbn80F05SPYsxl0TC2,0.8674883456375557
177.07289505482674,368.7018809014123,360.1457901096535,128,0.01,0.99,5.549745570685705,3rlzYufVjVVLv3ZFLcpfZUtXEEi1,-0.98
95.67075837788383,204.04383626955945,197.34151675576766,69,0.01,0.01,0.1,3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.0
113.23681724968515,239.69379224116307,232.4736344993703,82,0.38140063105440114,0.99,0.33989598597535314,4ySuGdFDDmaAr6JUXbD4UIY6BQ13,-0.6085993689455989
177.17509344978419,368.9062776913272,360.35018689956837,128,0.34438827750504664,0.01,0.437726291979392,50R0P1MIMvRvK1qpqfGROchII6R2,0.3343882775050466
96.850172175168,206.44583007648407,199.700344350336,70,0.99,0.01,0.39453071303169135,5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.98
