simulation,true_alpha,recovered_alpha,true_beta,recovered_beta
0,0.39963209507789,0.24827210641567188,4.7782143788446225,10.0
1,0.5150324973946929,0.19616243303197467,3.6635853150283,10.0
2,0.793657854864083,0.12673325029565138,4.609582486504121,10.0
3,0.824305581135411,0.18237841983673214,0.910790045537601,10.0
4,0.5945025923663166,0.24631893257927895,2.111732231147782,10.0
5,0.753657656759424,0.10320301937500219,1.6605627217022292,10.0
6,0.5730203485959434,0.19619280529724262,2.2955121674155863,10.0
7,0.24029702289875968,0.21448059269119013,4.614853756662319,10.0
8,0.8929349009095813,0.15600121032162143,1.5425226562254952,10.0
9,0.4357818535408978,0.13827404473468116,3.373366764488385,10.0
10,0.8298906764933528,0.1013608603529498,1.4479798505254995,10.0
11,0.5955922768076917,0.21065768645997413,2.585723197102576,10.0
12,0.6319293795897745,0.14386095956777775,4.079524823553781,10.0
13,0.4007106281166155,0.19495006108292878,2.275143253565159,10.0
14,0.6965870261849857,0.14455057958438147,1.4111625207435683,10.0
15,0.7804928462729103,0.16789855152301003,3.025502547271362,10.0
16,0.3234208707635283,0.20336818818931554,3.3929685952641844,10.0
17,0.49483726427209496,0.1323042688376089,3.6601644471424892,10.0
18,0.14611806575921993,0.16391384942564144,2.04101590475621,10.0
19,0.5686918307628154,0.18855806498197095,3.311527382552311,10.0
20,0.8188484837398715,0.20807786744526308,4.024392859843816,10.0
21,0.2766822263704072,0.17505850298243517,0.6751848349655035,10.0
22,0.5421656605748363,0.1983357980515225,2.2844915689548344,10.0
23,0.8611925681414297,0.19625325278762956,4.273213252293612,10.0
24,0.7342064908582503,0.16948302361064344,0.8107065784156988,10.0
25,0.1538047311738943,0.17200203281561466,0.9271307156975137,10.0
26,0.3051704488134128,0.25503614166843086,2.0989388681324948,10.0
27,0.6796786294781032,0.13548322144843356,1.0021684998076137,10.0
28,0.1402796215754826,0.2262455102767031,0.7374436603682117,10.0
29,0.1801964509783013,0.2076484664517817,0.5746661628466905,10.0
30,0.6538834449235313,0.18074915035896583,1.54999770192197,10.0
31,0.13326316787727502,0.20886301012525743,2.7415847459661906,10.0
32,0.431312854572533,0.2061496208449972,4.810756369667619,10.0
33,0.7241701188285069,0.163898940199404,3.0375181447493107,10.0
34,0.856019251664455,0.17822213681568166,3.5714321544522067,10.0
35,0.48658566070034814,0.1706990543393095,4.941031754247339,10.0
36,0.21773060087595628,0.130003311834977,1.8408975597312969,10.0
37,0.5515332702237982,0.21935592138177845,3.2026243864421122,10.0
38,0.2628278991095171,0.2526937494211436,3.960775099218759,10.0
39,0.44627193684573785,0.2575845421031635,2.9099411289400923,10.0
40,0.4682632405142121,0.15734643118805725,1.4791457296924002,10.0
41,0.6201497331565227,0.1939026545145144,4.921171612705615,10.0
42,0.4623066883324094,0.15144970266399774,4.75571798798461,10.0
43,0.35601289046991347,0.12686307603411404,2.7772011158532646,10.0
44,0.2144495621787219,0.1907448462182031,0.5630653288672565,10.0
45,0.14161900402355754,0.18622301985986833,1.0114071741352373,10.0
46,0.5956660742616695,0.11733654015330146,3.4857065530791953,10.0
47,0.7001286663636809,0.19654102948789193,3.620303840430698,10.0
48,0.3922934732405222,0.24559602657879506,4.287269568910169,10.0
49,0.8148079771146544,0.21685727840733818,3.905551503060787,10.0
50,0.1456792627561411,0.23149260110223285,0.9974442483886123,10.0
51,0.35380733948549403,0.2682478170915997,3.9483683200350503,10.0
52,0.5985379396257499,0.1388910082315443,0.8349278829733204,10.0
53,0.4065315748473006,0.15229130142430397,4.0759830157905,10.0
54,0.5100609727393693,0.24222481678823363,1.7049844157185288,10.0
55,0.37437321576006255,0.20532066939767096,1.122105045353257,10.0
56,0.35642893344519644,0.15513257242249234,3.8498866421599667,10.0
57,0.2025504582483694,0.2790210194000739,2.4141042332149265,10.0
58,0.35328194786193035,0.2854867852888972,2.3006987278942956,10.0
59,0.28406759348598004,0.26674327173179163,2.3273695965189694,10.0
60,0.8702278463845857,0.10706876649478697,1.0699514278123727,10.0
61,0.5941556689508727,0.18217594108761398,3.3999042633341747,10.0
62,0.1512348190918308,0.18107269779139618,4.380953585635206,10.0
63,0.45852869869520163,0.1928892844935742,1.734856842360568,10.0
64,0.31010688989285895,0.221350611516368,2.7698946787184586,10.0
65,0.5587996679481728,0.12628584003545376,4.341334678375807,10.0
66,0.36299679067968527,0.2050911059331769,3.7419516600160008,10.0
67,0.5320233538085501,0.2473765963631905,2.574651056440154,10.0
68,0.25950465520850163,0.1634088960239044,1.8844478931035142,10.0
69,0.5278982046070042,0.2605823886952971,4.444691534757585,10.0
70,0.3578707664647549,0.2430897066462231,3.246772399898241,10.0
71,0.8559579366572037,0.1897405631559801,1.3800679119568537,10.0
72,0.11196895860504058,0.20307227919488768,1.6904582880171877,10.0
73,0.7681834326768119,0.14808884436663292,4.520565743752021,10.0
74,0.21850713761310647,0.21300579084092283,3.4422348372245493,10.0
75,0.5170142030592526,0.20652280493793065,1.2744493369243797,10.0
76,0.30004540680812253,0.14498240472431587,2.376719277444054,10.0
77,0.7447425227322869,0.12319188444703642,1.0949518526913486,10.0
78,0.6986550408979927,0.1891427933208149,4.409407537414642,10.0
79,0.46123708877844516,0.26809220507639103,3.1082490465272774,10.0
80,0.3996289219608329,0.16598265471533297,0.8635064624345463,10.0
81,0.6363324117271653,0.1485754863984293,4.69069982330602,10.0
82,0.3942657794567651,0.15632734849303487,2.3704745067520214,10.0
83,0.45228141911460185,0.20442203330434355,3.6820427627497145,10.0
84,0.7650592570281998,0.20889263914018583,2.1427056206425106,10.0
85,0.43125489555235397,0.23376396250060938,1.6416357349811486,10.0
86,0.4714131362287518,0.29592457907857345,4.67228676981195,10.0
87,0.7173344850485966,0.1491329623902646,4.637887830107746,10.0
88,0.30619204904921493,0.21738869411807862,3.8830952503341885,10.0
89,0.34142337850902116,0.18000380964839485,4.314041583253227,10.0
90,0.18226625285132592,0.20711851962893163,0.7383780772074537,10.0
91,0.15113853135355104,0.27156507767969806,3.7160935224572933,10.0
92,0.22615093765851785,0.18769508860378512,2.8235291847724695,10.0
93,0.6547160020787022,0.19314163686480781,4.626705155695142,10.0
94,0.534160997805316,0.23001049204667132,4.095546671085614,10.0
95,0.7967124560213333,0.1812646189352487,1.4605768226253595,10.0
96,0.31965815654367735,0.21001224301039004,0.6461659491615261,10.0
97,0.15814712880209847,0.2251228425964824,3.059684292949227,10.0
98,0.36094804902232747,0.13438596412268156,4.824128442011276,10.0
99,0.6262227257905428,0.1671693578098596,3.11505079968075,10.0
