nll,bic,aic,n_trials,alpha,beta,participant_id,model,alpha_pos,alpha_neg,gamma
110.88269492886523,230.57882835225897,225.76538985773047,82,0.9853530406614626,0.741224854963951,06qcrpGKL6Vc3LVplFQC90VAcRm1,basic_rw,,,
106.6970175610529,222.08164596581318,217.3940351221058,77,0.29250945829655056,0.26513678591230566,0ZtXlQtAJkW6jS21vfMOtNL4OnL2,basic_rw,,,
94.27830896810799,196.9956333465682,192.55661793621599,68,0.01,0.10000000000000009,0d841i8KPjdjwCYfDuUUXj0SEjH2,basic_rw,,,
101.20098597530317,210.9828908329031,206.40197195060634,73,0.01,0.1,0oa5NYVnIBS9NmrmRAZrahXDctP2,basic_rw,,,
106.75409689975176,222.1958046432109,217.50819379950352,77,0.01,0.1,146QT9LupyU2BAiTsB3PMIpVXM22,basic_rw,,,
94.59472862414155,197.65767025747763,193.1894572482831,69,0.1794776146510329,1.6412060769231163,1Vb7DcXYw9R86bw5qj9eBk9fPqA2,basic_rw,,,
99.82994939214211,208.21323102231634,203.65989878428422,72,0.01,0.1,1dpmVw8fpcc2IHs0s9WqdU8Yvi53,basic_rw,,,
125.57170268215452,260.16512437734275,255.14340536430905,91,0.99,0.29933855356442873,1fbLQPCcysVlSKup96K4yI5NX6G3,basic_rw,,,
122.01883862915963,252.99235088727568,248.03767725831926,88,0.01,0.1,1tT7dcLvf0bMGBdBWWYd8YkdJwr1,basic_rw,,,
177.46854181292144,364.64114415368215,358.9370836258429,128,0.01,0.1,1upUBO9zBnhHcpJ1WoAnaBXWKRV2,basic_rw,,,
116.72716485474557,242.33963222247178,237.45432970949113,85,0.99,0.43686622679343623,23AEyocWhqY955WHbxhHRSgQ1ms2,basic_rw,,,
97.92491791271178,204.3751955795062,199.84983582542355,71,0.835966266238558,0.40641723480188924,2FHuv7L9nWPdbIiWHRIuXtcoyw83,basic_rw,,,
136.83210440093643,282.854448502142,277.66420880187286,99,0.01,3.1093375125448177,2h5FgHUEvBS1twD5DqbTIRrMm1f2,basic_rw,,,
98.32750909537833,205.1803779448393,200.65501819075666,71,0.99,0.16705486356786473,2zDXvJKvjeejeOSNbtDbtSI5cdz1,basic_rw,,,
115.63665343104653,240.13494045977967,235.27330686209305,84,0.99,0.4224751924275281,3FSnTCSiUodLp5u3bE0xaUjLk0b2,basic_rw,,,
110.64959213421429,230.06323753777633,225.29918426842858,80,0.99,0.2315558206135252,3WijiOiVCoMbn80F05SPYsxl0TC2,basic_rw,,,
177.34287331440493,364.3898071566491,358.68574662880985,128,0.01,1.6344939788740067,3rlzYufVjVVLv3ZFLcpfZUtXEEi1,basic_rw,,,
95.67075837788383,199.80972976496219,195.34151675576766,69,0.01,0.1,3xCaqfcHxRQxuOlEzXz3PNcHODH2,basic_rw,,,
113.34206141616087,235.49756132685025,230.68412283232175,82,0.6693607440134849,0.3943329006384732,4ySuGdFDDmaAr6JUXbD4UIY6BQ13,basic_rw,,,
177.27108022087256,364.2462209695844,358.5421604417451,128,0.1097452878771954,0.4775660962682419,50R0P1MIMvRvK1qpqfGROchII6R2,basic_rw,,,
97.04262725395841,202.58224499201555,198.08525450791683,70,0.01,0.1,5OOi73igsahMZ5IVKQwwyhnj4Cn2,basic_rw,,,
177.46861150478443,364.6412835374081,358.93722300956887,128,0.01,0.1,5Z68AKm9rIeeB2lVu3nJO7U31wk1,basic_rw,,,
117.17565831442822,243.23661914183708,238.35131662885644,85,0.22204810386005042,1.0500108487493063,5rXSa3anB5ejmFrnwUsTB82byup1,basic_rw,,,
120.62112510242015,250.17406644214947,245.2422502048403,87,0.01,0.1,5zxa5CMLGQSSonWOXqXf0QNS3PH3,basic_rw,,,
97.04583407136602,202.58865862683075,198.09166814273203,70,0.01,0.1,62fAfeQc27bZelkPX7G54T3gvci2,basic_rw,,,
122.00431581399936,252.96330525695512,248.0086316279987,88,0.01,0.1,6ABZuv4jbjgE0B8TeyUk6nwVb122,basic_rw,,,
176.19758422958617,362.0992289870116,356.39516845917234,128,0.04247088420130144,3.1429004525187243,6OwhwWQDThSPHTVAeXugohrYuje2,basic_rw,,,
