task,metric,beta_ucla,se_ucla,p_ucla,r_squared,n
stroop,reactive_rt_adjustment,9.423734995497812,7.246460132934389,0.19344319407678512,0.02296702026150199,171
stroop,reactive_acc_adjustment,0.002303018060798595,0.003694819300982582,0.5330807845503682,0.03654850890819372,171
