participant_id,wcst_switch_cost_rt_k1_sd,wcst_switch_cost_error_k1_sd,wcst_switch_cost_rt_early,wcst_switch_cost_rt_late,wcst_switch_cost_rt_early_late_delta,wcst_switch_cost_error_early,wcst_switch_cost_error_late,wcst_switch_cost_error_early_late_delta,wcst_exploration_rt_mean,wcst_exploration_rt_sd,wcst_exploitation_rt_mean,wcst_exploitation_rt_sd,wcst_switch_first_trial_rt,wcst_switch_first_trial_correct,wcst_switch_first_error_latency,wcst_switch_first_error_rt,wcst_switch_signal_rt,wcst_switch_signal_delta,wcst_lucky_streak_len,wcst_exploration_rt_slope,wcst_exploration_error_rate,wcst_confirmation_rt_mean,wcst_confirmation_rt_slope,wcst_confirmation_error_rate,wcst_post_reacq_rt_cv,wcst_exploitation_rt_slope,wcst_exploitation_error_rate,wcst_shift_pe_rt_mean,wcst_shift_pe_count_mean,wcst_shift_pe_rate_mean,wcst_post_shift_pe_rt_mean,wcst_post_shift_pe_slowing,wcst_shift_pe_rt_mean_reacq,wcst_shift_pe_count_mean_reacq,wcst_shift_pe_rate_mean_reacq,wcst_post_shift_pe_rt_mean_reacq,wcst_post_shift_pe_slowing_reacq,wcst_stable_pe_rt_mean,wcst_stable_pe_count_mean,wcst_stable_pe_rate_mean,wcst_shift_error_rt_mean,wcst_post_shift_error_rt_mean,wcst_shift_post_error_slowing,wcst_stable_error_rt_mean,wcst_post_stable_error_rt_mean,wcst_stable_post_error_slowing,wcst_nonshift_error_rt_mean,wcst_shift_error_count_total,wcst_shift_error_rate,wcst_nonshift_error_count_total,wcst_nonshift_error_rate,wcst_pe_context_rt_delta,wcst_pe_context_rate_delta,wcst_pe_context_rt_delta_reacq,wcst_pe_context_rate_delta_reacq,wcst_error_context_post_error_rt_delta,wcst_error_context_pes_delta,wcst_exploration_penalty,wcst_switch_cost_rt_k1_to_colour,wcst_switch_cost_error_k1_to_colour,wcst_switch_cost_rt_k1_to_shape,wcst_switch_cost_error_k1_to_shape,wcst_switch_cost_rt_k1_to_number,wcst_switch_cost_error_k1_to_number,wcst_switch_cost_rt_mean_k1_k5,wcst_switch_cost_error_mean_k1_k5,wcst_switch_cost_rt_slope_k1_k5,wcst_switch_cost_error_slope_k1_k5
06qcrpGKL6Vc3LVplFQC90VAcRm1,395.7199266306281,0.44721359549995804,90.00000001241762,568.933333337307,-478.93333332488936,0.5,1.0,-0.5,1042.629999999702,434.15876907831023,911.9083809499228,226.4331587018536,764.859999999404,0.2,1.2,768.2200000017881,1544.4200000017881,659.000000004967,0.2,1035.4500000029798,0.9333333333333333,1212.580000001192,-457.9600000038746,0.0,0.24755946350397023,-17.809714285837718,0.01333333333333333,891.8249999992549,1.2,0.4333333333333333,1490.9125000033528,599.0875000040978,1065.390000000596,1.6,0.31666666666666665,1664.7700000032783,599.3800000026822,802.6999999880791,0.2,0.013333333333333332,1136.2555555568802,1704.788888891538,568.5333333346579,802.6999999880791,1463.6000000089407,660.9000000208616,1757.4249999932945,9.0,0.36,4.0,0.07017543859649122,-89.12500001117587,-0.42,-262.690000012517,-0.30333333333333334,-241.1888888825972,92.36666668620376,130.72161904977918,-76.96666666865349,1.0,343.2166666736205,1.0,315.71666667610407,0.5,299.42400000413255,0.2,-156.96200000166894,-0.17999999999999997
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1859.1944652635536,0.5477225575051662,1118.949999999837,2090.8833333333023,-971.9333333334653,0.5,0.0,0.5,1809.483809523841,239.18941931602154,1067.251168831202,337.70228118053274,1606.1200000000185,0.2,1.2,1611.9600000000094,2559.4399999999905,1501.5133333332838,0.2,262.603571428618,0.8761904761904763,1347.9066666666572,-620.0000000000002,0.0,0.3083761759049658,30.401467532478346,0.018181818181818188,1766.9500000000116,0.8,0.36666666666666664,2677.124999999942,910.1749999999303,1677.1000000000154,1.4,0.24333333333333335,2406.5733333333546,729.4733333333396,799.1000000000931,0.2,0.01818181818181818,1585.890000000014,1948.8399999999906,362.94999999997674,799.1000000000931,817.5,18.399999999906868,799.1000000000931,10.0,0.35714285714285715,1.0,0.02040816326530612,-967.8499999999185,-0.34848484848484845,-877.9999999999222,-0.22515151515151516,-1131.3399999999906,-344.5500000000699,742.232640692639,-8.800000000046566,1.0,273.3666666666201,0.0,2936.466666666519,0.5,249.06533333328554,0.24000000000000005,-310.5039999999896,-0.06000000000000002
0d841i8KPjdjwCYfDuUUXj0SEjH2,1207.5331696905578,0.44721359549995804,1598.8499994277954,1299.2333334287005,299.61666599909495,0.5,0.0,0.5,1442.2749999761581,144.00229588748797,1323.9885714667184,338.278445225881,2844.920000076294,0.2,3.0,1221.0600000381469,2837.239999771118,1572.63333307902,2.0,,1.0,2571.7200000127154,-1190.7899998664864,0.0,0.25500637066024334,-21.75357140813547,0.0,796.9333333969116,0.6,0.26666666666666666,3035.633332888285,2238.6999994913735,796.9333333969116,0.6,0.13999999999999999,3035.633332888285,2238.6999994913735,,0.0,0.0,1411.279999923706,2541.899999809265,1130.619999885559,,,,2448.2333335876465,5.0,0.25,3.0,0.0625,,-0.26666666666666666,,-0.13999999999999999,,,118.2864285094397,2521.199999491373,0.0,1369.849999586741,0.5,1528.233333269755,0.0,556.1293332544961,0.04,-335.78799993515014,-0.04
0oa5NYVnIBS9NmrmRAZrahXDctP2,1737.0572735699554,0.5477225575051662,-28.9833333318432,159.61666666219634,-188.59999999403954,1.0,0.0,1.0,1108.9933333317438,563.5527655378252,804.7114285720247,129.82083661520824,737.859999999404,0.2,1.2,726.2400000005961,1709.4599999964237,934.6333333313466,0.2,-19.299999997019842,0.8333333333333334,960.3199999998012,-133.26999999731797,0.0,0.16177894772513216,-18.720000000404408,0.0,747.125,1.0,0.4,1918.0249999947848,1170.8999999947848,721.2,1.2,0.24333333333333335,1754.7199999958277,1033.519999995828,,0.0,0.0,1217.7249999996275,1461.9999999962747,244.27499999664724,,,,1339.7000000029802,8.0,0.32,2.0,0.041666666666666664,,-0.4,,-0.24333333333333335,,,304.28190475971905,3927.8999999960274,1.0,47.78333333134651,0.5,82.84999999900663,0.5,269.9533333343269,0.16,-137.70199999928477,-0.14
146QT9LupyU2BAiTsB3PMIpVXM22,412.1249207821104,0.5477225575051662,349.8166666602095,551.5833333358169,-201.76666667560738,0.5,0.5,0.0,1245.7199999973177,333.9151798371321,1021.0407142860195,228.98045099906048,915.3799999982118,0.4,1.4,1151.6799999982118,1381.2399999976158,456.75999999940393,0.4,320.84999999850993,0.75,1319.4400000005962,-58.079999998212145,0.0,0.22423730844738987,-30.025414586678227,0.016666666666666673,1055.3666666646798,0.6,0.3,1492.0,436.6333333353202,1228.2599999979138,1.2,0.2257142857142857,1407.0799999967217,178.8199999988079,939.5,0.2,0.016666666666666666,1531.2499999981374,1362.4999999981374,-168.75,939.5,1610.9000000059605,671.4000000059605,939.5,8.0,0.2962962962962963,1.0,0.02,-115.86666666467977,-0.2833333333333333,-288.75999999791384,-0.20904761904761904,248.4000000078231,840.1500000059605,224.67928571129823,643.1000000139078,0.0,839.7833333238959,0.5,61.61666667213035,0.5,504.7080000025033,0.24,-16.889999998807937,-0.05999999999999999
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,1812.949100908218,0.5477225575051662,1480.5333333412805,2489.9999999950332,-1009.4666666537528,0.0,0.5,-0.5,2255.419999996821,974.6517187067996,1581.1085714263577,371.1534840901055,1351.2399999976158,0.0,1.0,1351.2399999976158,4005.1400000035765,2627.073333340883,0.0,1825.299999997019,1.0,2657.286666673422,-1122.6599999994046,0.0,0.23977764812958463,-57.349999999999866,0.0,1874.0249999960263,1.2,0.41666666666666663,3993.35000000149,2119.325000005464,1874.0249999960263,1.2,0.24,3993.35000000149,2119.325000005464,,0.0,0.0,2793.724999997765,4591.47500000149,1797.7500000037255,,,,,8.0,0.34782608695652173,1.0,0.021739130434782608,,-0.41666666666666663,,-0.24,,,674.3114285704632,5194.300000031789,1.0,2878.9666666686535,0.5,1091.5666666676602,0.0,1326.5813333404062,0.12000000000000002,-733.8140000009537,-0.10000000000000005
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1356.3044792729795,0.5477225575051662,1154.7999999324484,3126.3166667024298,-1971.5166667699814,0.0,1.0,-1.0,2062.8700000047684,891.7040774763642,1494.5914285864148,606.7120472764163,1432.3400000095367,0.0,1.0,1432.3400000095367,3473.5799999952314,1832.9133333126708,0.0,,1.0,1886.3266666571296,-790.2399999976162,0.0,0.3880268298123378,11.837857148477074,0.0,1738.3600000143051,1.2,0.5,3277.439999985695,1539.07999997139,1738.3600000143051,1.2,0.27,3277.439999985695,1539.07999997139,,0.0,0.0,2364.128571442195,3554.0428571360453,1189.91428569385,,,,3539.4999999403954,7.0,0.3181818181818182,3.0,0.06,,-0.5,,-0.27,,,568.2785714183535,602.333333293597,0.0,1697.5166666706405,0.5,2583.5999999642377,0.5,289.8173333136241,0.08,-559.8139999985696,-0.08
1fbLQPCcysVlSKup96K4yI5NX6G3,661.5168518970655,0.0,36.76666663090384,643.4166666467985,-606.6500000158946,1.0,1.0,0.0,1403.3994999897482,590.6881760844101,1141.7002197910142,268.847056099177,1068.2599999904633,0.4,1.4,1135.4799999952315,1601.7199999809266,436.19999995231626,0.4,191.85375000181642,0.86,1427.133333325386,-63.20000000000025,0.0,0.2360409735117189,-28.54208791059448,0.015384615384615375,1177.563888884253,1.6,0.37666666666666665,1759.6444444391464,582.0805555548933,1203.0249999976159,3.2,0.4023376623376623,1700.1769999873638,497.15199998974805,1299.3000000715256,0.2,0.015384615384615385,1403.1526315651442,1497.4368420902051,94.28421052506094,1299.3000000715256,1938.200000047684,638.8999999761584,3748.3333333730698,19.0,0.5,3.0,0.05660377358490566,121.73611118727263,-0.36128205128205126,96.27500007390972,-0.38695304695304694,440.7631579574788,544.6157894510974,261.69928019873396,-41.966666698455924,1.0,-130.9000000357628,1.0,811.0833333134651,1.0,278.72799996376034,0.5599999999999999,15.452000005245203,-0.24000000000000002
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,310.5143462681284,0.5477225575051662,-51.91666672627127,127.80000009139383,-179.7166668176651,0.5,0.0,0.5,1663.1500000476838,593.8400289261111,1368.7952380874326,513.2941866416371,1369.2400000333787,0.8,2.4,1902.0200000524521,2281.860000014305,887.7266666730244,1.4,1198.5800000071524,0.6,1701.5066666603088,-278.7700000166896,0.0,0.3716495743755665,-34.51820869313699,0.033333333333333326,1411.4000000953674,0.2,0.1,1611.8000000715256,200.39999997615814,1286.650000065565,0.8,0.155,2487.850000023842,1201.1999999582767,3821.2333333094916,0.6,0.025,2272.520000052452,2255.960000014305,-16.560000038146974,3044.5499999821186,1695.5249999761581,-1349.0250000059605,3044.5499999821186,5.0,0.2,5.0,0.07936507936507936,2409.833333214124,-0.07500000000000001,2534.5833332439265,-0.13,-560.4350000381469,-1332.4649999678136,294.35476196025115,56.46666677792882,1.0,54.66666666666674,0.0,21.21666669845581,0.5,545.4066666682561,0.2,55.959999992847344,-0.08000000000000003
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,419.40646069047324,0.5773502691896258,-287.30000001192104,-722.9666666587195,435.6666666467985,0.0,1.0,-1.0,1806.9899415306184,813.7525146430785,1595.2703703682892,573.6880549359297,1186.866666674614,0.0,1.0,1186.866666674614,1374.4666666785877,-298.21111110183926,0.0,224.22245613841972,0.8947368421052632,1508.966666665342,-81.88333332538639,0.0,0.36596011077638274,91.3175950438595,0.22222222222222224,1783.0222222324876,2.6666666666666665,0.6388888888888888,1910.686111115747,127.6638888832595,1813.5299145389572,6.666666666666667,0.5303030303030303,1969.0912393181243,155.56132477916708,1205.038095238663,14.0,0.2222222222222222,1546.9857142965,1589.2714285765376,42.28571428003767,1205.038095238663,1222.4571428554398,17.419047616776975,1293.3999999991872,21.0,0.5833333333333334,44.0,0.4782608695652174,-577.9841269938247,-0.41666666666666663,-608.4918193002943,-0.30808080808080807,-366.8142857210978,-24.8666666632607,211.7195711623292,-722.9666666587195,1.0,-287.30000001192104,0.0,115.63333336512278,1.0,155.6288888957766,0.6,-17.406666666269395,-0.09999999999999999
