participant_id,wcst_brl_hazard,wcst_brl_noise,wcst_brl_beta,wcst_brl_negloglik,wcst_brl_n_trials,wcst_brl_posterior_entropy_mean,wcst_brl_entropy_drop_mean,wcst_brl_p_rule_max_mean,wcst_brl_change_point_prob_mean,wcst_brl_surprise_mean
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.18358109964059063,0.13919249506154313,6.665842239069606,21.159011079322656,82,0.47688577470551785,0.3197063994255843,0.8266361995104541,0.3131199239082442,0.42957178542494184
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.20244732269780177,0.18703007065348976,7.21737953059584,20.55221405068345,77,0.6112091255345364,0.26721654954294805,0.7705225651261479,0.36737294768786266,0.48733997420941316
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.27607580145578414,0.012477507211233325,6.496065871639575,20.48927061951339,68,0.2961016701495867,0.5680983164803914,0.8901044204112648,0.34613799455905103,0.4003715782234471
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.1963928253298508,0.06493776399319427,10.0,5.699049859872452,73,0.3963163290169821,0.3899132959893301,0.854456847802919,0.3042997862264036,0.36230697945633894
146QT9LupyU2BAiTsB3PMIpVXM22,0.21515326355685171,0.001,7.976265861986433,12.14635941983824,77,0.28703403892403156,0.49282052734976,0.876118449774523,0.30176171279191183,0.3311531310136211
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.23203581571049028,0.06575884420356357,6.83451671196815,17.080415779822854,69,0.36864799000293,0.4532348854450744,0.8726149554844689,0.3199676596224072,0.4333522673278698
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.15036993949076893,0.02885291980858566,6.276622480025576,15.206297674172738,72,0.2814566243952514,0.38076375938503937,0.896858504629278,0.23575490507983307,0.33892473381165317
1fbLQPCcysVlSKup96K4yI5NX6G3,0.037224259128144276,0.286322024125731,4.60386302918606,36.539071602299046,91,0.4989069797920357,0.08647796810887091,0.815385515103377,0.21807887987536628,0.5320927908153111
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.08565200766745629,0.001,4.963771798444143,21.364342262025165,88,0.1675185699642362,0.29828300598689633,0.9366947306813466,0.14742545108208088,0.2247068303184534
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.3,0.3,3.8921780863153796,122.47988063561738,128,0.9198716439873025,0.12626597644489151,0.5839745870137443,0.5304710954439138,0.5852624843399308
23AEyocWhqY955WHbxhHRSgQ1ms2,0.19943255931246595,0.09523748759436344,5.241642620446153,37.51809185065136,85,0.4611933243051226,0.3556317355314401,0.8229698623892233,0.3286553573907947,0.3901723706733276
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.3,0.3,5.12558002134973,96.0967807333007,128,0.9239440948760711,0.12323447933358499,0.5834516492698605,0.5305145241416378,0.5863920968281127
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.2801516786155225,0.14715915591641876,7.648206373914122,29.99758286876433,88,0.633029525942148,0.32140157765719957,0.7467256784896961,0.43068603733861494,0.4873186173537389
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.1721417918794896,0.1889393678889791,10.0,4.251069556548865,71,0.5635108106671745,0.26099387489037973,0.7966776610427562,0.32924627863093064,0.47754683218780375
