participant_id,wcst_pes,wcst_post_error_accuracy_drop,wcst_post_switch_error_rate,wcst_post_switch_error_delta,wcst_post_switch_pe_rate,wcst_post_switch_rt_cost_correct,wcst_trials_to_first_correct_after_shift,wcst_pe_run_length_mean,wcst_pe_run_length_max,wcst_pr_run_length_mean,wcst_pr_run_length_max,wcst_pe_cluster_rate,wcst_rt_jump_at_switch,wcst_failure_to_maintain_set,wcst_trials_to_rule_reacquisition,wcst_post_switch_recovery_slope,wcst_switch_cost_error_k1,wcst_switch_cost_rt_k1,wcst_switch_cost_error_k2,wcst_switch_cost_rt_k2,wcst_switch_cost_error_k3,wcst_switch_cost_rt_k3,wcst_switch_cost_error_k4,wcst_switch_cost_rt_k4,wcst_switch_cost_error_k5,wcst_switch_cost_rt_k5
06qcrpGKL6Vc3LVplFQC90VAcRm1,957.0024886905505,-0.35859728506787336,0.36,0.36,0.31999999999999995,296.75000000496703,2.4,1.5,2.0,1.4705882352941178,3.0,0.2222222222222222,406.7600000053644,0.0,5.0,19.47200000017881,0.8,248.1800000061591,0.2,1092.660000007351,0.0,128.18000000317886,0.0,36.800000004967046,0.0,-8.700000000993395
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,741.8416783216562,-0.14965034965034962,0.4,0.4,0.27999999999999997,181.6833333333004,2.0,1.0,1.0,1.5555555555555556,3.0,0.125,687.8866666666232,0.0,5.6,-284.80199999999724,0.4,1282.1733333332463,0.2,233.2933333333116,0.2,1.2333333332557685,0.4,-235.34666666667908,0.0,-36.026666666707
0d841i8KPjdjwCYfDuUUXj0SEjH2,1149.5974575200323,-0.30720338983050843,0.19999999999999998,0.19999999999999998,0.12000000000000002,918.3336665884653,2.0,1.0,1.0,1.1875,3.0,0.3333333333333333,1277.333333206177,0.0,4.0,-426.0380000114442,0.2,1663.473333040873,0.0,588.2133331934612,0.0,145.8533335367838,0.0,208.93333307902017,0.0,174.17333342234292
0oa5NYVnIBS9NmrmRAZrahXDctP2,737.9312903192736,-0.08709677419354833,0.31999999999999995,0.31999999999999995,0.24,105.58000000094378,2.2,1.2,2.0,1.3846153846153846,3.0,0.3333333333333333,320.66666666666674,0.0,5.0,-77.61999999910599,0.6,837.8333333313467,0.2,161.13333333432678,0.0,165.3133333355189,0.0,-88.80666666328905,0.0,274.2933333337307
146QT9LupyU2BAiTsB3PMIpVXM22,298.4701492522486,0.008291873963515717,0.31999999999999995,0.31999999999999995,0.24,314.62166666885213,1.6,1.0,1.0,1.4375,4.0,0.14285714285714285,370.04666666686535,0.0,5.4,69.96800000101328,0.4,489.18000000119207,0.2,630.059999999404,0.4,522.5000000029802,0.0,324.0800000041723,0.2,557.7200000047682
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,3135.326930320756,-0.24858757062146897,0.31999999999999995,0.31999999999999995,0.24,1216.2200000097357,2.6,1.5,3.0,1.25,3.0,0.5,1795.2600000043712,0.0,4.6,-125.43799999892732,0.4,2627.073333340883,0.2,2785.533333337307,0.0,719.6933333516122,0.0,299.67333333492286,0.0,200.93333333730698
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,1789.2016666452091,-0.1852459016393443,0.27999999999999997,0.27999999999999997,0.24000000000000005,261.84166664679844,2.4,1.2,2.0,1.368421052631579,3.0,0.3333333333333333,698.6266666491827,0.0,4.4,-164.16799999952337,0.4,1832.9133333126708,0.0,471.2933333079021,0.0,-91.00666669209781,0.0,-67.20666666825608,0.0,-696.906666692098
1fbLQPCcysVlSKup96K4yI5NX6G3,770.2590908957993,-0.47326203208556145,0.6799999999999999,0.6799999999999999,0.6,143.97499998410552,2.8,1.8888888888888888,4.0,2.0555555555555554,7.0,0.23529411764705882,130.8599999507268,0.0,7.6,73.06600000619885,1.0,263.67999997138975,0.8,226.15999991893767,0.6,333.0999999761582,0.4,233.35999999046317,0.0,337.33999996185304
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,566.9662337671627,0.003896103896103953,0.23999999999999994,0.23999999999999994,0.2,324.13166666428253,1.2,1.1666666666666667,2.0,1.9333333333333333,4.0,0.2857142857142857,187.8666666825613,1.0,5.0,331.59999998807905,0.4,41.646666701634786,0.2,546.846666653951,0.2,955.6066666682561,0.2,1176.1266666491824,0.0,6.806666668256116
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,-78.11995037678753,-0.30669975186104215,0.7333333333333334,0.7333333333333334,0.6666666666666666,-623.6333333502214,4.0,2.8181818181818183,10.0,8.181818181818182,73.0,0.16129032258064516,114.25555556350287,0.0,12.0,54.69333333571754,0.6666666666666666,-298.21111110183926,1.0,1126.7888888981608,0.3333333333333333,-63.81111112568093,0.6666666666666666,-329.5444444153043,0.3333333333333333,342.9222222235467
