participant_id,wcst_wsls_p_stay_win,wcst_wsls_p_shift_lose,wcst_wsls_win_n,wcst_wsls_lose_n,wcst_wsls_pair_n,wcst_wsls_excluded_n
nHy6rdfyacWW9BnyDb1dNvNYWfh1,0.96,0.5555555555555556,25,9,34,42
nT1qJOiMyDdJ9ui4el195A8Hsgs1,0.9285714285714286,0.5,14,4,18,38
o4jXmZcjtMVF2ZInToRpVHUhpdV2,0.95,0.75,20,4,24,31
ohl9pXqpeSMfepC3w9h0tW5SbJw1,1.0,0.8,25,5,30,28
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,1.0,0.8,17,5,22,37
pRQimOpZtsekBI2I1kbnD3pycmo1,1.0,0.8571428571428571,19,7,26,32
pYrcE6tMnVQP1kHAjYwvIz5NOvn1,0.8947368421052632,0.5,19,6,25,41
pcbRW89vVJcviD87V3uxyG4I9st2,0.96,1.0,25,2,27,27
q0Atnpm0jZS5swcVmq0EMalQUKw1,1.0,1.0,15,2,17,33
qnR5PLX1v3fPi6SwTJMwGcadwyD3,1.0,0.6666666666666666,20,3,23,37
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,0.8947368421052632,1.0,19,5,24,33
rFV2EUbp64f5ORSh7DqwmCQmeqT2,0.9090909090909091,0.875,22,8,30,42
rNe3cRPepZUXbJhmmfQZiGsVzX22,0.9,0.5714285714285714,20,7,27,56
rUuJv5gl7dWVo7UPQWMx4bohxhK2,1.0,0.6666666666666666,22,6,28,39
roaf78tUWxWSEjAUcUu8O7mrQbl1,1.0,1.0,17,5,22,34
s5gTyWKzfkdHXNT3qicwPmdONYv1,0.9473684210526315,1.0,19,2,21,35
sqfXvh6GJLaYAqr3RvHrixP8IOx1,0.9473684210526315,0.6666666666666666,19,3,22,34
ssPK6ISW0HerTGke9hznqJ2LpKu1,0.9411764705882353,1.0,17,6,23,40
tB4wPBbnWJUXeOC3Zxjph0Esgjf1,0.8947368421052632,0.2,19,10,29,53
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,1.0,1.0,22,1,23,30
tv88wS5Nf6SjruozSmXJxQSmx6J3,1.0,0.7142857142857143,17,7,24,39
u64Uf920g5VD9Byq26LT2rs5o4t1,0.9629629629629629,0.8571428571428571,27,7,34,50
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,1.0,1.0,26,3,29,34
v8nNKiWvPdcjiHXZci39OuFTY6M2,1.0,1.0,25,3,28,31
wkhxvE50megJGMA1EiROSZIJWNq1,1.0,0.7142857142857143,23,7,30,36
xBGZhFOeypWnqzSQClkrwV9z2vF3,1.0,1.0,19,2,21,36
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,0.9565217391304348,0.6666666666666666,23,3,26,42
xHctBv4C2EU8rHYRouw0btT3GT02,1.0,0.8,17,5,22,42
xyAILKfYP2M8GqAai11x6NT7IcP2,1.0,0.8333333333333334,21,6,27,40
y1EHXv8tUTa4BRS4fRio7bULYfA2,1.0,0.875,28,8,36,39
yGTid3RXTdQe5JNosdSxvgktWIW2,1.0,0.3333333333333333,21,3,24,33
yatBVTBMCSMp0wJluOCLzTFKMyP2,1.0,0.5555555555555556,18,9,27,43
yfjd8LbAMrYeG54927d3GiKAyXI2,1.0,0.6666666666666666,12,9,21,35
zw1w9FipI9RjJsuhHse6UZavBxs2,0.8947368421052632,1.0,19,3,22,59
zxG9mUnF7uRkaOKSoCPsiRZzr372,0.9375,0.8333333333333334,32,12,44,32
