participant_id,wcst_cv_rt,wcst_rt_sd_all,wcst_rt_iqr_all,wcst_rt_skew_all,wcst_rt_mssd_all
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.5386120284936368,582.2691607781097,420.9999999925494,2.2696458706136666,507892.7730877572
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.6966151389540045,890.1954391194726,331.6000000003262,3.9557259351990313,863414.1642105487
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.7138070339353305,1226.660592374261,725.4499998092654,3.619189686553462,2299522.8599085296
0oa5NYVnIBS9NmrmRAZrahXDctP2,1.357729811448622,1447.8998100636386,328.59999999403954,6.969379297118331,1741861.085691607
146QT9LupyU2BAiTsB3PMIpVXM22,0.3991554371094512,452.2871728583501,465.59999999403954,2.0716998817310555,310270.1423677926
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.8400056804702442,1787.2898255323983,649.0,3.3139445183926406,3541192.453676602
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.8686335278157722,1693.5458347372366,967.3000000417233,4.439089336992492,3759788.4312631637
1fbLQPCcysVlSKup96K4yI5NX6G3,0.6656992708498106,951.7348852424108,385.40000003576256,4.64576745377348,778680.3297644721
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1.845680560176352,3538.1192971135165,673.2749999761581,8.591633952673195,12318327.861325053
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.554493926851749,817.2322101236695,572.4250000268223,3.362538292988502,826681.9251998347
23AEyocWhqY955WHbxhHRSgQ1ms2,1.6965810616944723,2963.6177382334013,536.6999999955297,8.134164635785204,9174590.701186217
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.8426267033067087,1814.1173616290969,1342.1249996423724,2.182638835446177,4769681.863251195
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.3562456170830788,602.2838187495531,571.0999998450282,2.205572194463058,380191.45677496213
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.4159083149373948,548.717798265005,554.5,1.514527376095277,588135.3285714159
2h5FgHUEvBS1twD5DqbTIRrMm1f2,1.1989486450888636,2691.9327845605426,1347.0000000298023,3.5858720105105477,11177194.244409945
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.5281048893101306,872.0640665760824,787.6500000003725,1.6919976006410085,1321866.7819997254
