participant_id,wcst_exploration_rt,wcst_confirmation_rt,wcst_exploitation_rt,wcst_confirmation_minus_exploitation_rt,wcst_pre_exploitation_rt,wcst_pre_exploitation_minus_exploitation_rt
06qcrpGKL6Vc3LVplFQC90VAcRm1,1407.9642857132214,1281.3722222223878,917.4059999981523,363.9662222242355,1336.7562499996275,419.35025000147516
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,1545.1692307692272,1689.6499999999844,1041.226086956545,648.4239130434394,1629.0612903225701,587.8352033660251
0d841i8KPjdjwCYfDuUUXj0SEjH2,1800.1375000476837,2672.1999999682107,1294.1833333742052,1378.0166665940055,2403.873076915741,1109.6897435415358
0oa5NYVnIBS9NmrmRAZrahXDctP2,1282.3166666651766,965.9944444447756,779.4190476196153,186.57539682516028,1092.5233333329359,313.10428571332056
146QT9LupyU2BAiTsB3PMIpVXM22,1359.8666666646798,1286.87777777844,1016.3255319157813,270.55224586265876,1316.073333332936,299.74780141715473
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,2793.724999997765,2704.57777778142,1542.6761904742036,1161.9015873072165,2732.007692309526,1189.3315018353226
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,2937.509090911258,1812.599999997351,1483.490476202397,329.10952379495393,2239.2896551715917,755.7991789691946
1fbLQPCcysVlSKup96K4yI5NX6G3,1643.2079999876023,1803.4999999867546,1178.279166676104,625.2208333106505,1710.3069767314335,532.0278100553294
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,1932.0000000357627,1831.3722222182487,1400.8898305024131,430.48239171583555,1867.3107142959323,466.4208837935191
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,1462.7925926005398,2051.3083333323398,1399.3224719099785,651.9858614223613,1643.8743589795554,244.55188706957688
23AEyocWhqY955WHbxhHRSgQ1ms2,1789.4083333332092,1594.199999999255,1172.4047619049393,421.79523809431566,1705.7476190472287,533.3428571422894
23hG7h2ByUZDbmOMTDtp0HT0xRb2,2129.82499986887,2479.7866666475934,2107.998095244453,371.7885714031404,2358.060869507168,250.0627742627148
28nQWMwCaSNFBEXlicY3eHqpwKU2,1321.3624999523163,1846.3222222063278,1693.093548397864,153.22867380846378,1684.796153820478,-8.297394577386058
2FHuv7L9nWPdbIiWHRIuXtcoyw83,1496.5454545454122,1582.8333333333203,1159.9761904761904,422.85714285712993,1550.103448275838,390.1272577996476
2h5FgHUEvBS1twD5DqbTIRrMm1f2,2732.2043478152027,2246.300000001987,1558.6892857179046,687.6107142840824,2518.8804877996445,960.1912020817399
2zDXvJKvjeejeOSNbtDbtSI5cdz1,2078.90909090926,1784.0277777781916,1482.4380952380154,301.5896825401762,1895.8793103451487,413.4412151071333
3FSnTCSiUodLp5u3bE0xaUjLk0b2,1761.3533333333519,1620.6777777777363,1127.0179999999982,493.6597777777381,1684.621212121198,557.6032121211997
