participant_id,wcst_pre_switch_n_switches,wcst_pre_switch_rt_mean_w1,wcst_pre_switch_rt_delta_w1,wcst_pre_switch_n_valid_w1,wcst_pre_switch_n_valid_delta_w1,wcst_pre_switch_rt_mean_w2,wcst_pre_switch_rt_delta_w2,wcst_pre_switch_n_valid_w2,wcst_pre_switch_n_valid_delta_w2,wcst_pre_switch_rt_mean_w3,wcst_pre_switch_rt_delta_w3,wcst_pre_switch_n_valid_w3,wcst_pre_switch_n_valid_delta_w3,wcst_pre_switch_rt_mean_w4,wcst_pre_switch_rt_delta_w4,wcst_pre_switch_n_valid_w4,wcst_pre_switch_n_valid_delta_w4,wcst_pre_switch_rt_mean_w5,wcst_pre_switch_rt_delta_w5,wcst_pre_switch_n_valid_w5,wcst_pre_switch_n_valid_delta_w5
06qcrpGKL6Vc3LVplFQC90VAcRm1,5.0,872.419999998808,-263.86520978965365,5.0,5.0,840.4999999985099,-325.9030909088525,5.0,5.0,885.4199999968212,-300.296858587782,5.0,5.0,844.5949999973178,-394.3934523824023,5.0,5.0,877.3399999964237,-387.4114682571614,5.0,5.0
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,5.0,1236.7600000001025,-27.699976190371718,5.0,5.0,1074.3200000000884,-227.01236130526368,5.0,5.0,1057.926666666707,-276.69395238090755,5.0,5.0,1112.3250000000348,-234.68822566318303,5.0,5.0,1084.3600000000279,-329.4971666666315,5.0,5.0
0d841i8KPjdjwCYfDuUUXj0SEjH2,5.0,1161.339999961853,-661.1370505460104,5.0,5.0,1228.75,-651.122106062812,5.0,5.0,1264.606666692098,-685.7087856820274,5.0,5.0,1284.410000038147,-751.8277380379419,5.0,5.0,1299.916000061035,-844.8468332190741,5.0,5.0
0oa5NYVnIBS9NmrmRAZrahXDctP2,5.0,798.7599999964237,-168.91136364024692,5.0,5.0,783.4199999958277,-204.16890909590504,5.0,5.0,774.8266666650771,-238.03266666879253,5.0,5.0,778.6199999988079,-262.26722222401037,5.0,5.0,808.2519999998808,-249.72942857164352,5.0,5.0
146QT9LupyU2BAiTsB3PMIpVXM22,5.0,983.0199999958277,-188.72493240500984,5.0,5.0,938.7999999970198,-259.44577778077786,5.0,5.0,924.4799999982118,-307.57448412868126,5.0,5.0,957.4599999986589,-297.63595238217994,5.0,5.0,956.7759999996424,-342.52447619021416,5.0,5.0
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,5.0,1331.219999998808,-739.3908181826906,5.0,5.0,1311.3399999946355,-839.234358591928,5.0,5.0,1378.0666666626928,-845.4005317508415,5.0,5.0,1445.729999999702,-855.0336507934664,5.0,5.0,1500.227999999523,-889.737142857136,5.0,5.0
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,5.0,1717.5400000095367,-64.74530069352866,5.0,5.0,1623.1100000143051,-185.21599998765527,5.0,5.0,1640.666666682561,-177.24224745905167,5.0,5.0,1636.2600000143052,-199.57578569812432,5.0,5.0,1608.0560000085832,-267.01971427682844,5.0,5.0
1fbLQPCcysVlSKup96K4yI5NX6G3,5.0,962.1800000190735,-587.3440719657488,5.0,5.0,1067.3200000286101,-516.7658683872327,5.0,5.0,1165.5200000286102,-441.19272723527877,5.0,5.0,1162.2350000143051,-497.3368865336791,5.0,5.0,1112.3240000104906,-630.6950506546947,5.0,5.0
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,5.0,1316.4200000286103,-318.86193936249566,5.0,5.0,1444.2300000071525,-193.19965383705926,5.0,5.0,1394.1333333412806,-285.04488094146296,5.0,5.0,1352.8199999988078,-384.66938311913054,5.0,5.0,1389.5399999904635,-387.37504763637264,5.0,5.0
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,3.0,1605.3999999960263,-163.12746032348696,3.0,3.0,1621.2833333313465,-159.31979566963773,3.0,3.0,1672.6777777804266,-106.85037523224764,3.0,3.0,1612.2000000029802,-215.59730639442196,3.0,3.0,1674.660000006358,-181.53121211377507,3.0,3.0
23AEyocWhqY955WHbxhHRSgQ1ms2,5.0,1101.240000000596,-399.07916161554016,5.0,5.0,1088.220000001043,-448.0717330815366,5.0,5.0,1072.7733333344263,-512.6015506702191,5.0,5.0,1091.1200000006706,-540.4644117638651,5.0,5.0,1112.5920000004767,-565.7585194799207,5.0,5.0
23hG7h2ByUZDbmOMTDtp0HT0xRb2,4.0,1209.8500000238419,-513.0799868665687,4.0,4.0,1110.1875000596046,-656.844772668198,4.0,4.0,1147.0833333730698,-632.5455852805972,4.0,4.0,1140.6687500178814,-669.3622605260323,4.0,4.0,1267.2350000143051,-514.1399839069393,4.0,4.0
28nQWMwCaSNFBEXlicY3eHqpwKU2,5.0,1506.460000038147,-232.98056681069457,5.0,5.0,1644.2800000429154,-82.45020630546978,5.0,5.0,1575.1533333619434,-170.4772221949366,5.0,5.0,1582.2250000119209,-164.05345863919507,5.0,5.0,1558.0000000095365,-220.2319291776032,5.0,5.0
2FHuv7L9nWPdbIiWHRIuXtcoyw83,5.0,920.0,-448.95871794870607,5.0,5.0,903.5,-516.689393939381,5.0,5.0,1046.2666666666357,-385.70696969699645,5.0,5.0,1033.7499999999884,-452.80428571428604,5.0,5.0,1166.8799999999815,-276.34777777778856,5.0,5.0
2h5FgHUEvBS1twD5DqbTIRrMm1f2,5.0,939.9,-967.4660675596431,5.0,5.0,1176.9800000071525,-772.257311180392,5.0,5.0,1224.066666674614,-784.4018686766876,5.0,5.0,1223.8400000065565,-868.3411926314213,5.0,5.0,1192.18800000906,-1020.233261280618,5.0,5.0
2zDXvJKvjeejeOSNbtDbtSI5cdz1,5.0,1659.4800000000746,-31.76254545459019,5.0,5.0,1848.6199999999255,193.89733333310323,5.0,5.0,1729.17999999995,56.03944444421995,5.0,5.0,1619.3500000000931,-104.72821428574889,5.0,5.0,1546.3080000001191,-245.86961904760983,5.0,5.0
3FSnTCSiUodLp5u3bE0xaUjLk0b2,5.0,1043.6400000000372,-362.63854545448413,5.0,5.0,1038.2299999999814,-402.9942499999997,5.0,5.0,1078.8133333333458,-389.79521241825995,5.0,5.0,1127.665000000014,-364.21999999995126,5.0,5.0,1130.7159999999963,-417.2580073259816,5.0,5.0
3WijiOiVCoMbn80F05SPYsxl0TC2,5.0,1157.300000023842,-501.76303028410683,5.0,5.0,1216.1400000214576,-475.11191340203914,5.0,5.0,1197.9266666730243,-541.9210038847986,5.0,5.0,1167.075000011921,-643.2056111025811,5.0,5.0,1217.9560000133515,-633.0292705513259,5.0,5.0
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,4.0,1071.3249998092651,-146.63001476713092,4.0,4.0,1182.9750000238419,-34.38698822438937,4.0,4.0,1153.016666730245,-72.98829290702702,4.0,4.0,1144.3000000715256,-85.92490873811946,4.0,4.0,1143.695000076294,-92.48096384036762,4.0,4.0
