participant_id,wcst_pre_switch_n_switches,wcst_pre_switch_rt_mean_w1,wcst_pre_switch_rt_delta_w1,wcst_pre_switch_n_valid_w1,wcst_pre_switch_n_valid_delta_w1,wcst_pre_switch_rt_mean_w2,wcst_pre_switch_rt_delta_w2,wcst_pre_switch_n_valid_w2,wcst_pre_switch_n_valid_delta_w2,wcst_pre_switch_rt_mean_w3,wcst_pre_switch_rt_delta_w3,wcst_pre_switch_n_valid_w3,wcst_pre_switch_n_valid_delta_w3,wcst_pre_switch_rt_mean_w4,wcst_pre_switch_rt_delta_w4,wcst_pre_switch_n_valid_w4,wcst_pre_switch_n_valid_delta_w4,wcst_pre_switch_rt_mean_w5,wcst_pre_switch_rt_delta_w5,wcst_pre_switch_n_valid_w5,wcst_pre_switch_n_valid_delta_w5
3xCaqfcHxRQxuOlEzXz3PNcHODH2,5.0,1692.440000000596,286.44048484704115,5.0,5.0,1328.6200000017882,-120.01634920642604,5.0,5.0,1244.2333333353201,-249.61293650787962,5.0,5.0,1239.1400000020863,-293.35404761885957,5.0,5.0,1219.0560000020266,-372.85796536756663,5.0,5.0
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,5.0,1323.8599999999628,-139.28100699304758,5.0,5.0,1205.6100000000092,-295.5015555555446,5.0,5.0,1169.7799999999968,-376.4926515151563,5.0,5.0,1092.025,-544.4594285714304,5.0,5.0,1069.3880000000074,-665.5253333333218,5.0,5.0
50R0P1MIMvRvK1qpqfGROchII6R2,4.0,999.1999999284744,-196.3270485609205,4.0,4.0,975.4499998688698,-233.7454323958165,4.0,4.0,1035.7833332220714,-169.3234231931343,4.0,4.0,1039.206249922514,-173.3068330335554,4.0,4.0,1009.0999999046325,-225.17155305691333,4.0,4.0
5OOi73igsahMZ5IVKQwwyhnj4Cn2,5.0,1819.7400000000375,9.212694444501153,5.0,5.0,1657.8399999999906,-182.72349999999773,5.0,5.0,1507.4266666666604,-399.8508333333286,5.0,5.0,1602.5199999999954,-318.0501465201363,5.0,5.0,1624.783999999985,-298.6453333333445,5.0,5.0
5Z68AKm9rIeeB2lVu3nJO7U31wk1,3.0,815.9666666667908,-318.9067660455676,3.0,3.0,1052.3999999997516,-74.17946375561955,3.0,3.0,1290.5111111110698,195.48990526361771,3.0,3.0,1218.6583333332092,121.35221590878207,3.0,3.0,1252.739999999851,170.3493809789807,3.0,3.0
5rXSa3anB5ejmFrnwUsTB82byup1,5.0,906.6600000000559,-115.88741666660378,5.0,5.0,902.2199999999721,-131.96044444447375,5.0,5.0,879.75333333329,-175.22445238100642,5.0,5.0,890.994999999972,-180.12287545791497,5.0,5.0,906.2800000000185,-179.39999999996667,5.0,5.0
5zxa5CMLGQSSonWOXqXf0QNS3PH3,5.0,1004.8000000238419,-313.80417168455904,5.0,5.0,919.2800000071526,-443.35558762462097,5.0,5.0,909.4333333333334,-499.6619444352388,5.0,5.0,965.575,-473.14431745062745,5.0,5.0,1071.6319999980929,-356.54395237357835,5.0,5.0
62fAfeQc27bZelkPX7G54T3gvci2,5.0,1188.4000000001863,-688.1535555553974,5.0,5.0,1254.4800000000746,-680.8955555555187,5.0,5.0,1212.8600000000247,-815.760857142877,5.0,5.0,1277.430000000028,-816.0374603174855,5.0,5.0,1304.3040000000224,-886.3196666666988,5.0,5.0
6ABZuv4jbjgE0B8TeyUk6nwVb122,5.0,1552.6599999427795,-481.32664656340455,5.0,5.0,1710.5600000381469,-337.6011964429823,5.0,5.0,1866.5066667238868,-144.38098409883574,5.0,5.0,1762.1000000476838,-316.2460184963292,5.0,5.0,1762.4640000724794,-365.2090933310069,5.0,5.0
6OwhwWQDThSPHTVAeXugohrYuje2,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
6WFCyGwk71XLPBmbe4Vav3eotVm1,5.0,1013.2599999427796,-349.5050533695826,5.0,5.0,985.3099998950959,-422.4331624249515,5.0,5.0,947.5599999109903,-526.6711111254162,5.0,5.0,971.4949999332428,-560.7140043101269,5.0,5.0,964.4879999351502,-664.3055237797329,5.0,5.0
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,5.0,1497.6400000095368,-303.637606060866,5.0,5.0,1531.6100000143051,-290.9647214948081,5.0,5.0,1479.5733333746591,-387.6225768807403,5.0,5.0,1506.6200000166893,-386.68956348072913,5.0,5.0,1531.2160000133513,-388.2220519398508,5.0,5.0
80UJMJbCOMgs6YVpsMgXfYTzw6o2,5.0,1056.539999999851,-423.79239393949626,5.0,5.0,1027.289999999851,-497.6970505051606,5.0,5.0,1100.193333333234,-453.2052222222741,5.0,5.0,1094.0649999999441,-514.8435317460286,5.0,5.0,1097.5560000000148,-578.8882857141657,5.0,5.0
87w5Le0CgZhSfYAaOH3Xd2fc98l1,5.0,1079.360000000149,-896.4732579172936,5.0,5.0,1161.5999999996275,-846.0458775915679,5.0,5.0,1177.6533333328864,-862.0153702870418,5.0,5.0,1241.6949999999256,-813.3873419928384,5.0,5.0,1269.9959999997914,-810.4985778843312,5.0,5.0
8bwaafIhKVMNBoHaXFcY8HirS9u2,5.0,1053.7200000286102,-376.20091563694706,5.0,5.0,955.6100000143051,-528.2111110834161,5.0,5.0,958.1533333301544,-581.648071422331,5.0,5.0,968.6700000047683,-639.6663491879381,5.0,5.0,981.3519999980927,-704.1847606427389,5.0,5.0
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,5.0,1018.2799999237061,-785.7334242318857,5.0,5.0,1114.410000038147,-732.6432812442202,5.0,5.0,1084.633333269755,-832.8190326585957,5.0,5.0,1126.8949999332428,-851.9953102184065,5.0,5.0,1369.5279999160769,-546.957089278698,5.0,5.0
9NTZ091xWyOO8DgzyTGY0O3i8IR2,5.0,1453.9000000003725,173.3953556621847,5.0,5.0,1244.5800000002607,-57.08181529562664,5.0,5.0,1194.4066666668903,-130.26605555539462,5.0,5.0,1182.5250000001863,-165.74294903913724,5.0,5.0,1238.0240000002084,-93.05217460300977,5.0,5.0
9Xz1RIwnPXgyRqmucudW9VeuDnq1,5.0,1075.4,-389.90000000000344,5.0,5.0,1153.7,-334.6024242424279,5.0,5.0,1328.3999999999846,-133.0783333333587,5.0,5.0,1279.2499999999768,-221.76865079369026,5.0,5.0,1370.7199999999907,-92.13714285716375,5.0,5.0
9l7DjYLs0XdgwykPZR5E01KTZfu2,5.0,1123.4399999618531,-545.1902222659853,5.0,5.0,1187.2599999904633,-529.7972222357988,5.0,5.0,1084.5799999952317,-743.071071437427,5.0,5.0,1045.2599999964236,-918.2261904844215,5.0,5.0,1026.6239999961854,-1119.3053333433468,5.0,5.0
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,5.0,1162.4,-353.41676190674565,5.0,5.0,1163.0700000047684,-377.7805353498218,5.0,5.0,1102.133333349228,-482.6872836066269,5.0,5.0,1071.1100000023841,-569.631388887148,5.0,5.0,1100.0800000095367,-569.8636834607105,5.0,5.0
ASGvwW80q7VY7xFaLGZhVuErUQu2,5.0,950.5599998474121,-684.5722222141305,5.0,5.0,1236.7299999237061,-416.3292104214217,5.0,5.0,1313.233333206177,-363.65586501166933,5.0,5.0,1325.6899998664856,-397.46228751294746,5.0,5.0,1298.7319998168946,-511.3556309561503,5.0,5.0
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,5.0,1372.220000076294,-406.0932208746435,5.0,5.0,1322.8599999904632,-494.4289854559893,5.0,5.0,1219.7200000127157,-662.1971160258732,5.0,5.0,1305.264999961853,-607.4062955373707,5.0,5.0,1368.8759999465942,-575.7964763028282,5.0,5.0
AsXBOflrszVNKoFqbN61bMJqS0k2,5.0,1016.8799999952316,-354.02655447452315,5.0,5.0,1043.1799999833106,-359.18209616895535,5.0,5.0,1080.613333328565,-348.8024385576837,5.0,5.0,1069.3799999952316,-412.5254931751513,5.0,5.0,1086.3319999980927,-455.7563908024903,5.0,5.0
AyAnuCaltBbpEYbudoyNzTvXlcC2,5.0,977.2399999976158,-1150.997654769098,5.0,5.0,1104.1900000035762,-1077.0138448154444,5.0,5.0,1150.8333333333335,-1088.1167807073584,5.0,5.0,1189.979999998212,-1119.2718184831724,5.0,5.0,1234.9159999990463,-1143.9164684956286,5.0,5.0
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,1.0,1283.8999999999069,-1868.7120370371395,1.0,1.0,1243.0999999998603,-1927.7392523365997,1.0,1.0,1062.2333333332401,-2131.9110062894124,1.0,1.0,1262.4749999998603,-1944.345000000154,1.0,1.0,1126.9399999999441,-2105.0917307692985,1.0,1.0
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,5.0,1175.1200000286103,-82.95723772023943,5.0,5.0,1218.1700000047683,-40.6070302854162,5.0,5.0,1218.673333358765,-45.21832318604591,5.0,5.0,1190.0800000071526,-93.75927775250543,5.0,5.0,1168.4279999923706,-137.3941825353342,5.0,5.0
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,5.0,1582.9399999618531,-340.89322466313854,5.0,5.0,1575.3799999952316,-369.2828783411659,5.0,5.0,1599.2333333333333,-365.8252359168354,5.0,5.0,1630.2299999952315,-344.74585224953626,5.0,5.0,1607.9039999866486,-409.67526315965154,5.0,5.0
CDEoAyvS8feXLKMKsaZah9agEhF3,5.0,1051.9399999999441,-414.64459090909213,5.0,5.0,1133.069999999879,-360.36209523817706,5.0,5.0,1151.4533333332588,-378.7463095238361,5.0,5.0,1168.8849999999627,-403.56528571425235,5.0,5.0,1139.1519999999366,-527.168142857149,5.0,5.0
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,5.0,1233.0999999523162,-294.2148629400672,5.0,5.0,1191.95,-371.4122774968524,5.0,5.0,1220.5799999713897,-380.20111111634304,5.0,5.0,1331.6549999833107,-257.15226622394147,5.0,5.0,1287.9239999771119,-360.6430476175036,5.0,5.0
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,5.0,1283.8800000000745,-664.2375365418177,5.0,5.0,1387.4400000000373,-596.136035714254,5.0,5.0,1467.3133333333458,-539.935666666662,5.0,5.0,1429.1649999999674,-646.2841666667255,5.0,5.0,1399.4639999999713,-769.756366300426,5.0,5.0
CUNlBEszJVRGK1jWlTaOaCqpDg53,5.0,1043.8199999999256,-507.54498557033196,5.0,5.0,1107.170000000298,-478.3301853146184,5.0,5.0,1146.5400000002235,-478.1559047619197,5.0,5.0,1243.255000000354,-385.6479545452688,5.0,5.0,1193.920000000298,-528.277642857028,5.0,5.0
Cbkx2NHyF3NrebzXGqNgSfiWent1,5.0,826.4399999976158,-400.5225757592826,5.0,5.0,862.419999998808,-399.3467676771801,5.0,5.0,918.593333331744,-373.1388888899154,5.0,5.0,887.0849999986589,-470.682896826156,5.0,5.0,935.7919999986887,-455.4959761912447,5.0,5.0
Co587hoelyeANqFX7AYvuVQW0lZ2,5.0,769.4199999928475,-268.07140579758345,5.0,5.0,782.0099999964237,-279.4902020162404,5.0,5.0,877.2066666603089,-177.78033333281672,5.0,5.0,862.9399999916553,-218.96476190690956,5.0,5.0,843.0959999942779,-285.94149999769627,5.0,5.0
CtJe4bZZnYUBNrcPk00d3YQFSGp2,5.0,995.6600000000559,-617.5329417248901,5.0,5.0,1007.2700000001117,-659.8399004327792,5.0,5.0,1044.5733333334015,-676.9098026417256,5.0,5.0,1084.0950000000187,-693.385777777763,5.0,5.0,1112.6120000000112,-735.9221702741653,5.0,5.0
DAKDKPH698P12JfTbbjemLI6PIH2,5.0,909.9199999809265,-550.408904778333,5.0,5.0,878.6599999904632,-630.3192698476721,5.0,5.0,926.4599999984106,-622.7321093090177,5.0,5.0,954.9099999964237,-643.2236507936129,5.0,5.0,972.5839999985695,-690.3470294074771,5.0,5.0
DPvStUYSmohmXwFwaKRqHv89R3k1,5.0,1254.699999976158,-419.7122222489781,5.0,5.0,1181.3699999928474,-560.1938888980283,5.0,5.0,1145.1799999872844,-687.5903571612778,5.0,5.0,1152.7549999892713,-783.1011904946394,5.0,5.0,1178.5359999895095,-875.1400000214578,5.0,5.0
DaRehVxIOhXtEtUExdgvUl0mKcx2,4.0,1520.9999999850988,-421.182177957419,4.0,4.0,1414.4999999776483,-577.1552543518508,4.0,4.0,1313.8916666507719,-743.6567497427274,4.0,4.0,1392.4937499910593,-716.4093885587795,4.0,4.0,1360.2349999934436,-840.4636993005433,4.0,4.0
Df83JuPuJkXqTGbENhM2gw5SJM43,5.0,1169.2599999999627,-335.70383600716434,5.0,5.0,1392.0999999999767,-103.72632575759704,5.0,5.0,1485.8199999999874,-2.00504385965844,5.0,5.0,1427.3899999999908,-81.24769841270313,5.0,5.0,1411.507999999989,-117.89254729585089,5.0,5.0
DxSidjznjVSNDJuDqqGgxpMEGtw1,5.0,1517.8799999713897,-244.48875761335543,5.0,5.0,1551.3599999666214,-232.7513911011725,5.0,5.0,1562.9399999936422,-252.67138890690276,5.0,5.0,1563.3200000047684,-290.7418492116058,5.0,5.0,1571.4480000019073,-340.89378572702407,5.0,5.0
DzB19GqCB7fyrlEPexogWkjFzEx2,5.0,1592.6800000190735,-210.677645008213,5.0,5.0,1564.8800000190736,-254.07944343048348,5.0,5.0,1520.240000025431,-332.26833758084183,5.0,5.0,1495.425000023842,-397.16454903708734,5.0,5.0,1512.5600000190734,-405.8308419699896,5.0,5.0
EEodWwGh0wWq5f8JmzfKvq0lyeu1,5.0,978.4,-360.7127765064856,5.0,5.0,928.5000000000466,-454.90227272722166,5.0,5.0,903.0000000000466,-531.6494257702516,5.0,5.0,871.3000000000117,-635.2122619047477,5.0,5.0,893.2400000000092,-680.3429824561275,5.0,5.0
EUhcW9kURScie1DwGPHqmNqotJB2,3.0,1546.8333333333333,-582.5452069747942,3.0,3.0,1608.7833333015442,-554.7380050854249,3.0,3.0,1649.233333296246,-571.8720238557647,3.0,3.0,1679.766666630904,-586.6541219182767,3.0,3.0,1742.5266666412354,-534.0411111566756,3.0,3.0
EmfmKFDgWJdW47a6CNTNjnbYaPh2,5.0,1414.4400000095368,-340.9963703658847,5.0,5.0,1335.710000014305,-473.8780982789831,5.0,5.0,1484.460000014305,-311.2751999879054,5.0,5.0,1443.6900000154972,-422.72297617452494,5.0,5.0,1425.2800000143052,-522.6256521590207,5.0,5.0
EoToosG69XMp4LTYdB6sB9WTrv22,5.0,1184.6999999046325,-314.069111193551,5.0,5.0,1070.6899999141692,-492.864899069131,5.0,5.0,1059.3866665840148,-573.1686191327232,5.0,5.0,1097.4399999141692,-601.8393651788198,5.0,5.0,1102.3639999198913,-700.6481667733193,5.0,5.0
Fz7EUjZCLuUBxLDUVtN6djaBTy42,5.0,1897.039999985695,56.057727249027856,5.0,5.0,1797.6300000071526,-55.9742792215673,5.0,5.0,1699.233333349228,-188.6876068270513,5.0,5.0,1762.4800000071525,-122.26174603251238,5.0,5.0,1762.1040000057224,-135.1417742293162,5.0,5.0
G1Ff3XYUZMRsPafyEQ80ussnVlf1,5.0,1245.3999999523162,-351.0134036370033,5.0,5.0,1250.6,-370.5070369375293,5.0,5.0,1276.2599999984106,-359.97225736789557,5.0,5.0,1295.4500000059604,-365.9096947383458,5.0,5.0,1337.3600000095369,-334.625663406828,5.0,5.0
G9VruXninjUdE9czK2DambZl5li2,5.0,1185.6000000000931,-539.0159523808437,5.0,5.0,1248.8000000000466,-506.7045948203214,5.0,5.0,1275.6000000000154,-510.8801506972254,5.0,5.0,1273.4500000000116,-549.8577713136261,5.0,5.0,1284.3200000000093,-584.0201737967648,5.0,5.0
GDZGRW51kbWtAdUIHCtEd8sAtqY2,5.0,1646.0399998664857,-188.96011556615048,5.0,5.0,1726.4999999284744,-107.52986130040753,5.0,5.0,1707.0799999396008,-144.069166721238,5.0,5.0,1697.414999938011,-173.99945460720497,5.0,5.0,1659.5519999408723,-253.52485720589044,5.0,5.0
GE4hogtdLdTFbNasENgtm6SO3hC3,5.0,1649.880000001192,-209.4620100986837,5.0,5.0,1569.9699999958277,-328.7004697008883,5.0,5.0,1617.3466666618983,-302.4503888940409,5.0,5.0,1636.695000000298,-313.6707936487973,5.0,5.0,1627.1520000004768,-385.22742856874345,5.0,5.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,5.0,1096.5200000047685,-410.28374330697534,5.0,5.0,1068.35,-477.8234116123978,5.0,5.0,1030.9400000055632,-569.7603888773917,5.0,5.0,1029.044999998808,-628.7748412666813,5.0,5.0,1050.8359999966622,-664.3430659339301,5.0,5.0
HSggdq91WiQp16bOj7V3dABkcgk2,5.0,1720.9399999856948,374.04024999842915,5.0,5.0,1342.5699999928474,-30.747349408206265,5.0,5.0,1302.1799999872844,-80.23176984003605,5.0,5.0,1248.9349999845028,-157.7355688459617,5.0,5.0,1221.8759999895096,-213.4548653796926,5.0,5.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,5.0,1673.7799999713898,-214.07621213303665,5.0,5.0,1497.7199999809266,-448.4307373751173,5.0,5.0,1438.9599999904633,-579.9684047499346,5.0,5.0,1581.1749999761582,-420.8000793743702,5.0,5.0,1557.487999982834,-515.730404760497,5.0,5.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,5.0,947.4999999970198,-288.42478554793206,5.0,5.0,997.9399999976158,-258.0180909085184,5.0,5.0,949.8599999964238,-349.52974747568817,5.0,5.0,956.0049999967217,-384.88391269905935,5.0,5.0,941.7719999969006,-465.69613492111,5.0,5.0
IaTJhUGICmO9xcL3605RW8QHneN2,5.0,881.0399999976158,-347.4316753285195,5.0,5.0,876.140000000596,-373.30717960143835,5.0,5.0,881.3066666682562,-387.30619658049096,5.0,5.0,988.3000000014902,-264.9977777773307,5.0,5.0,1022.3240000021458,-239.8475601485401,5.0,5.0
JOBWLirr6KYf3GXJ3jPFKmd48S93,5.0,1236.9199999809266,-395.1705454716763,5.0,5.0,1231.3899999856949,-431.03466667970014,5.0,5.0,1268.3933333237967,-416.50996032570094,5.0,5.0,1268.1099999934436,-450.52483516985575,5.0,5.0,1249.6199999952319,-525.4057142885242,5.0,5.0
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,5.0,1038.960000014305,-250.73777776426738,5.0,5.0,1145.419999998808,-149.00500000417233,5.0,5.0,1172.5933333357175,-131.47238095204037,5.0,5.0,1179.8349999994039,-141.3150000045697,5.0,5.0,1169.240000002384,-190.76799999952314,5.0,5.0
JvrZiMHtAfP6gvQtlevYWafKy0z2,5.0,1616.739999961853,-223.0413853666379,5.0,5.0,1574.2199999809266,-295.6233100947133,5.0,5.0,1511.0266666412354,-409.2548889795939,5.0,5.0,1558.3750000476837,-387.426670269223,5.0,5.0,1562.660000038147,-430.93828572000774,5.0,5.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,5.0,1014.8799999999814,-178.65961305362694,5.0,5.0,979.4699999999721,-242.56277777780468,5.0,5.0,1023.6,-213.66096681095755,5.0,5.0,1028.8399999999906,-235.0060238095278,5.0,5.0,1017.4759999999776,-297.83139682542486,5.0,5.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,5.0,1179.3999999999535,-827.2190701891204,5.0,5.0,1186.7999999999768,-872.1150194250465,5.0,5.0,1252.3999999999692,-844.6052222222634,5.0,5.0,1322.0,-814.8093650793693,5.0,5.0,1341.48,-860.5482436162922,5.0,5.0
KtKj6zUKc5Oogd2itg2jdwkchnf2,5.0,972.4800000011921,-233.65494949378905,5.0,5.0,963.7700000006705,-269.38549999935555,5.0,5.0,954.293333333979,-313.2749206342276,5.0,5.0,968.6900000004098,-335.1533333329173,5.0,5.0,979.6920000001788,-370.2765714284991,5.0,5.0
LSLmd8jENtONZFVkIpRDX665Bu73,5.0,1176.2599999904633,-613.2826666641234,5.0,5.0,1264.0900000095367,-566.8693504016012,5.0,5.0,1322.7600000381467,-545.6014473035672,5.0,5.0,1318.0700000286101,-613.0843000833778,5.0,5.0,1343.9080000400543,-648.8976861883614,5.0,5.0
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,5.0,1134.7599999904633,-306.6540000147169,5.0,5.0,1150.1399999976159,-320.53600000765584,5.0,5.0,1145.7933333357175,-364.1922222243415,5.0,5.0,1122.2649999976159,-449.4189285812634,5.0,5.0,1090.9719999980928,-576.4141904870102,5.0,5.0
LliUMEIsrCVZ88YFQfevan2Og4z1,5.0,954.7599999999627,-205.07178968256522,5.0,5.0,875.369999999972,-315.28808933003995,5.0,5.0,907.4333333333022,-305.4365000000181,5.0,5.0,913.1249999999767,-328.2092932929204,5.0,5.0,948.1439999999664,-312.1018095238322,5.0,5.0
M4Km1Q2P2oPliChDQkwl6k20FUI3,5.0,1557.579999923706,-305.17780648083874,5.0,5.0,1279.8599999904632,-641.138457631786,5.0,5.0,1288.260000006358,-677.2449138561813,5.0,5.0,1267.4,-761.0910966576247,5.0,5.0,1396.6640000152588,-661.1353034144486,5.0,5.0
