participant_id,wcst_rt_slope_overall,wcst_rt_slope_within_category,wcst_acc_slope_within_category,wcst_delta_trials_first3_last3,wcst_learning_slope_trials,wcst_rt_lag1,wcst_rt_dfa_alpha,wcst_delta_clr_percent_first3_last3,wcst_learning_slope_clr_percent
06qcrpGKL6Vc3LVplFQC90VAcRm1,-7.715548372323597,-50.01677059809189,0.05365424049634577,-2.0,0.799999999999999,0.1273794179010029,0.9123339495761636,-4.135309135309143,2.271775843204421
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,-3.571515326777695,-112.55130853622869,0.03996656937833409,2.333333333333334,-0.3142857142857135,0.3243845999581843,0.4728955358507945,-4.417020887609127,-0.41793500617029866
0d841i8KPjdjwCYfDuUUXj0SEjH2,-4.704523415457581,-174.03167497607046,0.04811854811854815,1.333333333333334,-0.4000000000000005,0.21974715609351142,0.6925909600191007,-10.217560217560205,2.9070929070929066
0oa5NYVnIBS9NmrmRAZrahXDctP2,-15.47678329015006,-106.29205960699828,0.05444555444555446,0.3333333333333339,-0.20000000000000007,0.3753101106143971,0.7291937077680845,-2.525252525252526,1.4485514485514492
146QT9LupyU2BAiTsB3PMIpVXM22,-1.995367790079482,-40.41460320728586,0.03493859082094377,-3.666666666666666,1.171428571428572,0.23033586115265195,0.7893037646779502,14.62842712842712,-3.795609152752019
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,-12.638834490380106,-231.31466033992618,0.05569430569430572,-1.0,0.14285714285714357,0.3295172269339313,0.6429313135962481,7.187257187257188,-1.0489510489510503
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,-21.091822624923353,-128.6816075562894,0.05437062937062939,0.6666666666666679,-0.34285714285714347,0.2855740288639543,0.7255208369944788,-3.0303030303030454,1.7316017316017385
1fbLQPCcysVlSKup96K4yI5NX6G3,-11.258018792484352,-93.3777685790862,0.06500956903433684,3.666666666666666,-0.5428571428571425,0.49894696243223075,0.7866492276637876,-5.291005291005291,1.360544217687078
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,-32.59284632463813,-298.5923023294991,0.032437932437932436,-4.000000000000002,1.9428571428571424,0.10072428200409077,0.8255908549220713,-3.7037037037037095,0.20202020202020865
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,1.8616834142182415,-52.2303020466973,0.051184699363563936,,-8.199999999999998,0.24446164974810958,0.6395665992448983,0.0,-10.41666666666669
23AEyocWhqY955WHbxhHRSgQ1ms2,-29.330512018750117,-253.238432033609,0.05391667156373039,-2.333333333333334,0.7142857142857141,0.024948466538377696,0.7158746391611841,9.622322122322117,-3.2735122020836314
23hG7h2ByUZDbmOMTDtp0HT0xRb2,-19.40465287979495,-71.42610621052224,0.04335404853275293,,-14.499999999999996,0.13308612847856152,0.6873467860317655,-18.495077355836855,17.5011845935152
28nQWMwCaSNFBEXlicY3eHqpwKU2,-12.568036526033243,-15.871318810105505,0.04145728450816621,5.333333333333332,-1.6571428571428557,0.15108783040481977,0.8919688768014655,-4.948594079028879,0.5887349365610254
2FHuv7L9nWPdbIiWHRIuXtcoyw83,-0.8358148893361781,-58.07472527472432,0.049900099900099915,-0.3333333333333339,-0.08571428571428531,0.022182808902064952,0.6498132952972618,1.8315018315018534,0.6422149279292139
2h5FgHUEvBS1twD5DqbTIRrMm1f2,12.673727891296988,-146.07235235222416,0.04520190994649199,-3.666666666666666,1.8571428571428565,0.18054161003502198,0.9482416472472446,-1.2142178808845472,-0.7424850281993192
2zDXvJKvjeejeOSNbtDbtSI5cdz1,-8.886368209258055,-48.5624442224777,0.05194805194805196,-0.3333333333333339,0.14285714285714302,0.01859107644404652,0.6918804715214822,2.1367521367521363,-0.9157509157509188
3FSnTCSiUodLp5u3bE0xaUjLk0b2,-14.325587729066848,-141.79249403675067,0.04373981711443012,-4.666666666666666,0.6857142857142854,0.5867253807002649,0.6496833250109814,8.703703703703724,-1.9004329004329021
3WijiOiVCoMbn80F05SPYsxl0TC2,-16.852386310562466,-103.4234669499943,0.06522986817104465,-0.6666666666666661,0.05714285714285745,0.4547654617994794,1.106206090443599,2.9761904761904674,-0.08503401360544263
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,-4.088410147559054,4.574129982276117,0.02271640016398768,,-5.599999999999997,0.20377380998990172,0.838748358581641,6.744704570791541,-6.927376970855226
3xCaqfcHxRQxuOlEzXz3PNcHODH2,-13.78029959810596,-69.60133444178875,0.020908748114630477,2.333333333333332,-0.7142857142857144,0.2123292766720125,0.6737254867932,-8.775252525252498,3.208874458874459
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,-12.092860330209893,-103.3255042421331,0.037694551824986613,-3.333333333333334,1.6571428571428564,0.30525905224371763,0.8433157243991374,-1.2014555492816186,-0.845634696566378
50R0P1MIMvRvK1qpqfGROchII6R2,-3.245458421190786,-17.362698214845626,0.023011038428084205,,-4.6000000000000005,0.09556291890110546,0.4626023861382156,13.10483870967741,-8.413851694055596
5OOi73igsahMZ5IVKQwwyhnj4Cn2,-4.229308022044708,-94.1930362448075,0.030488710635769477,-2.0,0.057142857142857745,-0.07267974064649456,0.7488547213646602,10.695187165775394,0.122230710466005
5Z68AKm9rIeeB2lVu3nJO7U31wk1,-4.495292185500076,-18.64809772285725,0.020054904373568223,,5.399999999999999,0.2975181438415073,0.8683225279358241,0.0,-10.64814814814816
5rXSa3anB5ejmFrnwUsTB82byup1,-6.2720930232553265,-33.14829462118538,0.03540189600561119,-1.0,0.9999999999999994,0.41745264335047433,0.9884902020776355,6.0784313725490335,-2.1114179937709348
5zxa5CMLGQSSonWOXqXf0QNS3PH3,-11.616253553163304,-93.71587321919202,0.04581412739307478,-4.333333333333334,1.3999999999999997,0.6087447744359458,0.5563180238576491,6.744133059922547,-1.9060638609510783
62fAfeQc27bZelkPX7G54T3gvci2,-4.268244248097656,-270.0386047286121,0.04861804861804864,0.0,-0.11428571428571421,0.023083320695583456,0.6694224500205106,0.0,0.7992007992008048
6ABZuv4jbjgE0B8TeyUk6nwVb122,-7.782354443055048,-79.3185524081575,0.030561844069908597,6.666666666666666,-1.5428571428571412,-0.009901290879719355,0.4906255140020315,-1.452490162167578,-0.9451838484096522
6OwhwWQDThSPHTVAeXugohrYuje2,-12.55791264180809,-12.55791264180809,-0.002280374473539644,,,0.22108099836230796,0.6478718273091063,,
6WFCyGwk71XLPBmbe4Vav3eotVm1,-5.614833759677882,-126.29893147173236,0.031110556110556117,1.6666666666666679,-0.20000000000000026,0.23254183672950923,0.7719432545229111,-10.606060606060609,1.3419913419913432
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,-8.464553657194054,-46.557404895763995,0.04882494956024369,1.333333333333334,-0.4000000000000001,0.19392537601622578,0.9867482331589825,-6.944444444444457,1.8106893106893107
80UJMJbCOMgs6YVpsMgXfYTzw6o2,-21.231488933607398,-91.2676923076696,0.05744255744255746,1.0,-0.37142857142857144,0.40970952100587166,0.8809662748941411,-7.187257187257174,2.647352647352642
87w5Le0CgZhSfYAaOH3Xd2fc98l1,-33.32958478300923,-49.02452385950991,0.040993314909329795,16.666666666666668,-5.942857142857143,0.1381912431890853,0.6192936058225165,-26.637402452619845,12.857441471571912
8bwaafIhKVMNBoHaXFcY8HirS9u2,-10.46903712374187,-105.62090995609834,0.030457368718238297,-3.333333333333334,0.8571428571428575,0.2731925127642956,0.6218435857193763,-5.167055167055167,1.481851481851483
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,-32.50123877091474,-74.89735247549305,0.04097111991848834,8.666666666666668,-3.657142857142858,-0.004445021628576507,0.6414688973399213,-19.394348341716764,7.8123630755209765
9NTZ091xWyOO8DgzyTGY0O3i8IR2,-2.1335196687405427,-14.925495035087463,0.03481888058547098,-1.0,0.37142857142857205,0.07250139932867365,0.5752089713368242,5.968210533427921,-2.333883507796553
9Xz1RIwnPXgyRqmucudW9VeuDnq1,-5.00995975855166,-33.23481518481974,0.0537795537795538,1.0,-0.257142857142857,-0.10639166380568903,0.5762944844669815,-7.187257187257174,1.7815517815517843
9l7DjYLs0XdgwykPZR5E01KTZfu2,-17.186349928881015,-213.80712842959346,0.036147186147186164,-3.666666666666668,1.5714285714285712,0.262356419877981,0.6067335184171666,6.349206349206341,-2.7210884353741496
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,-23.68824893069246,-66.27258552768461,0.05393519523954308,3.333333333333334,-1.2571428571428578,0.1271998837439095,0.8930863660995647,-12.62626262626263,4.245754245754255
ASGvwW80q7VY7xFaLGZhVuErUQu2,-9.371034919807622,-92.78171051428495,0.03573093573093574,2.0,-0.3999999999999987,0.2472645556231962,0.4658966498602194,6.51015651015652,-2.6264211978497696
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,-19.54268178982883,-108.87471437489181,0.051781087849199305,2.666666666666666,-0.9714285714285718,0.11018208043375412,0.9542929376613658,-23.90350877192983,7.098997493734338
AsXBOflrszVNKoFqbN61bMJqS0k2,-4.367285921428811,-65.01737649072423,0.03149534933590662,5.666666666666666,0.08571428571428605,0.20632218479331266,0.8007448141720486,5.622895622895626,-4.736270265682029
AyAnuCaltBbpEYbudoyNzTvXlcC2,-27.529862985699992,-119.33167501423266,0.04112238997149484,8.666666666666666,-3.42857142857143,0.3115302829020478,1.0229354946042295,-26.209411503529125,7.605755588948862
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,-22.502757336111152,-19.90321259842586,0.0034735658042744657,,-123.9999999999999,-0.02343310030185278,0.5212022735559547,,
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,-0.6729191863779368,-13.222449217904929,0.04487179487179487,-0.3333333333333339,-0.14285714285714188,0.09344161909001611,0.7235491001349177,1.1377511377511524,1.1869083297654692
C4HWhqUIJ3Rl6SboyJGqlrXFAJJ2,-22.027460086785656,-82.29811027517239,0.03634468023214827,3.0,-1.4571428571428566,0.07867825540745124,0.7842099959266017,-1.1999075724565813,-0.32785297491180015
CDEoAyvS8feXLKMKsaZah9agEhF3,-30.074298583806115,-458.05997002997674,0.03712953712953714,-1.333333333333334,0.5142857142857143,-0.03909232058119691,0.39786834806209515,10.217560217560205,-3.946053946053945
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,-11.121441312203801,-100.4243147025832,0.05234357575688845,-2.333333333333332,0.6571428571428565,0.13547537458546402,0.7107156495341888,2.111022505759351,0.763081947292475
CN1ySCsiSLN4m9yh9fS4s5p6T8k1,-16.992502258355454,-98.80182364033077,0.05997863505603446,-1.0,-0.31428571428571406,0.4066654682477427,0.9203546328468344,4.451566951566946,1.6996891996891965
CUNlBEszJVRGK1jWlTaOaCqpDg53,-13.48817088174728,-82.25881257628927,0.053321678321678334,-2.0,0.5142857142857151,0.09458029469902589,0.771154232276955,6.581196581196593,-3.2014652014651994
Cbkx2NHyF3NrebzXGqNgSfiWent1,-2.939480214641465,-84.34296370294219,0.04720279720279722,-0.3333333333333339,0.08571428571428535,-0.020078889156935592,0.55189363299673,2.525252525252526,-0.6493506493506526
Co587hoelyeANqFX7AYvuVQW0lZ2,-2.556551408923917,-57.93523621250699,0.04668201363853539,3.333333333333334,-0.7999999999999996,0.18537968358990806,0.6105146835179944,-0.8935508935509091,-0.2031302031302084
CtJe4bZZnYUBNrcPk00d3YQFSGp2,-3.9614041256452723,-83.32553133140554,0.061941245029480334,0.0,-0.2285714285714283,0.4807340573866703,0.6678023740472899,-1.2973137973138051,1.5240711669283127
DAKDKPH698P12JfTbbjemLI6PIH2,-24.041463276530077,-72.79403330728542,0.04719563258565817,-3.333333333333334,0.5714285714285714,0.42027965429984193,1.0471699025291443,4.399766899766888,0.4920079920079947
DPvStUYSmohmXwFwaKRqHv89R3k1,-6.507147657654902,-166.47560606285782,0.022727272727272745,0.33333333333333215,0.02857142857142846,0.2771723641747197,0.8029226917578656,-3.030303030303017,-0.25974025974025977
DaRehVxIOhXtEtUExdgvUl0mKcx2,-11.37642115683051,-127.49858537961086,0.05103610038011426,,-10.000000000000005,0.18220562994522171,0.7558014131698834,-5.555555555555564,11.529516994633271
Df83JuPuJkXqTGbENhM2gw5SJM43,-9.721394984326285,-41.826673525472195,0.04049336045567033,-5.333333333333332,0.9714285714285721,0.15291596854558545,0.6562332533700516,0.8935508935508949,0.20313020313020763
DxSidjznjVSNDJuDqqGgxpMEGtw1,-22.145396420190085,-162.32176712501567,0.03804528804528806,0.0,0.05714285714285763,0.42723613905930996,0.7629529117946922,0.8935508935508949,-0.7492507492507483
DzB19GqCB7fyrlEPexogWkjFzEx2,-11.071161149266647,-45.878951047207636,0.04976910344557404,0.3333333333333339,-0.48571428571428615,0.3647477748808647,1.0073757485344235,-9.523115773115762,3.520229770229774
EEodWwGh0wWq5f8JmzfKvq0lyeu1,-7.827726532827784,-101.72601028411488,0.03017747795645225,4.0,-0.057142857142856454,0.0665307153260442,0.78301998098001,5.074462574462586,-2.6266511266511263
EUhcW9kURScie1DwGPHqmNqotJB2,-0.27123695301910417,-62.39454767818745,0.014387457110503772,,11.399999999999999,0.07020546371604583,0.619871033538772,0.0,-10.000000000000012
EmfmKFDgWJdW47a6CNTNjnbYaPh2,-4.919405146718279,-126.65421726960271,0.03171572999159208,-6.999999999999998,0.9428571428571436,-0.1677991291776908,0.47867394705861027,17.216117216117198,-4.113029827315535
EoToosG69XMp4LTYdB6sB9WTrv22,-30.172255244684408,-225.79993896640255,0.015318015318015334,1.666666666666666,-0.5428571428571433,0.4726409300974094,0.6991911667112407,-13.247863247863236,4.358974358974358
Fz7EUjZCLuUBxLDUVtN6djaBTy42,-18.419902804582886,-59.01281310011182,0.054717942875837616,0.0,-0.2285714285714283,0.024138788995746473,0.6380018773320824,-12.158538629126852,4.160741219564754
G1Ff3XYUZMRsPafyEQ80ussnVlf1,-1.8877772498266085,-4.889525489454762,0.03648265466662773,20.0,-6.228571428571425,0.18111563767663022,0.7671746941578401,-24.277389277389283,7.975524475524482
G9VruXninjUdE9czK2DambZl5li2,-15.537068645639645,-70.44457128549261,0.0476657861888041,0.3333333333333357,-0.9428571428571406,0.11441197515130534,0.5197241135058354,-1.475893387658104,1.8848448470297232
GDZGRW51kbWtAdUIHCtEd8sAtqY2,-24.418918181879935,-84.9832633868443,0.06091277143908724,1.0,-0.7142857142857146,0.2764685191174342,0.8514046356053534,4.106449106449105,0.05827505827505908
GE4hogtdLdTFbNasENgtm6SO3hC3,-14.89461648960274,-89.75625319104073,0.040542790542790565,-0.3333333333333339,-0.1999999999999999,0.41667154585260535,0.809197325249165,2.1367521367521363,1.7216117216117162
GEwkBw3YHaNp3TCh9YS9PKVfavz1,-16.001477470116022,-97.04102748920678,0.044881245345641634,3.0,-1.1142857142857148,0.023183033888534578,0.775944388436728,-16.446516446516426,5.883005883005883
HSggdq91WiQp16bOj7V3dABkcgk2,-10.166579843381253,-17.81814112330326,0.04047071779269923,-3.666666666666668,0.028571428571427995,0.062142942222752615,0.6638803808681741,-2.7346292052174306,2.8334970351777056
HbydnnT1hUP3WagAy2TJAc6GqVs2,-0.0743036144262529,-81.95307137109367,0.03046953046953049,0.3333333333333339,-0.31428571428571406,0.01782947229931233,0.6623107526234443,-3.923853923853926,2.7605727605727592
HyQM2xKwwuVfqidmRYF6TiRk90C2,-9.407417824558875,-75.2922943722999,0.037545787545787544,-3.0,1.1714285714285704,0.41970854172720795,0.7643488020956801,-0.09990009990011117,0.9609438180866733
IaTJhUGICmO9xcL3605RW8QHneN2,-8.174363847728781,-34.52883466825952,0.04726738150130764,12.0,-3.37142857142857,0.20734105239635442,0.774705054399454,-9.292048390885611,2.9413319238900653
JOBWLirr6KYf3GXJ3jPFKmd48S93,-22.172697012962026,-63.603968532259614,0.05706099456099458,2.333333333333332,-0.8285714285714287,0.6057983510593882,1.3966202070180356,-5.377302436125959,1.0058568882098287
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,1.6772631284212707,-69.58616161533075,1.6054209807821417e-17,0.0,4.806354928642459e-16,0.013421935487762958,0.7962675892669842,0.0,7.735715910002038e-16
