participant_id,wcst_hmm_lapse_occupancy,wcst_hmm_trans_to_lapse,wcst_hmm_trans_to_focus,wcst_hmm_stay_lapse,wcst_hmm_stay_focus,wcst_hmm_lapse_rt_mean,wcst_hmm_focus_rt_mean,wcst_hmm_rt_diff,wcst_hmm_state_changes,wcst_hmm_n_trials,wcst_hmm_lapse_dwell_mean,wcst_hmm_focus_dwell_mean,wcst_hmm_long_lapse_episode_rate,wcst_hmm_lapse_rt_sd,wcst_hmm_focus_rt_sd,wcst_hmm_state_entropy,wcst_hmm2d_lapse_occupancy,wcst_hmm2d_trans_to_lapse,wcst_hmm2d_trans_to_focus,wcst_hmm2d_stay_lapse,wcst_hmm2d_stay_focus,wcst_hmm2d_lapse_dwell_mean,wcst_hmm2d_focus_dwell_mean,wcst_hmm2d_state_entropy
uM3kxG78g5ZtXtbAEzZyM4XFmaI3,8.433734939759036,0.013851426672719902,0.2800799772610217,0.7199200227389783,0.9861485733272801,7754.542182736923,1497.40813508617,6257.134047650753,3,83,3.5,38.0,0.5,3262.288271272299,496.9147771816711,0.2892369342405937,15.66265060240964,0.1594202898550728,0.9230769230769238,0.07692307692307626,0.8405797101449272,1.0833333333333333,5.833333333333333,0.4340332753814761
v8nNKiWvPdcjiHXZci39OuFTY6M2,21.052631578947366,0.13299809077738295,0.5003412763318393,0.49965872366816055,0.8670019092226171,5338.87424758654,1664.4042163098118,3674.470031276728,15,76,2.0,7.5,0.0,1717.744586110721,460.4752802259484,0.5146531654289292,18.421052631578945,0.09836174174574396,0.4999790792709249,0.5000209207290751,0.901638258254256,2.0,8.857142857142858,0.47771841282041927
wdppvL4tIkVlGjou6aYzzjlaZXB2,26.190476190476193,0.041768308613718406,0.12724429460123318,0.8727557053987669,0.9582316913862815,2336.5820119408577,872.6854359199743,1463.8965760208835,7,126,8.25,23.25,0.5,1135.1049625704625,476.1868925706718,0.5750398244780919,57.936507936507944,0.3584905660377208,0.25000000000000383,0.7499999999999961,0.6415094339622792,3.8421052631578947,2.789473684210526,0.6804961083634223
wkhxvE50megJGMA1EiROSZIJWNq1,28.40909090909091,0.18192149704141816,0.4098133151392131,0.5901866848607868,0.8180785029585818,3068.304104562414,1340.437311526661,1727.866793035753,23,88,2.0833333333333335,5.25,0.08333333333333333,1428.054147801388,238.43765415855364,0.5967756396558022,25.0,0.15384615384615483,0.49999999999999817,0.5000000000000019,0.8461538461538451,2.0,6.0,0.5623351446188083
xBGZhFOeypWnqzSQClkrwV9z2vF3,8.974358974358974,0.039449428909535914,0.4859031816661665,0.5140968183338336,0.960550571090464,2633.572463798365,1137.5197930192612,1496.0526707791037,5,78,2.3333333333333335,23.666666666666668,0.0,759.3611966243104,293.4148147405419,0.3019441816470201,17.94871794871795,0.14285714285714254,0.6428571428571416,0.3571428571428585,0.8571428571428574,1.5555555555555556,6.4,0.47061498118148126
xFaL2YdAmJcWA8oTLXhVCHNqt0K3,8.24742268041237,0.060777912112572656,0.6407136533064729,0.35928634669352716,0.9392220878874273,2262.5910009752492,907.3799585948825,1355.2110423803667,9,97,1.6,17.8,0.0,976.7942547403492,290.5271179978547,0.28477108943535057,19.587628865979383,0.18181818181818374,0.7368421052631526,0.26315789473684725,0.8181818181818163,1.3571428571428572,5.2,0.4946323281327588
xHctBv4C2EU8rHYRouw0btT3GT02,6.666666666666667,0.02667560656201925,0.5030840636195547,0.4969159363804454,0.9733243934379807,3925.453568308366,1487.5578507878483,2437.895717520518,5,90,2.0,28.0,0.0,850.2718867449797,540.980312222998,0.24493002679463532,22.22222222222222,0.15942028985507067,0.6000000000000102,0.3999999999999897,0.8405797101449293,1.6666666666666667,5.833333333333333,0.5297061990576545
xyAILKfYP2M8GqAai11x6NT7IcP2,16.049382716049383,0.12860711253101037,0.5627685807652409,0.43723141923475906,0.8713928874689897,3209.82459508356,1074.2768663022339,2135.547728781326,14,81,1.625,9.714285714285714,0.0,1520.5698905578026,325.92274538306856,0.44048785098138654,16.049382716049383,0.10447761194029825,0.6153846153846149,0.3846153846153852,0.8955223880597017,1.625,8.5,0.44048785098138654
y1EHXv8tUTa4BRS4fRio7bULYfA2,6.9306930693069315,0.061695331934893786,0.8437774086125728,0.15622259138742717,0.9383046680651063,6691.891213375924,1479.2310987046992,5212.660114671225,11,101,1.1666666666666667,15.666666666666666,0.0,4880.0586067140075,565.6325725259017,0.25184249132870934,24.752475247524753,0.17333333333333356,0.5599999999999979,0.44000000000000217,0.8266666666666664,1.7857142857142858,5.428571428571429,0.5595994328465448
yGTid3RXTdQe5JNosdSxvgktWIW2,9.58904109589041,0.10813129751889243,0.9999659823933456,3.4017606654477273e-05,0.8918687024811076,4706.624568172476,2102.472013500109,2604.152554672367,13,73,1.0,9.428571428571429,0.0,806.5836753170538,790.2462111870572,0.31595829022878463,15.068493150684931,0.09836065573770582,0.6363636363636379,0.3636363636363621,0.9016393442622942,1.5714285714285714,8.857142857142858,0.4238953332911617
yatBVTBMCSMp0wJluOCLzTFKMyP2,24.175824175824175,0.09294911686727536,0.34620641235014243,0.6537935876498575,0.9070508831327248,3352.050170884132,1241.3601051909018,2110.6900656932303,9,91,4.4,13.8,0.6,1588.2777954031935,337.6085105654376,0.5530981571641704,28.57142857142857,0.12501428755870922,0.34602069896639304,0.6539793010336069,0.8749857124412909,2.888888888888889,7.222222222222222,0.5982695885852573
yfjd8LbAMrYeG54927d3GiKAyXI2,14.102564102564102,0.10503158751636198,0.44748775535435864,0.5525122446456413,0.894968412483638,2694.0619325172597,1188.4783813862816,1505.583551130978,12,78,1.8333333333333333,9.571428571428571,0.0,736.1036728546385,328.23778208876723,0.40682096130527384,17.94871794871795,0.11111111111111015,0.5000000000000031,0.4999999999999969,0.8888888888888898,2.0,8.0,0.47061498118148126
zw1w9FipI9RjJsuhHse6UZavBxs2,6.363636363636363,0.06693993086047334,0.9999999955124929,4.48750717182401e-09,0.9330600691395267,3490.453921334356,1087.8508347744807,2402.603086559875,13,110,1.0,14.714285714285714,0.0,2400.2628257449487,319.24402172138775,0.23685803096478275,16.363636363636363,0.15384892513535112,0.8332580109969907,0.16674198900300927,0.8461510748646488,1.2,6.133333333333334,0.44565090460475565
