participant_id,accuracy_slope,accuracy_r,pe_slope,pe_r,n_blocks
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.02166666666666667,0.5852927195579728,-0.005000000000000002,-0.158113883008419,9
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.015476190476190477,0.29105288084576925,-0.009523809523809525,-0.3086066999241838,8
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.039285714285714285,0.7938566201357354,-0.007142857142857143,-0.2886751345948129,7
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.023809523809523805,0.8247860988423226,-0.009523809523809525,-0.329914439536929,8
146QT9LupyU2BAiTsB3PMIpVXM22,-0.003571428571428569,-0.0882734829504749,0.0011904761904761915,0.03494282789073064,8
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.007142857142857141,0.16222142113076246,0.0035714285714285713,0.07216878364870323,7
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.02142857142857143,0.50709255283711,0.002380952380952381,0.08247860988423225,8
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.004999999999999995,0.14756081305138927,0.0016666666666666653,0.046966821831386174,9
23AEyocWhqY955WHbxhHRSgQ1ms2,0.02,0.2656844656620286,0.0016666666666666674,0.07595545253127502,9
2h5FgHUEvBS1twD5DqbTIRrMm1f2,-0.002424242424242425,-0.03690438925390325,-0.000606060606060606,-0.014659983237784746,10
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.01309523809523809,0.500517330712619,-0.005952380952380952,-0.2817180849095055,8
3WijiOiVCoMbn80F05SPYsxl0TC2,0.01904761904761905,0.329914439536929,0.00357142857142857,0.08827348295047492,8
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.02857142857142857,0.554700196225229,-0.021428571428571425,-0.4082482904638631,7
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.009999999999999998,0.5477225575051661,-0.006666666666666667,-0.27386127875258304,9
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.014285714285714282,0.21821789023599233,-0.007142857142857143,-0.19611613513818402,7
5rXSa3anB5ejmFrnwUsTB82byup1,-0.0033333333333333327,-0.13693063937629152,0.005000000000000002,0.2053959590644373,9
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.008333333333333325,0.18463723646899888,0.006666666666666665,0.1878672873255448,9
62fAfeQc27bZelkPX7G54T3gvci2,0.017857142857142853,0.5590169943749475,0.0035714285714285696,0.11180339887498943,7
6ABZuv4jbjgE0B8TeyUk6nwVb122,0.00666666666666667,0.19674775073518594,-0.0016666666666666668,-0.06846531968814576,9
6WFCyGwk71XLPBmbe4Vav3eotVm1,0.017857142857142856,0.27277236279499045,-0.014285714285714285,-0.3922322702763681,7
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.038095238095238106,0.5819143739626464,0.007142857142857141,0.2474358296526967,8
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.03571428571428571,0.8451542547285166,-0.0035714285714285718,-0.16903085094570333,8
87w5Le0CgZhSfYAaOH3Xd2fc98l1,0.059890109890109886,0.8286158659788176,0.006043956043956042,0.1874394985625241,13
8bwaafIhKVMNBoHaXFcY8HirS9u2,0.01333333333333333,0.5163977794943222,-0.0016666666666666674,-0.06846531968814579,9
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.08121212121212122,0.816587540275296,0.006060606060606061,0.26243194054073904,10
8mscvscxtXf7EbbLqCyy4a4pl2q2,0.020238095238095243,0.5411159619673459,6.60847038467355e-19,3.4968738368763126e-17,8
9Xz1RIwnPXgyRqmucudW9VeuDnq1,0.017857142857142853,0.682523632789935,-0.009523809523809525,-0.3086066999241838,8
9l7DjYLs0XdgwykPZR5E01KTZfu2,-0.007142857142857145,-0.18898223650461365,0.0035714285714285718,0.13650472655798704,8
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.03333333333333333,0.6546536707079772,0.010000000000000004,0.316227766016838,9
ASGvwW80q7VY7xFaLGZhVuErUQu2,0.005952380952380951,0.17471413945365305,-0.0011904761904761917,-0.034942827890730645,8
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,0.03757575757575758,0.5688312786486197,-0.0012121212121212128,-0.03892494720807616,10
AsXBOflrszVNKoFqbN61bMJqS0k2,0.007272727272727276,0.18163064367459997,-0.007272727272727274,-0.16979054399120358,11
AyAnuCaltBbpEYbudoyNzTvXlcC2,0.03916083916083916,0.6644885492986758,-0.003146853146853148,-0.08652113131669202,12
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,0.03543956043956044,0.6602115586809548,0.004120879120879122,0.46291004988627577,13
BcCTlXWx6ARh4rBtkdWRgZH3C7H2,0.019047619047619042,0.6598288790738581,0.0035714285714285718,0.11757927025044311,8
CDEoAyvS8feXLKMKsaZah9agEhF3,-0.007142857142857141,-0.22360679774997896,0.007142857142857143,0.22360679774997896,7
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,0.030303030303030304,0.6487491201346024,-0.0006060606060606068,-0.024868236565099715,10
CUNlBEszJVRGK1jWlTaOaCqpDg53,0.004761904761904762,0.0890870806374748,-0.0011904761904761882,-0.022388683141982207,8
Cbkx2NHyF3NrebzXGqNgSfiWent1,0.007142857142857141,0.3273268353539886,-0.005952380952380952,-0.2817180849095055,8
Co587hoelyeANqFX7AYvuVQW0lZ2,0.02666666666666667,0.4618802153517006,-0.0016666666666666663,-0.052704627669472974,9
CtJe4bZZnYUBNrcPk00d3YQFSGp2,0.02619047619047619,0.36187343222787294,-0.013095238095238096,-0.19036384827209385,8
DAKDKPH698P12JfTbbjemLI6PIH2,0.023333333333333334,0.451848057057532,0.0,0.0,9
DPvStUYSmohmXwFwaKRqHv89R3k1,0.0035714285714285704,0.14433756729740643,-0.0035714285714285713,-0.14433756729740646,7
DaRehVxIOhXtEtUExdgvUl0mKcx2,0.0304945054945055,0.4265509536477079,-0.01456043956043956,-0.3272977072706959,13
Df83JuPuJkXqTGbENhM2gw5SJM43,0.0016666666666666663,0.06454972243679029,0.0016666666666666674,0.07595545253127502,9
DzB19GqCB7fyrlEPexogWkjFzEx2,0.029761904761904757,0.5178081383343333,0.0023809523809523807,0.0629940788348712,8
EEodWwGh0wWq5f8JmzfKvq0lyeu1,0.010909090909090912,0.2309971510527055,-0.010303030303030305,-0.2605536109272983,10
EUhcW9kURScie1DwGPHqmNqotJB2,0.01016483516483517,0.12729140174691045,0.0024725274725274707,0.03369817624996864,13
EmfmKFDgWJdW47a6CNTNjnbYaPh2,-0.008333333333333338,-0.15405900562833025,0.005,0.10350983390135313,9
EoToosG69XMp4LTYdB6sB9WTrv22,0.028571428571428564,0.7844645405527362,-0.007142857142857143,-0.40824829046386296,7
Fz7EUjZCLuUBxLDUVtN6djaBTy42,0.03333333333333333,0.8075728530872482,-0.006666666666666667,-0.23354968324845693,9
G1Ff3XYUZMRsPafyEQ80ussnVlf1,0.021428571428571432,0.3129931378910223,-0.005769230769230774,-0.09455814749976041,13
G9VruXninjUdE9czK2DambZl5li2,0.027272727272727275,0.4673071047177673,0.004848484848484849,0.1049727762162956,10
GDZGRW51kbWtAdUIHCtEd8sAtqY2,0.034999999999999996,0.42866070498705616,0.009999999999999998,0.23473823893078544,9
GE4hogtdLdTFbNasENgtm6SO3hC3,0.024999999999999994,0.46770717334674256,-0.007142857142857143,-0.19611613513818402,7
GEwkBw3YHaNp3TCh9YS9PKVfavz1,0.03214285714285715,0.55923278940108,0.0011904761904761901,0.029424494316824975,8
HSggdq91WiQp16bOj7V3dABkcgk2,0.021666666666666664,0.4450245779729473,0.0016666666666666663,0.06846531968814573,9
HbydnnT1hUP3WagAy2TJAc6GqVs2,0.03214285714285713,0.9185586535436917,-0.007142857142857143,-0.31622776601683794,7
HyQM2xKwwuVfqidmRYF6TiRk90C2,0.016666666666666666,0.43301270189221924,-0.010000000000000004,-0.32863353450309973,9
IaTJhUGICmO9xcL3605RW8QHneN2,0.017272727272727273,0.5310661446562,-0.006363636363636363,-0.21500329089188291,11
JntnHLHjYhc0xJJQALM3h9R5Ozv1,0.01,0.24227185592617448,0.008333333333333333,0.2282177322938192,9
Jp6aXC9KLjcFZBaQdZl4i9dUscl1,0.0,,0.0,,6
K26uNuY0VNPjJNF26wEx3bFg0kr2,-0.010714285714285711,-0.28347335475692037,0.010714285714285713,0.2834733547569203,7
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,0.055757575757575756,0.6866436491305119,0.005454545454545454,0.2005952394113969,10
LSLmd8jENtONZFVkIpRDX665Bu73,0.016666666666666666,0.3042903097250923,0.0,0.0,9
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,0.004761904761904761,0.2182178902359924,6.60847038467355e-19,3.4968738368763126e-17,8
LliUMEIsrCVZ88YFQfevan2Og4z1,0.02303030303030303,0.3981732551925566,-0.020000000000000004,-0.452734960102905,10
M4Km1Q2P2oPliChDQkwl6k20FUI3,0.007272727272727278,0.1539600717839003,0.007272727272727274,0.19754591932991794,11
MMSYeiMQi3gMr4PrXQcpXzFiegj2,0.009090909090909096,0.1082109138374513,-0.0009090909090909094,-0.012741179785940644,11
O61Eik2zvrSQLMNpFbTNEgjWwMr2,0.0369047619047619,0.6940491774014497,-0.0035714285714285713,-0.10482848367219183,8
OExlWyngGfPrScDYjaRcv5PIAet1,0.017857142857142853,0.7216878364870322,-0.007142857142857143,-0.2886751345948129,7
ORuVuFPU5idz3fMoXTGsbwToW2j2,5.551115123125783e-18,9.408019078216956e-17,-0.006666666666666667,-0.15191090506255,9
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.004545454545454545,0.05712886811237875,-0.00909090909090909,-0.20000000000000004,11
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,0.0,0.0,-1.4869058365515489e-18,-3.21208372321327e-17,7
PLreonkqaMeFc0UqxKUelH44UQu1,0.03515151515151515,0.6077381263465336,-0.013939393939393942,-0.3116943241363344,10
PkpTH7pWpEOG9A86xSloOSozwTk2,-0.03489010989010989,-0.523054668117786,0.036813186813186814,0.5685320453905345,13
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,0.01904761904761905,0.45074893585520887,-0.004761904761904762,-0.1649572197684645,8
QbOEVCaZLUMOgltUdXm58oZOALv2,0.025454545454545455,0.4193296085112077,0.009696969696969699,0.23883257361061289,10
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,0.007142857142857149,0.14433756729740657,4.956352788505163e-19,1.3113276888286171e-17,7
QreA2rLiUhV3YHeMfuHMPdGbpJ53,0.04424242424242424,0.563257520457004,0.0006060606060606071,0.013390588919669088,10
Qv0jhW3sqicqQvd7LfReAsI7nD73,0.04642857142857143,0.6749263711465147,-0.0035714285714285713,-0.10482848367219183,8
Rc706mP0TSeIoIpMYH1SpRXjOxA2,0.007142857142857141,0.4082482904638629,-0.007142857142857143,-0.40824829046386296,7
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,0.019999999999999997,0.6572670690061994,0.0,0.0,9
Ru3Qf6pXZua1DfNkQdhbor6iJ403,0.016666666666666666,0.273861278752583,-0.013333333333333334,-0.2876779808912305,9
SOhR7IO689NQCPQu56SjATO8FR92,-0.010909090909090912,-0.1454643413629281,0.015151515151515155,0.3069622786182322,10
SPCT9D90pRa1ihXS5jEw6vCmquI3,0.026373626373626384,0.58554004376912,0.01813186813186813,0.6592094227547746,13
SdDjNMBD2ZMTEwUphkohi2cZwUx1,0.014999999999999998,0.4929503017546495,-0.0016666666666666668,-0.09128709291752768,9
SpSfX0ZcfcPLdlOENlfdfvEPwru2,0.017857142857142856,0.44136741475237473,-0.0023809523809523803,-0.08247860988423222,8
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,0.022619047619047625,0.5223645292668044,0.0023809523809523807,0.0629940788348712,8
Ub7nV8F55kPruh35ZpUcKoBUyn63,0.02833333333333334,0.48804386399873234,-0.006666666666666667,-0.13801311186847084,9
UbwuSMtBsHdW3Ji41opk3GInMqi2,0.015476190476190473,0.454256762579498,-0.004761904761904762,-0.1649572197684645,8
VwTymW8T68MfpnJvZ2X97ILqDWS2,0.018333333333333337,0.495247685779823,0.0016666666666666663,0.049186937683796464,9
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,0.0033333333333333327,0.13693063937629152,-0.0033333333333333335,-0.18257418583505536,9
