outcome,quartile,n,ucla_mean,ucla_range,outcome_mean,outcome_se,outcome_ci_lower,outcome_ci_upper
WCST PE Rate,Q1,42,28.071428571428573,20-33,10.355493085860857,0.6921660226193284,8.998847681526973,11.712138490194741
WCST PE Rate,Q2,34,37.411764705882355,34-41,11.07589284822697,1.151490207986898,8.81897204057265,13.332813655881289
WCST PE Rate,Q3,41,45.90243902439025,42-49,10.821048030586512,0.7250847900907761,9.399881842008591,12.242214219164433
WCST PE Rate,Q4,34,56.970588235294116,50-70,9.864211224135138,0.8391590315265398,8.21945952234312,11.508962925927156
PRP Bottleneck,Q1,40,27.425,20-32,576.8354193727384,22.20345604818474,533.3166455182964,620.3541932271805
PRP Bottleneck,Q2,38,36.63157894736842,33-40,588.5995739542153,25.475769959304493,538.6670648339785,638.5320830744521
PRP Bottleneck,Q3,45,45.577777777777776,41-49,645.199130250197,24.06350046647416,598.0346693359076,692.3635911644864
PRP Bottleneck,Q4,33,57.06060606060606,50-70,576.9069749848404,28.1707464736446,521.692311896497,632.1216380731838
WCST Accuracy,Q1,42,28.071428571428573,20-33,82.15286359560582,1.1372293121741925,79.9238941437444,84.38183304746724
WCST Accuracy,Q2,34,37.411764705882355,34-41,82.51288226605192,1.624838985331865,79.32819785480146,85.69756667730238
WCST Accuracy,Q3,41,45.90243902439025,42-49,80.3529741222572,2.013273985361596,76.40695711094847,84.29899113356592
WCST Accuracy,Q4,34,56.970588235294116,50-70,82.92592347911057,1.789135263741259,79.4192183621777,86.43262859604343
