,UCLA,DASS-D,DASS-A,DASS-S,WCST PE,Stroop Int,PRP Bottleneck
UCLA,1.0,0.7451979573370552,0.5750856877375558,0.5092323507583487,-0.24910081516660826,-0.013807695136882169,-0.09759027472850018
DASS-D,0.7451979573370552,1.0,0.5443236181930943,0.4673231188597514,-0.2617881134267116,-0.02895479108216088,-0.013211215050234766
DASS-A,0.5750856877375558,0.5443236181930943,1.0,0.6108532484526413,-0.12181656108334017,-0.02153481102596835,0.07252415196630276
DASS-S,0.5092323507583487,0.4673231188597514,0.6108532484526413,1.0,-0.19545208401440195,-0.105365960086017,-0.0671297349307295
WCST PE,-0.24910081516660826,-0.2617881134267116,-0.12181656108334017,-0.19545208401440195,1.0,-0.0761463146138733,0.15408206164311838
Stroop Int,-0.013807695136882169,-0.02895479108216088,-0.02153481102596835,-0.105365960086017,-0.0761463146138733,1.0,-0.17491346118391693
PRP Bottleneck,-0.09759027472850018,-0.013211215050234766,0.07252415196630276,-0.0671297349307295,0.15408206164311838,-0.17491346118391693,1.0
