participant_id,trial_block,pe_rate,n_trials,ucla_total,gender_male,z_ucla
EUhcW9kURScie1DwGPHqmNqotJB2,Early,38.095238095238095,42,36.0,0.0,-0.4644637169788053
EUhcW9kURScie1DwGPHqmNqotJB2,Mid,16.27906976744186,43,36.0,0.0,-0.4644637169788053
EUhcW9kURScie1DwGPHqmNqotJB2,Late,41.86046511627907,43,36.0,0.0,-0.4644637169788053
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,Early,0.0,39,54.0,0.0,0.9965677810904465
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,Mid,20.0,40,54.0,0.0,0.9965677810904465
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,Late,12.5,40,54.0,0.0,0.9965677810904465
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,Early,9.523809523809524,42,54.0,1.0,0.9965677810904465
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,Mid,21.428571428571427,42,54.0,1.0,0.9965677810904465
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,Late,16.666666666666664,42,54.0,1.0,0.9965677810904465
wdppvL4tIkVlGjou6aYzzjlaZXB2,Early,16.666666666666664,42,44.0,1.0,0.1848836154964177
wdppvL4tIkVlGjou6aYzzjlaZXB2,Mid,30.23255813953488,43,44.0,1.0,0.1848836154964177
wdppvL4tIkVlGjou6aYzzjlaZXB2,Late,23.25581395348837,43,44.0,1.0,0.1848836154964177
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,Early,0.0,21,41.0,0.0,-0.0586216341817909
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,Mid,4.761904761904762,21,41.0,0.0,-0.0586216341817909
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,Late,4.545454545454546,22,41.0,0.0,-0.0586216341817909
K26uNuY0VNPjJNF26wEx3bFg0kr2,Early,8.695652173913043,23,43.0,0.0,0.10371519893701485
K26uNuY0VNPjJNF26wEx3bFg0kr2,Mid,4.3478260869565215,23,43.0,0.0,0.10371519893701485
K26uNuY0VNPjJNF26wEx3bFg0kr2,Late,16.666666666666664,24,43.0,0.0,0.10371519893701485
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,Early,10.714285714285714,28,29.0,0.0,-1.0326426328946254
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,Mid,10.714285714285714,28,29.0,0.0,-1.0326426328946254
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,Late,27.586206896551722,29,29.0,0.0,-1.0326426328946254
DPvStUYSmohmXwFwaKRqHv89R3k1,Early,4.761904761904762,21,52.0,1.0,0.8342309479716408
DPvStUYSmohmXwFwaKRqHv89R3k1,Mid,4.761904761904762,21,52.0,1.0,0.8342309479716408
DPvStUYSmohmXwFwaKRqHv89R3k1,Late,4.761904761904762,21,52.0,1.0,0.8342309479716408
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,Early,3.225806451612903,31,39.0,0.0,-0.22095846730059665
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,Mid,12.903225806451612,31,39.0,0.0,-0.22095846730059665
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,Late,6.451612903225806,31,39.0,0.0,-0.22095846730059665
62fAfeQc27bZelkPX7G54T3gvci2,Early,4.3478260869565215,23,49.0,0.0,0.5907256982934321
62fAfeQc27bZelkPX7G54T3gvci2,Mid,8.695652173913043,23,49.0,0.0,0.5907256982934321
62fAfeQc27bZelkPX7G54T3gvci2,Late,12.5,24,49.0,0.0,0.5907256982934321
q0Atnpm0jZS5swcVmq0EMalQUKw1,Early,4.3478260869565215,23,24.0,0.0,-1.4384847156916398
q0Atnpm0jZS5swcVmq0EMalQUKw1,Mid,8.333333333333332,24,24.0,0.0,-1.4384847156916398
q0Atnpm0jZS5swcVmq0EMalQUKw1,Late,8.333333333333332,24,24.0,0.0,-1.4384847156916398
kR2rCtaPyPaj7YMizKUDn5xL2qx1,Early,10.714285714285714,28,53.0,1.0,0.9153993645310436
kR2rCtaPyPaj7YMizKUDn5xL2qx1,Mid,17.857142857142858,28,53.0,1.0,0.9153993645310436
kR2rCtaPyPaj7YMizKUDn5xL2qx1,Late,7.142857142857142,28,53.0,1.0,0.9153993645310436
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,Early,12.5,24,59.0,0.0,1.402409863887461
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,Mid,12.5,24,59.0,0.0,1.402409863887461
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,Late,8.0,25,59.0,0.0,1.402409863887461
mwsliuPsLFhRFjtjQwYkqcCRDvi2,Early,8.333333333333332,24,49.0,1.0,0.5907256982934321
mwsliuPsLFhRFjtjQwYkqcCRDvi2,Mid,12.5,24,49.0,1.0,0.5907256982934321
mwsliuPsLFhRFjtjQwYkqcCRDvi2,Late,8.333333333333332,24,49.0,1.0,0.5907256982934321
iKVZi0Oo96UrMBhPQMHWFcf55uA3,Early,4.545454545454546,22,33.0,1.0,-0.7079689666570139
iKVZi0Oo96UrMBhPQMHWFcf55uA3,Mid,4.3478260869565215,23,33.0,1.0,-0.7079689666570139
iKVZi0Oo96UrMBhPQMHWFcf55uA3,Late,8.695652173913043,23,33.0,1.0,-0.7079689666570139
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,Early,4.3478260869565215,23,34.0,1.0,-0.626800550097611
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,Mid,12.5,24,34.0,1.0,-0.626800550097611
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,Late,8.333333333333332,24,34.0,1.0,-0.626800550097611
ssPK6ISW0HerTGke9hznqJ2LpKu1,Early,7.4074074074074066,27,41.0,1.0,-0.0586216341817909
ssPK6ISW0HerTGke9hznqJ2LpKu1,Mid,10.714285714285714,28,41.0,1.0,-0.0586216341817909
ssPK6ISW0HerTGke9hznqJ2LpKu1,Late,10.714285714285714,28,41.0,1.0,-0.0586216341817909
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,Early,11.538461538461538,26,40.0,1.0,-0.13979005074119377
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,Mid,7.6923076923076925,26,40.0,1.0,-0.13979005074119377
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,Late,7.4074074074074066,27,40.0,1.0,-0.13979005074119377
5zxa5CMLGQSSonWOXqXf0QNS3PH3,Early,6.896551724137931,29,54.0,1.0,0.9965677810904465
5zxa5CMLGQSSonWOXqXf0QNS3PH3,Mid,6.896551724137931,29,54.0,1.0,0.9965677810904465
5zxa5CMLGQSSonWOXqXf0QNS3PH3,Late,10.344827586206897,29,54.0,1.0,0.9965677810904465
h5RYP03wJuVN0xo7qAR8CKFxLaj1,Early,0.0,42,29.0,0.0,-1.0326426328946254
h5RYP03wJuVN0xo7qAR8CKFxLaj1,Mid,11.904761904761903,42,29.0,0.0,-1.0326426328946254
h5RYP03wJuVN0xo7qAR8CKFxLaj1,Late,11.904761904761903,42,29.0,0.0,-1.0326426328946254
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,Early,10.0,30,30.0,1.0,-0.9514742163352226
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,Mid,13.333333333333334,30,30.0,1.0,-0.9514742163352226
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,Late,12.903225806451612,31,30.0,1.0,-0.9514742163352226
v8nNKiWvPdcjiHXZci39OuFTY6M2,Early,8.0,25,31.0,0.0,-0.8703057997758197
v8nNKiWvPdcjiHXZci39OuFTY6M2,Mid,8.0,25,31.0,0.0,-0.8703057997758197
v8nNKiWvPdcjiHXZci39OuFTY6M2,Late,19.230769230769234,26,31.0,0.0,-0.8703057997758197
LSLmd8jENtONZFVkIpRDX665Bu73,Early,7.4074074074074066,27,20.0,0.0,-1.7631583819292513
LSLmd8jENtONZFVkIpRDX665Bu73,Mid,14.814814814814813,27,20.0,0.0,-1.7631583819292513
LSLmd8jENtONZFVkIpRDX665Bu73,Late,10.714285714285714,28,20.0,0.0,-1.7631583819292513
mUZzgdWKnPb2txOkJg9FHgqX5792,Early,17.142857142857142,35,33.0,0.0,-0.7079689666570139
mUZzgdWKnPb2txOkJg9FHgqX5792,Mid,22.22222222222222,36,33.0,0.0,-0.7079689666570139
mUZzgdWKnPb2txOkJg9FHgqX5792,Late,5.555555555555555,36,33.0,0.0,-0.7079689666570139
WbOfW9KmUkPQK8o5hlHJnJFdpp92,Early,3.125,32,22.0,1.0,-1.6008215488104456
WbOfW9KmUkPQK8o5hlHJnJFdpp92,Mid,12.121212121212121,33,22.0,1.0,-1.6008215488104456
WbOfW9KmUkPQK8o5hlHJnJFdpp92,Late,3.0303030303030303,33,22.0,1.0,-1.6008215488104456
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,Early,4.166666666666666,24,32.0,0.0,-0.7891373832164168
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,Mid,8.333333333333332,24,32.0,0.0,-0.7891373832164168
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,Late,12.5,24,32.0,0.0,-0.7891373832164168
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,Early,11.11111111111111,27,50.0,0.0,0.671894114852835
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,Mid,7.4074074074074066,27,50.0,0.0,0.671894114852835
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,Late,7.142857142857142,28,50.0,0.0,0.671894114852835
fEq0OghbLpfD1jigl1Mbz96aMbg2,Early,24.137931034482758,29,31.0,0.0,-0.8703057997758197
fEq0OghbLpfD1jigl1Mbz96aMbg2,Mid,34.48275862068966,29,31.0,0.0,-0.8703057997758197
fEq0OghbLpfD1jigl1Mbz96aMbg2,Late,6.666666666666667,30,31.0,0.0,-0.8703057997758197
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,Early,4.166666666666666,24,49.0,1.0,0.5907256982934321
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,Mid,12.0,25,49.0,1.0,0.5907256982934321
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,Late,8.0,25,49.0,1.0,0.5907256982934321
cEIs6U87xfbSL5eFTXDK77MmvNf1,Early,5.88235294117647,34,62.0,1.0,1.6459151135656696
cEIs6U87xfbSL5eFTXDK77MmvNf1,Mid,14.705882352941178,34,62.0,1.0,1.6459151135656696
cEIs6U87xfbSL5eFTXDK77MmvNf1,Late,11.428571428571429,35,62.0,1.0,1.6459151135656696
AsXBOflrszVNKoFqbN61bMJqS0k2,Early,22.857142857142858,35,42.0,0.0,0.022546782377611974
AsXBOflrszVNKoFqbN61bMJqS0k2,Mid,14.285714285714285,35,42.0,0.0,0.022546782377611974
AsXBOflrszVNKoFqbN61bMJqS0k2,Late,17.142857142857142,35,42.0,0.0,0.022546782377611974
Fz7EUjZCLuUBxLDUVtN6djaBTy42,Early,7.142857142857142,28,49.0,1.0,0.5907256982934321
Fz7EUjZCLuUBxLDUVtN6djaBTy42,Mid,21.428571428571427,28,49.0,1.0,0.5907256982934321
Fz7EUjZCLuUBxLDUVtN6djaBTy42,Late,7.142857142857142,28,49.0,1.0,0.5907256982934321
