participant_id,autocorr_lag1,n_trials,ucla_total,gender_male,pe_rate,z_ucla
GE4hogtdLdTFbNasENgtm6SO3hC3,0.40457432865816095,67,56.0,0.0,4.477611940298507,1.1589046142092523
ORvIk1xRWIQmKuLVe6GXNouvAXx2,0.28728070175438525,101,54.0,0.0,16.831683168316832,0.9965677810904465
80UJMJbCOMgs6YVpsMgXfYTzw6o2,0.3310486365432342,71,56.0,0.0,7.042253521126761,1.1589046142092523
rUuJv5gl7dWVo7UPQWMx4bohxhK2,0.27671232876712293,89,43.0,0.0,10.112359550561797,0.10371519893701485
xyAILKfYP2M8GqAai11x6NT7IcP2,0.289424751753118,81,35.0,1.0,9.876543209876544,-0.5456321335382082
pcbRW89vVJcviD87V3uxyG4I9st2,-0.06060606060606064,71,33.0,1.0,2.8169014084507045,-0.7079689666570139
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,0.5180846576681172,98,42.0,0.0,6.122448979591836,0.022546782377611974
yatBVTBMCSMp0wJluOCLzTFKMyP2,0.4886363636363635,91,35.0,0.0,10.989010989010987,-0.5456321335382082
u64Uf920g5VD9Byq26LT2rs5o4t1,0.17479097137672284,107,34.0,1.0,13.084112149532707,-0.626800550097611
nT1qJOiMyDdJ9ui4el195A8Hsgs1,0.24637681159420297,79,62.0,0.0,8.860759493670885,1.6459151135656696
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,0.03785672684915541,119,40.0,1.0,8.403361344537815,-0.13979005074119377
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.29665071770334916,99,65.0,1.0,13.131313131313131,1.8894203632438782
lpzDdvuMkKWkPxu6xeclmdctEp42,0.27032967032967015,84,52.0,0.0,10.714285714285714,0.8342309479716408
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,0.4771668178352424,79,23.0,0.0,11.39240506329114,-1.5196531322510427
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,0.29903846153846103,82,38.0,1.0,10.975609756097562,-0.30212688385999953
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,0.3055555555555546,76,57.0,0.0,7.894736842105263,1.2400730307686552
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,0.1499999999999996,69,64.0,1.0,10.144927536231885,1.8082519466844753
LliUMEIsrCVZ88YFQfevan2Og4z1,0.11111111111111112,97,28.0,1.0,13.402061855670103,-1.1138110494540283
EUhcW9kURScie1DwGPHqmNqotJB2,0.2791537667698664,128,36.0,0.0,32.03125,-0.4644637169788053
