participant_id,prp_bottleneck,prp_bottleneck_predicted,prp_bottleneck_deviation,prp_bottleneck_deviation_z
GE4hogtdLdTFbNasENgtm6SO3hC3,479.6929347863341,585.4408343280342,-105.74789954170006,-0.6698334233824466
ORvIk1xRWIQmKuLVe6GXNouvAXx2,596.461904778367,595.4302110606943,1.0316937176727379,0.006535003889305463
80UJMJbCOMgs6YVpsMgXfYTzw6o2,497.4832688588325,591.9612465170902,-94.47797765825771,-0.5984469429969698
rUuJv5gl7dWVo7UPQWMx4bohxhK2,981.2900000000024,602.2893519164653,379.00064808353704,2.4006841050289873
xyAILKfYP2M8GqAai11x6NT7IcP2,931.4046195652066,590.4567400518779,340.94787951332876,2.1596484310247828
pcbRW89vVJcviD87V3uxyG4I9st2,383.6859929078204,555.8655773093553,-172.17958440153495,-1.0906281917284586
8cOQBMgQEYSlJ4CK60pFMmBVEBV2,740.3583334088324,590.4567400518779,149.90159335695455,0.9495138710455188
yatBVTBMCSMp0wJluOCLzTFKMyP2,924.6498599442854,605.1509451086399,319.49891483564545,2.0237853689656045
u64Uf920g5VD9Byq26LT2rs5o4t1,500.03333333258826,595.7661030629905,-95.73276973040225,-0.606395107196546
nT1qJOiMyDdJ9ui4el195A8Hsgs1,861.2743434326817,586.8742435796509,274.40009985303084,1.7381182894187053
cUugYJoOmOSFc0Mh5JD0ZXJrYN52,389.9799999989974,590.4567400518779,-200.47674005288047,-1.26986939390905
2h5FgHUEvBS1twD5DqbTIRrMm1f2,566.4108695763608,590.4567400518779,-24.045870475517063,-0.15231250746947508
lpzDdvuMkKWkPxu6xeclmdctEp42,501.90948617505467,630.9429205146691,-129.03343433961447,-0.8173297760908753
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,354.81111111112284,595.7661030629905,-240.95499195186767,-1.5262686808882087
A9AEg0g6c2P1Bk72HLmnK3oWJ9B2,590.0685283607202,594.1698423746767,-4.101314013956539,-0.02597874017584242
7cvQFrzIDEVAkFCcGAHZPUvJ2MF3,751.6369564896045,610.1798468020797,141.45710968752473,0.896024417075222
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,635.6783838329893,586.8745533856394,48.803830447349924,0.3091355664216659
LliUMEIsrCVZ88YFQfevan2Og4z1,379.01521317829065,595.7661000281834,-216.7508868498927,-1.3729538760492608
EUhcW9kURScie1DwGPHqmNqotJB2,778.649032876616,524.439512646057,254.20952023055906,1.610226150404984
aj2Ivskb3BgyvBNTLIKlSZG0Sq22,598.9130555639664,590.3030554100884,8.61000015387799,0.05453787643433289
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,383.5816836211552,608.4338172380202,-224.852133616865,-1.4242691823494786
wdppvL4tIkVlGjou6aYzzjlaZXB2,447.9112903228156,595.4302077757299,-147.51891745291425,-0.9344214109159933
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,601.5916666698953,591.9612465170902,9.630420152805073,0.061001469792985916
K26uNuY0VNPjJNF26wEx3bFg0kr2,483.9463414633898,585.440792417986,-101.49445095459623,-0.642891025087741
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,682.2403381642495,612.5890113814613,69.65132678278815,0.4411887788243668
DPvStUYSmohmXwFwaKRqHv89R3k1,742.3512681169788,585.4407924181241,156.9104756988546,0.9939098701481618
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,574.1693262411102,591.9612465170902,-17.791920275980033,-0.11269843579548108
62fAfeQc27bZelkPX7G54T3gvci2,705.5187500001242,590.4567400518779,115.06200994824633,0.7288313087912128
q0Atnpm0jZS5swcVmq0EMalQUKw1,581.5929292929186,585.4407924181037,-3.8478631251850857,-0.02437331938525584
kR2rCtaPyPaj7YMizKUDn5xL2qx1,712.3007077856687,587.2415624138608,125.05914537180786,0.7921556440622082
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,749.4389610237631,586.9939782135874,162.4449828101757,1.0289668108645003
mwsliuPsLFhRFjtjQwYkqcCRDvi2,559.0801383831756,580.5784478458613,-21.49830946268571,-0.13617562416592002
iKVZi0Oo96UrMBhPQMHWFcf55uA3,652.4703557312234,590.4567400518779,62.01361567934555,0.3928096223834612
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,478.0284420227011,596.476194431179,-118.44775240847792,-0.7502774412690871
ssPK6ISW0HerTGke9hznqJ2LpKu1,464.2132751461148,554.5548583031699,-90.34158315705508,-0.5722459943142179
qsRKc69hK6e8Uu6vr2pBO8NbpMt2,532.3706521739374,562.3929572736635,-30.022305099726054,-0.19016872665968876
5zxa5CMLGQSSonWOXqXf0QNS3PH3,472.4424999905957,591.9612465170902,-119.51874652649451,-0.7570613836414897
h5RYP03wJuVN0xo7qAR8CKFxLaj1,490.5690476247119,595.4302133652153,-104.8611657405034,-0.664216631557184
CGyTPhevTbSvVnZ8qSP0NtWuhgw1,632.9666666487852,590.4567400518779,42.50992659690735,0.26926841841349725
v8nNKiWvPdcjiHXZci39OuFTY6M2,619.1841085271029,585.4407924181037,33.74331610899924,0.21373853328078732
BbwUTWswjtPWhb5DvLAmh9Hdpyl2,831.4254545454561,585.440792418068,245.9846621273881,1.5581278592430934
LSLmd8jENtONZFVkIpRDX665Bu73,673.3059090841899,590.4567403882409,82.84916869594906,0.5247871828424707
mUZzgdWKnPb2txOkJg9FHgqX5792,551.7397233217131,603.9606963583831,-52.22097303666999,-0.3307805951050736
WbOfW9KmUkPQK8o5hlHJnJFdpp92,304.22795030891155,549.4548811817513,-245.22693087283972,-1.553328201543624
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,784.977083330353,585.4407924181037,199.53629091224934,1.2639123558012848
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,786.0796066252478,591.9612465170902,194.11836010815762,1.2295938383282934
fEq0OghbLpfD1jigl1Mbz96aMbg2,650.2330426338253,598.1096727879449,52.12336984588046,0.33016235228698515
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,630.9367424240336,596.476194431179,34.46054799285457,0.2182816579215979
cEIs6U87xfbSL5eFTXDK77MmvNf1,641.0780807861174,595.4302110606943,45.64786972542311,0.2891449284648792
AsXBOflrszVNKoFqbN61bMJqS0k2,666.4474637649846,598.3478515282616,68.09961223672303,0.43135983403200934
Fz7EUjZCLuUBxLDUVtN6djaBTy42,487.2655797253052,595.4302110606943,-108.16463133538912,-0.6851416019635784
DzB19GqCB7fyrlEPexogWkjFzEx2,858.7031620297979,528.7581888465489,329.944973183249,2.0899532933797325
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,648.6595744680926,595.4302110606943,53.229363407398296,0.33716798981511686
xBGZhFOeypWnqzSQClkrwV9z2vF3,745.3799033816597,564.902725725886,180.47717765577374,1.143187205377048
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,665.9562499523164,595.4302110606943,70.52603889162208,0.44672942226857315
y1EHXv8tUTa4BRS4fRio7bULYfA2,629.1045453997042,604.2231482685052,24.881397131199037,0.15760494053460702
HyQM2xKwwuVfqidmRYF6TiRk90C2,322.6666666688397,424.85076052640045,-102.18409385756075,-0.6472593942809464
roaf78tUWxWSEjAUcUu8O7mrQbl1,461.5775757356123,595.4302110606943,-133.85263532508202,-0.8478557903952147
Rc706mP0TSeIoIpMYH1SpRXjOxA2,682.3757574377638,595.4302110606943,86.94554637706949,0.5507346550618157
i1tBstVkNiVP0qro7TgGD08IGGa2,796.6460106013516,595.7661030629905,200.87990753836107,1.2724231567560318
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,538.4130434782659,586.4904005343511,-48.07735705608525,-0.30453390378083794
2zDXvJKvjeejeOSNbtDbtSI5cdz1,708.7215579710024,596.476194431179,112.24536353982342,0.7109899718531888
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,559.5739926767874,596.476194431179,-36.902201754391626,-0.233747698428247
iWsc4pghIEWOQUZKuQJMfe516UI3,521.5583333236475,595.430211060694,-73.87187773704647,-0.4679227953533296
lHDkoPQu5reNCO45npeYSS9eLQl1,948.787549369891,585.4408020330305,363.3467473368605,2.301528415205564
WcTsIpSoEhYeIBSNjAbbdaNSBya2,580.4253875984731,577.816276112639,2.6091114858340916,0.01652675926535585
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,658.616287864519,590.4567400518779,68.15954781264111,0.4317394808351477
CtJe4bZZnYUBNrcPk00d3YQFSGp2,748.9229206963054,589.4858394574104,159.43708123889496,1.0099140162896643
CDEoAyvS8feXLKMKsaZah9agEhF3,682.4707446807851,591.9612465170902,90.50949816369484,0.573309609612699
GDZGRW51kbWtAdUIHCtEd8sAtqY2,686.6049999694028,590.4567407819987,96.14825918740405,0.6090269204672492
QreA2rLiUhV3YHeMfuHMPdGbpJ53,640.1031358914923,608.7066281863378,31.39650770515459,0.1988732667933894
AyAnuCaltBbpEYbudoyNzTvXlcC2,672.3533333429268,599.0375593233684,73.31577401955838,0.464400296481436
azdL1gX79EVd9iepyCAVQrqIaQF3,628.1186170213375,595.7661030629905,32.352513958347004,0.20492884751060622
jzdk8E3tVXTXIozlfK5oeEb7wWp2,552.8689969414514,596.476194431179,-43.60719748972758,-0.2762188043946945
ORuVuFPU5idz3fMoXTGsbwToW2j2,68.33926493840238,578.356348556846,-510.0170836184436,-3.230574702516511
pRQimOpZtsekBI2I1kbnD3pycmo1,352.10222437015125,524.47532987097,-172.37310550081872,-1.091854002368592
yfjd8LbAMrYeG54927d3GiKAyXI2,833.8703463203402,590.7209570709709,243.14938924936928,1.5401685376268957
HSggdq91WiQp16bOj7V3dABkcgk2,609.6291666726271,577.5780120365476,32.051154636079445,0.2030199628199643
