participant_id,prp_slow_prob_baseline,prp_slow_prob_post_error,prp_slow_prob_post_error_delta,prp_slow_prob_stable,prp_slow_prob_stable_delta
06qcrpGKL6Vc3LVplFQC90VAcRm1,0.7269459146074558,0.999940912268331,0.2729949976608752,0.7294586189843898,0.0025127043769339608
0ZtXlQtAJkW6jS21vfMOtNL4OnL2,0.21507554111642932,0.6122371613166734,0.39716162020024404,0.1769924820282889,-0.038083059088140414
0d841i8KPjdjwCYfDuUUXj0SEjH2,0.49473485663821604,0.8442659148574111,0.34953105821919506,0.4357515545677593,-0.05898330207045671
0oa5NYVnIBS9NmrmRAZrahXDctP2,0.2921601297970719,0.5147772716880412,0.22261714189096932,0.22870028827126065,-0.06345984152581124
146QT9LupyU2BAiTsB3PMIpVXM22,0.42571979870713544,0.9942592824407175,0.568539483733582,0.3534065270428596,-0.07231327166427587
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,0.167597352368807,0.519813096913677,0.35221574454487004,0.12530497960157222,-0.04229237276723477
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,0.12205049432694068,,,0.12157481600267549,-0.0004756783242651913
1fbLQPCcysVlSKup96K4yI5NX6G3,0.15027458717306622,0.10242186729838569,-0.047852719874680524,0.12201758686537188,-0.028257000307694333
1tT7dcLvf0bMGBdBWWYd8YkdJwr1,0.2248727669970758,,,0.22372117548570045,-0.001151591511375366
1upUBO9zBnhHcpJ1WoAnaBXWKRV2,0.5070653589486326,0.4897641663736927,-0.017301192574939894,0.398898599865321,-0.10816675908331158
23hG7h2ByUZDbmOMTDtp0HT0xRb2,0.27232522251542685,0.542128794664801,0.26980357214937417,0.25469866507786043,-0.017626557437566415
28nQWMwCaSNFBEXlicY3eHqpwKU2,0.5112451562188832,0.8839623755886429,0.37271721936975966,0.46074531488480125,-0.050499841334081974
2FHuv7L9nWPdbIiWHRIuXtcoyw83,0.3389786383006251,0.4372200341543055,0.09824139585368041,0.32534116809923247,-0.01363747020139261
2h5FgHUEvBS1twD5DqbTIRrMm1f2,0.6793919336832716,0.9999920253424611,0.32060009165918957,0.6596068246353047,-0.01978510904796682
2zDXvJKvjeejeOSNbtDbtSI5cdz1,0.7343433833198404,1.0,0.2656566166801596,0.7198262333798254,-0.014517149940014962
3FSnTCSiUodLp5u3bE0xaUjLk0b2,0.44867302060113146,0.676651799253873,0.22797877865274152,0.398911487351814,-0.04976153324931748
3WijiOiVCoMbn80F05SPYsxl0TC2,0.4787570765428573,0.21713986226651344,-0.2616172142763439,0.48426110483363893,0.005504028290781615
3rlzYufVjVVLv3ZFLcpfZUtXEEi1,0.49842087269526886,0.6843615231066376,0.1859406504113687,0.4899853659490884,-0.008435506746180432
3xCaqfcHxRQxuOlEzXz3PNcHODH2,0.3373118889051229,0.23099696445410994,-0.10631492445101298,0.3363068360910949,-0.001005052814028018
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,0.113917224030572,0.18634725489729612,0.07243003086672412,0.09520328685904822,-0.01871393717152378
50R0P1MIMvRvK1qpqfGROchII6R2,0.2414457163032067,0.06693605258013888,-0.1745096637230678,0.22376240669238584,-0.017683309610820847
5OOi73igsahMZ5IVKQwwyhnj4Cn2,0.31299935320145544,,,0.2925854140746248,-0.02041393912683065
5Z68AKm9rIeeB2lVu3nJO7U31wk1,0.6511976396917393,0.7773896861078554,0.12619204641611614,0.5832200093208211,-0.0679776303709182
5rXSa3anB5ejmFrnwUsTB82byup1,0.12717375333912406,0.00045612897712318486,-0.12671762436200087,0.12082785154181798,-0.006345901797306083
5zxa5CMLGQSSonWOXqXf0QNS3PH3,0.3641046988930277,0.40788671898446227,0.04378202009143456,0.3460184151880582,-0.018086283704969508
