task,mean_accuracy,r_male,p_male,r_female,p_female,gender_diff
WCST (PE rate),,0.22464879014143935,0.22436792198674554,-0.2192650547268793,0.13430015466434525,0.44391384486831864
Stroop (Interference),98.8396624472574,0.08616324969147297,0.6448839700985793,-0.04918867097212844,0.7398839172659825,0.1353519206636014
